Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
289,Efficient Deep Reinforcement Learning via Adaptive Policy Transfer,Tianjin University,Noah's Ark Children's Hospital for Wales,Tianjin University,Noah's Ark Children's Hospital for Wales, Tianjin Key Lab of Machine Learnin,Tianjin University,Nanjing University,Tianjin University,Noah's Ark Children's Hospital for Wales,Tianjin University,,,,,,,,,,,,,,,,,,4.0,6.0
290,Partial Multi-Label Learning via Multi-Subspace Representation, Indicates equal contribution, Indicates equal contribution,Beijing Jiaotong University,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
291,Consistent MetaReg: Alleviating Intra-task Discrepancy for Better Meta-knowledge,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
292,"SiamBOMB: A Real-time AI-based System for Home-cage Animal Tracking, Segmentation and Behavioral Analysis",Institute of Automation,Institute of Automation,University of Science and Technology Beijing,"University of California, Berkeley",Center for Excellence in Brain Science and Intelligence Technology,Institute of Automation,Huazhong Agricultural University,Institute of Automation,Institute of Automation,Institute of Automation,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,,,,,11.0,0.0
293,An Interactive Visualization Platform for Deep Symbolic Regression,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
294,Exploiting Neuron and Synapse Filter Dynamics in Spatial Temporal Learning of Deep Spiking Neural Network,Syracuse University,Syracuse University,Syracuse University,Syracuse University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
295,Modelling Bounded Rationality in Multi-Agent Interactions by Generalized Recursive Reasoning,University College London,University College London, Huawei Research & Development U.K,University College London,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
296,Structured Probabilistic End-to-End Learning from Crowds,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Delft University of Technology,,,,,,,,,,,,,,,13.0,0.0
297,Self-Guided Evolution Strategies with Historical Estimated Gradients,Nanjing University,University of Science and Technology of China," Polixir, Nanjing 210038, Chin",Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
298,Adversarial Mutual Information Learning for Network Embedding,Tianjin University,Tianjin University,Tianjin University,Hebei University of Technology,Tianjin University,George Washington University,University of Illinois at Chicago,Tsinghua University,,,,,,,,,,,,,,,,,,,,8.0,0.0
