Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,num_academia,num_company
570,Convolutional Neural Tensor Network Architecture for Community-based Question Answering,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
571,Probabilistic Belief Contraction Using Argumentation,Griffith University,Macquarie University,Macquarie University,Griffith University,Griffith University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
572,The Logic of Qualitative Probability,Simon Fraser University,"Vancouver, B.C., Canad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
573,Strategic Abstention Based on Preference Extensions: Positive Results and Computer-Generated Impossibilities,Technical University of Munich,Technical University of Munich,Technical University of Munich,Technical University of Munich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
574,IJCAI-15 Award for Research Excellence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
575,Exploring Implicit Hierarchical Structures for Recommender Systems,Arizona State University,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
576,Environment-Driven Social Force Model: Lévy Walk Pattern in Collective Behavior,Southeast University,Southeast University,Southeast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
577,Multi-Objective POMDPs with Lexicographic Reward Preferences,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
578,"A Synthetic Approach for Recommendation: Combining Ratings, Social Relations, and Reviews",Nanjing University,Nanjing University,Hong Kong Baptist University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
579,Epistemic Equilibrium Logic *,Université de Toulouse," We thank Pedro Cabalar, Michael Gelfond, Patrick Thor Kah",French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
580,The Spatio-Temporal Representation of Natural Reading,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
581,Dynamic Execution of Temporal Plans with Sensing Actions and Bounded Risk,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
582,Syntax-Based Deep Matching of Short Texts,Institute of Computing Technology,Huawei Technologies (Canada),Huawei Technologies (Canada),Institute of Computing Technology,Dublin City University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
583,Iterative Learning of Parallel Lexicons and Phrases from Non-Parallel Corpora,Tsinghua University,Tsinghua University," Jiangsu Collaborative Innovation Center for Language Competence, Jiangsu, Chin",Tsinghua University,Tsinghua University," Jiangsu Collaborative Innovation Center for Language Competence, Jiangsu, Chin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
584,Generating all Possible Palindromes from Ngram Corpora,Sony Computer Science Laboratories,Sorbonne University,Sony Computer Science Laboratories,Nice Sophia Antipolis University,Sony Computer Science Laboratories,Sorbonne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
585,Computational Invention of Cadences and Chord Progressions by Conceptual Chord-Blending,Research Institute for Artificial Intelligence,University of Edinburgh,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,Research Institute for Artificial Intelligence,University Hospital Magdeburg,Osnabrück University,International Computer Science Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
586,Structural Tractability of Shapley and Banzhaf Values in Allocation Games,University of Calabria,University of Calabria,University of Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
587,The Game-Theoretic Interaction Index on Social Networks with Applications to Link Prediction and Community Detection,Warsaw University of Technology,Warsaw University of Technology,University of Oxford,University of Warsaw," Masdar Institute, Abu Dhabi 54224, UA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
588,Bi-Parameter Space Partition for Cost-Sensitive SVM,Nanjing University of Information Science and Technology,Western University,University of Central Arkansas,Western University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
589,Learning Efficient Logical Robot Strategies Involving Composable Objects,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
590,On the Online Generation of Effective Macro-Operators,PARK Research Group School of Computing and Engineering University of Huddersfiel,PARK Research Group School of Computing and Engineering University of Huddersfiel,PARK Research Group School of Computing and Engineering University of Huddersfiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
591,Sorting Sequential Portfolios in Automated Planning,Carlos III University of Madrid,Carlos III University of Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
592,Strategic Network Formation through an Intermediary *,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
593,Diagnosis of Technical Systems,Graz University of Technology,Graz University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
594,Stochastic Density Ratio Estimation and Its Application to Feature Selection *,Universidade de São Paulo,Universidade de São Paulo,Columbia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
595,A Graph Kernel Based on the Jensen-Shannon Representation Alignment *,Central University of Finance and Economics,University of York,Xiamen University,University of Nottingham,Beihang University,University of York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
596,Re-Ranking Voting-Based Answers by Discarding User Behavior Biases,Beijing Institute of Technology,Beijing Institute of Technology,Microsoft Research Asia (China),Beijing Institute of Technology,Beijing Institute of Technology,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
597,Personalized Sentiment Classification Based on Latent Individuality of Microblog Users,Northeastern University,Northeastern University,Qatar Computing Research Institute,Northeastern University,Northeastern University,University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
598,Max-Sum Goes Private,The Open University,Ben-Gurion University of the Negev,Ariel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
599,Learning Cooperative Games,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
600,Reinforcement Learning from Demonstration through Shaping,Vrije Universiteit Brussel,Vrije Universiteit Brussel,Worcester Polytechnic Institute,Worcester Polytechnic Institute,Washington State University,Vrije Universiteit Brussel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
601,Maximum Entropy Semi-Supervised Inverse Reinforcement Learning,Center for MathematicaL studies and their Applications,Center for MathematicaL studies and their Applications,Center for MathematicaL studies and their Applications,Center for MathematicaL studies and their Applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
602,Handling Complex Commands as Service Robot Task Requests,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
603,What Do We Elect Committees For? A Voting Committee Model for Multi-Winner Rules,University of Warsaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
604,A Unified Probabilistic Model of User Activities and Relations on Social Networking Sites,"Networking and Mobility HP Labs China UBP, Chaoyang District, Beijing, Chin","Networking and Mobility HP Labs China UBP, Chaoyang District, Beijing, Chin","Networking and Mobility HP Labs China UBP, Chaoyang District, Beijing, Chin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
605,Matrix Factorization with Scale-Invariant Parameters,University of Science and Technology of China, Baidu Research-Big Data Lab,University of Science and Technology of China,Chinese Academy of Sciences,University of Science and Technology of China, Baidu Research-Big Data Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
606,Self-Adaptive Hierarchical Sentence Model,University of Waterloo,Huawei Technologies (Canada),University of Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
607,Conference Committee Conference Chair,University of Oxford,Hong Kong University of Science and Technology,Universidad Nacional del Sur,"IJCAI Executive Secretary Vesna Sabljakovic-Fritz (Vienna University of Technology, Austria",Hong Kong University of Science and Technology,Research Institute for Artificial Intelligence,University of London,Grenoble Computer Science Laboratory,Nanjing University,University of Alberta,Simon Fraser University,Hong Kong University of Science and Technology,Cornell University,Paris Dauphine University,Indian Institute of Technology Delhi,Vanderbilt University,Carnegie Mellon University,University of Buenos Aires,National Aeronautics and Space Administration,Tsinghua University,University of Amsterdam,University of Waterloo,Nanyang Technological University,Institute for Infocomm Research,University of Minnesota,University of Buenos Aires,University of Science and Technology of China,Technical University of Munich,Linköping University,Research Institute for Artificial Intelligence,"Conference Organization Activity Chair Toby Walsh (NICTA and University of New South Wales, Australia",Nanjing University,Universidad Nacional del Sur,University of Buenos Aires,32.0,0.0
608,Tradeoffs between Incentive Mechanisms in Boolean Games,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ariel University,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
609,Modular Systems with Preferences,Simon Fraser University,Simon Fraser University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
610,Verification of Generalized Inconsistency-Aware Knowledge and Action Bases,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
611,Swarm Systems in the Visualization of Consumption Patterns,University of Coimbra,University of Coimbra,University of Coimbra,University of Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
612,Interplanetary Trajectory Planning with Monte Carlo Tree Search,European Space Agency,European Space Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
613,Security Games with Information Leakage: Modeling and Computation,Trinity University,Trinity University,Trinity University,Independent Researcher USC US,Independent Researcher USC US,Independent Researcher USC US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
614,Active Imitation Learning of Hierarchical Policies,Oregon State University,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
615,Density Corrected Sparse Recovery When R.I.P. Condition Is Broken,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
616,Implementing the Wisdom of Waze *,Harvard University,Tel Aviv University,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
617,Online Robust Low Rank Matrix Recovery,Academia Sinica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
618,"Intersecting Manifolds: Detection, Segmentation, and Labeling",University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
619,Crowdsourced Semantic Matching of Multi-Label Annotations,Hokkaido University,Hokkaido University,Hokkaido University,Hokkaido University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
620,When Does Schwartz Conjecture Hold? *,University of Bonn,ETH Zurich,Saarland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
621,Smooth UCT Search in Computer Poker,University College London,University College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
622,Collaborative Place Models,Foursquare Lab,YP Mobile Lab,Princeton University,Columbia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
623,Catch the Black Sheep: Unified Framework for Shilling Attack Detection Based on Fraudulent Action Propagation, State Key Laboratory of Intelligent Technology and System,Tsinghua University, State Key Laboratory of Intelligent Technology and System,Tsinghua University, State Key Laboratory of Intelligent Technology and System,Tsinghua University, State Key Laboratory of Intelligent Technology and System,Tsinghua University,National University of Singapore, State Key Laboratory of Intelligent Technology and System,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
624,Haiku Generator That Reads Blogs and Illustrates Them with Sounds and Images,Hokkaido University,Hokkaido University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
625,Model-Based Genetic Algorithms for Algorithm Configuration,University of Lleida,IBM Research - Austin,IBM Research - Austin,IBM Research - Austin,Paderborn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
626,"Framing Image Description as a Ranking Task: Data, Models and Evaluation Metrics",University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
627,Influencing Individually: Fusing Personalization and Persuasion Extended Abstract,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,University of Oulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
628,"Integrating Importance, Non-Redundancy and Coherence in Graph-Based Extractive Summarization",Heidelberg Institute for Theoretical Studies,Heidelberg Institute for Theoretical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
629,"Modeling Mention, Context and Entity with Neural Networks for Entity Disambiguation",Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Microsoft Research Asia (China),Harbin Institute of Technology,Harbin Institute of Technology,State University of Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0
630,Automated Agents for Advice Provision,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
631,CoBots: Robust Symbiotic Autonomous Mobile Service Robots,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
632,Personalized Ad Recommendation Systems for Life-Time Value Optimization with Guarantees,Adobe Research and INRI,Adobe Research and INRI,Adobe Research and INRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
633,Polynomial-Time Reformulations of LTL Temporally Extended Goals into Final-State Goals,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
634,Adaptive Dropout Rates for Learning with Corrupted Features,"Dept. of Comp. Sci. & Tech., State Key Lab of Intell. Tech. & Sys., TNList Lab",Tsinghua University,China University of Mining and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
635,Joint Learning of Character and Word Embeddings,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,13.0,0.0
636,Hamming Compatible Quantization for Hashing,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
637,Large Scale Homophily Analysis in Twitter Using a Twixonomy,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
638,Learning Efficient Logic Programs,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
639,Exploiting Trust Information to Cope with Malicious Entities in Multi-Agent Systems,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
640,Compiling Away Uncertainty in Strong Temporal Planning with Uncontrollable Durations,Fondazione Bruno Kessler,Ames Research Center,Ames Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
641,Optimal Planning with Axioms,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
