Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
695,Learning Attention from Attention: Efficient Self-Refinement Transformer for Face Super-Resolution,Xi'an Jiaotong University,Xi'an Jiaotong University,Southeast University,Xi'an Jiaotong University,Inception Institute of Artificial Intelligence,Xi'an Jiaotong University,,,,,,,,,,,,6.0,0.0
696,StackFLOW: Monocular Human-Object Reconstruction by Stacked Normalizing Flow with Offset,ShanghaiTech University, Shanghai Engineering Research Center of Intelligent Vision and Imagin,ShanghaiTech University, Shanghai Engineering Research Center of Intelligent Vision and Imagin,ShanghaiTech University, Shanghai Engineering Research Center of Intelligent Vision and Imagin,ShanghaiTech University, Shanghai Engineering Research Center of Intelligent Vision and Imagin,ShanghaiTech University, Shanghai Engineering Research Center of Intelligent Vision and Imagin,ShanghaiTech University, Shanghai Engineering Research Center of Intelligent Vision and Imagin,,,,,,6.0,0.0
697,Bipolar Abstract Dialectical Frameworks Are Covered by Kleene's Three-valued Logic,Leipzig University,Leipzig University,"Bauhaus University, Weimar",,,,,,,,,,,,,,,3.0,0.0
698,Generalized Discriminative Deep Non-Negative Matrix Factorization Based on Latent Feature and Basis Learning,ShanghaiTech University,ShanghaiTech University,ShanghaiTech University,,,,,,,,,,,,,,,3.0,0.0
699,Semi-supervised Domain Adaptation via Prototype-based Multi-level Learning,Beijing University of Posts and Telecommunications,Xidian University,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,4.0,0.0
700,Spike Count Maximization for Neuromorphic Vision Recognition,Sun Yat-sen University,Sun Yat-sen University,Key Laboratory of Guangdong Province,Ministry of Education,Sun Yat-sen University,Key Laboratory of Guangdong Province,Ministry of Education,Sun Yat-sen University,Key Laboratory of Guangdong Province,Ministry of Education,,,,,,,,10.0,0.0
701,Graph-based Semi-supervised Local Clustering with Few Labeled Nodes,University of Georgia,University of Georgia,University of Virginia,,,,,,,,,,,,,,,3.0,0.0
702,CostFormer: Cost Transformer for Cost Aggregation in Multi-view Stereo,South China University of Technology,South China University of Technology," Guangdong Artificial Intelligence and Digital Enconomy Laboratory, Pazhou La",,,,,,,,,,,,,,,1.0,6.0
703,Strip Attention for Image Restoration,Technical University of Munich," MIT Universal Village Program, US",Peking University,Technical University of Munich,,,,,,,,,,,,,,4.0,0.0
704,"A Survey on Proactive Dialogue Systems: Problems, Methods, and Prospects",National University of Singapore,Sichuan University,Chinese University of Hong Kong,National University of Singapore,,,,,,,,,,,,,,4.0,0.0
