Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
40,Exploiting Spiking Dynamics with Spatial-temporal Feature Normalization in Graph Learning,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,6.0,0.0
41,Rethinking Label-Wise Cross-Modal Retrieval from A Semantic Sharing Perspective,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University,Baidu (China),Nanjing University,Nanjing University of Science and Technology,,,,,,,,,,,,,,,5.0,1.0
42,Average-Reward Reinforcement Learning with Trust Region Methods,Tsinghua University,University College London,Sun Yat-sen University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,5.0,0.0
43,Contrastive Losses and Solution Caching for Predict-and-Optimize,Vrije Universiteit Brussel,Vrije Universiteit Brussel,University of Siena,University of Bologna,Vrije Universiteit Brussel,Vrije Universiteit Brussel,KU Leuven,,,,,,,,,,,,,,7.0,0.0
44,Towards Understanding the Spectral Bias of Deep Learning,Los Angeles Medical Center,City University of Hong Kong,Los Angeles Medical Center,City University of Hong Kong,Los Angeles Medical Center,,,,,,,,,,,,,,,,5.0,0.0
45,Monte Carlo Filtering Objectives,Royal Institute of Technology,Federal University of São Carlos,Federal University of São Carlos,Chalmers University of Technology,Royal Institute of Technology,,,,,,,,,,,,,,,,5.0,0.0
46,Local Representation is Not Enough: Soft Point-wise Transformer for Descriptor and Detector of Local Features,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,,,,,,,,,,,,,,,,,,3.0,0.0
47,ConvLogMiner: A Real-Time Conversational Lifelog Miner,National Taiwan University,National Taiwan University,"Institute of Information Science, Academia Sinica",Joint Research Center,National Taiwan University,Joint Research Center,,,,,,,,,,,,,,,6.0,0.0
48,Towards Fair and Transparent Algorithmic Systems,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,1.0,0.0
49,Custom-Design of FDR Encodings: The Case of Red-Black Planning,Saarland University,Czech Technical University in Prague,Saarland University,IBM Research - Thomas J. Watson Research Center,Saarland University,,,,,,,,,,,,,,,,5.0,0.0
50,Causal Discovery with Multi-Domain LiNGAM for Latent Factors,Guangdong University of Technology,Shiga University of Medical Science,Guangdong University of Technology,Peking University,Okayama University,Guangdong University of Technology,Foshan University,,,,,,,,,,,,,,6.0,0.0
51,Graph Edit Distance Learning via Modeling Optimum Matchings with Constraints,Hong Kong Baptist University,Hong Kong Baptist University,Hong Kong Baptist University,,,,,,,,,,,,,,,,,,3.0,0.0
52,Modeling Trajectories with Neural Ordinary Differential Equations,National University of Singapore,National University of Singapore,National University of Singapore,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,6.0,0.0
53,Recent Advances in Heterogeneous Relation Learning for Recommendation,University of Hong Kong,,,,,,,,,,,,,,,,,,,,1.0,0.0
54,Person Search Challenges and Solutions: A Survey,Monash University,Northwest University,Northwest University,Monash University,Carnegie Mellon University,,,,,,,,,,,,,,,,5.0,0.0
55,Look Wide and Interpret Twice: Improving Performance on Interactive Instruction-following Tasks,Tohoku University,Tohoku University,Tohoku University,,,,,,,,,,,,,,,,,,3.0,0.0
56,SalientSleepNet: Multimodal Salient Wave Detection Network for Sleep Staging,Beijing Jiaotong University,University of Science and Technology Beijing,Beijing Jiaotong University,University of Science and Technology Beijing,Chinese Academy of Civil Aviation Science and Technology,Beijing Jiaotong University,University of Science and Technology Beijing,Chinese Academy of Civil Aviation Science and Technology,Beijing Jiaotong University,Beijing Jiaotong University,Beijing Jiaotong University,,,,,,,,,,9.0,0.0
57,Graph Filter-based Multi-view Attributed Graph Clustering,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,2.0,0.0
58,Enhancing Label Representations with Relational Inductive Bias Constraint for Fine-Grained Entity Typing,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,6.0,0.0
59,Modeling Precomputation In Games Played Under Computational Constraints,University of Oxford,,,,,,,,,,,,,,,,,,,,1.0,0.0
60,Using Platform Models for a Guided Explanatory Diagnosis Generation for Mobile Robots,RWTH Aachen University,RWTH Aachen University,RWTH Aachen University,,,,,,,,,,,,,,,,,,3.0,0.0
61,RAFT: Recurrent All-Pairs Field Transforms for Optical Flow (Extended Abstract),Princeton University,Princeton University,,,,,,,,,,,,,,,,,,,2.0,0.0
62,An Information-Theoretic Approach on Causal Structure Learning for Heterogeneous Data Characteristics of Real-World Scenarios,University of Potsdam,,,,,,,,,,,,,,,,,,,,1.0,0.0
63,Closing the BIG-LID: An Effective Local Intrinsic Dimensionality Defense for Nonlinear Regression Poisoning,University of Melbourne,Defence Science and Technology Group,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,6.0,0.0
64,Sensitivity Direction Learning with Neural Networks Using Domain Knowledge as Soft Shape Constraints,,,,,,,,,,,,,,,,,,,,,0.0,0.0
65,Graphical Cake Cutting via Maximin Share,University of Oxford,Ariel University,National University of Singapore,,,,,,,,,,,,,,,,,,3.0,0.0
66,SURPRISE! and When to Schedule It,Peking University,Peking University,Peking University,Peking University,University of Michigan–Ann Arbor,University of Washington,Peking University,Peking University,Peking University,Peking University,University of Washington,University of Michigan–Ann Arbor,,,,,,,,,12.0,0.0
67,Generating Senses and RoLes: An End-to-End Model for Dependency-and Span-based Semantic Role Labeling,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,,,,,,,,,4.0,0.0
68,Improving Text Generation with Dynamic Masking and Recovering,Soochow University,Soochow University,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,3.0,0.0
69,Multi-Level Graph Encoding with Structural-Collaborative Relation Learning for Skeleton-Based Person Re-Identification,Shenzhen Institutes of Advanced Technology,University of Hong Kong,Shenzhen Institutes of Advanced Technology,University of Hong Kong,Lanzhou University,Shenzhen Institutes of Advanced Technology,University of Hong Kong,Lanzhou University,Shenzhen Institutes of Advanced Technology,University of Hong Kong,Lanzhou University,Beijing Institute of Technology,,,,,,,,,12.0,0.0
70,Dual Reweighting Domain Generalization for Face Presentation Attack Detection,East China Normal University," Youtu Lab, Tencent, Shanghai, Chin"," Youtu Lab, Tencent, Shanghai, Chin"," Youtu Lab, Tencent, Shanghai, Chin"," Youtu Lab, Tencent, Shanghai, Chin"," Youtu Lab, Tencent, Shanghai, Chin"," Youtu Lab, Tencent, Shanghai, Chin",East China Normal University," Youtu Lab, Tencent, Shanghai, Chin",East China Normal University,,,,,,,,,,,3.0,0.0
71,RETCL: A Selection-based Approach for Retrosynthesis via Contrastive Learning,Korea Advanced Institute of Science and Technology,Mohamed bin Zayed University of Artificial Intelligence,ANDI, Samsung Electronic,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,4.0,0.0
72,Two Birds with One Stone: Series Saliency for Accurate and Interpretable Multivariate Time Series Forecasting,Robert Bosch (India),Tsinghua University, RealA,Robert Bosch (India),Tsinghua University,,,,,,,,,,,,,,,,2.0,2.0
