Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
97,Recommender Systems: Missing Data and Statistical Model Estimation,University of British Columbia,University of Toronto,New York University,Yahoo (United States),,,,,,,,,3.0,1.0
98,OCS-14: You Can Get Occluded in Fourteen Ways,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,,,,,,,,,,3.0,0.0
99,Learning Cause Identifiers from Annotator Rationales,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,4.0,0.0
100,Backdoors to Tractable Answer-Set Programming *,University of Vienna,University of Vienna,,,,,,,,,,,2.0,0.0
101,Revising by an Inconsistent Set of Formulas,Simon Fraser University,,,,,,,,,,,,1.0,0.0
102,Simulating the Emergence of Grammatical Agreement in Multi-Agent Language Games,Vrije Universiteit Brussel,Vrije Universiteit Brussel,,,,,,,,,,,2.0,0.0
103,A Market Clearing Solution for Social Lending,Nanyang Technological University," Yahoo! Research, Santa Clara, CA, USA",,,,,,,,,,,1.0,0.0
104,Automatic Construction of Efficient Multiple Battery Usage Policies,University of Strathclyde,University of Strathclyde,University of Chieti-Pescara,,,,,,,,,,3.0,0.0
105,Cross-People Mobile-Phone Based Activity Recognition,Institute of Computing Technology,Chinese Academy of Sciences,Institute of Computing Technology,Nanyang Technological University,Institute of Computing Technology,Nanyang Technological University,Nanyang Technological University,Institute of Computing Technology,Chinese Academy of Sciences,,,,9.0,0.0
106,Leveraging Unlabeled Data to Scale Blocking for Record Linkage,Shanghai Jiao Tong University,Microsoft Research Asia (China),Dalian University of Technology,Shanghai Jiao Tong University,Microsoft (United States),Microsoft Research Asia (China),Shanghai Jiao Tong University,,,,,,4.0,3.0
107,On the Complexity of EL with Defeasible Inclusions *,University of Naples Federico II,University of Naples Federico II,University of Naples Federico II,,,,,,,,,,3.0,0.0
108,Symmetry Breaking via LexLeader Feasibility Checkers,Brown University,Brown University,,,,,,,,,,,2.0,0.0
109,A Wikipedia Based Semantic Graph Model for Topic Tracking in Blogosphere,National University of Defense Technology,Hong Kong Polytechnic University,National University of Defense Technology,Hong Kong Polytechnic University," National Laboratory for Parallel and Distributed Processing, Changsha, P.R. Chin",Hong Kong Polytechnic University,,,,,,,5.0,0.0
110,Active Exploration for Robust Object Detection,Institute for Computer Science and Control,Institute for Computer Science and Control,Institute for Computer Science and Control,University of Oxford,Institute for Computer Science and Control,,,,,,,,5.0,0.0
111,Automatic State Abstraction from Demonstration *,"College of Engineering Georgia Tech Atlanta, GA 3033","College of Computing Georgia Tech Atlanta, GA 3033","College of Computing Georgia Tech Atlanta, GA 3033","College of Computing Georgia Tech Atlanta, GA 3033",,,,,,,,,4.0,0.0
112,Approximation-Guided Evolutionary Multi-Objective Optimization,Max Planck Institute for Informatics,Max Planck Institute for Informatics,University of Adelaide,University of Adelaide,,,,,,,,,4.0,0.0
113,Push and Swap: Fast Cooperative Path-Finding with Completeness Guarantees,University of Nevada Reno,University of Nevada Reno,,,,,,,,,,,2.0,0.0
114,Collective Semantic Role Labeling for Tweets with Clustering,Harbin Institute of Technology,Microsoft Research Asia (China),Chongqing University,Microsoft Research Asia (China),Chongqing University,,,,,,,,3.0,2.0
115,Community Detection in Social Networks through Community Formation Games *,Microsoft Research (India),Shanghai Jiao Tong University,Microsoft Research (India),"Knowledge Discovery, 21(2), 2010",,,,,,,,,1.0,2.0
116,Modeling the Emergence and Convergence of Norms,University of Tulsa,Westmont College,University of Tulsa,,,,,,,,,,3.0,0.0
117,Jointly Learning Data-Dependent Label and Locality-Preserving Projections,"IBM T. J. Watson Research Lab 19 Skyline Drive Hawthorne, New York 1053",University of Massachusetts Amherst,,,,,,,,,,,1.0,1.0
118,Lifted Probabilistic Inference by First-Order Knowledge Compilation,KU Leuven,KU Leuven,KU Leuven,KU Leuven,KU Leuven,,,,,,,,5.0,0.0
119,Finding the Hidden Gems: Recommending Untagged Music,Robert Gordon University,Robert Gordon University,Robert Gordon University,Robert Gordon University,,,,,,,,,4.0,0.0
120,Finite-Valued Lukasiewicz Modal Logic Is PSPACE-Complete,University of Barcelona,Research Institute for Artificial Intelligence,Research Institute for Artificial Intelligence,,,,,,,,,,3.0,0.0
121,Space Defragmentation Heuristic for 2D and 3D Bin Packing Problems,Sun Yat-sen University,Hong Kong University of Science and Technology,City University,,,,,,,,,,3.0,0.0
122,Coalitional Voting Manipulation: A Game-Theoretic Perspective,"Microsoft Research Cambridge, U",Nanyang Technological University,AGH University of Science and Technology,,,,,,,,,,2.0,0.0
123,Using Incentive Mechanisms for an Adaptive Regulation of Open Multi-Agent Systems *,National University of Distance Education,King Juan Carlos University,,,,,,,,,,,2.0,0.0
