Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
140,On the Relationship between P-log and LP MLN⇤,Texas Tech University,Texas Tech University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
141,A Polynomial Time Optimal Algorithm for Robot-Human Search under Uncertainty,National University of Defense Technology,University of Southampton,University of Southampton,National University of Defense Technology,National University of Defense Technology,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
142,Timeline Summarization from Social Media with Life Cycle Models,Kyoto University,University of Southern California,] Yahoo Inc,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
143,Collaborative Evolution for User Profiling in Recommender Systems,Hong Kong University of Science and Technology,Nanyang Technological University,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
144,WikiWrite: Generating Wikipedia Articles Automatically,Pennsylvania State University,Pennsylvania State University,Qatar Computing Research Institute,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
145,Plausible Reasoning Based on Qualitative Entity Embeddings,Cardiff University,Cardiff University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
146,From Non-Convex Aggregates to Monotone Aggregates in ASP ⇤,University of Calabria,University of Huddersfield,University of Potsdam,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
147,Hierarchical Finite State Controllers for Generalized Planning,Pompeu Fabra University,Pompeu Fabra University,Pompeu Fabra University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
148,DrMAD: Distilling Reverse-Mode Automatic Differentiation for Optimizing Hyperparameters of Deep Neural Networks,National University of Singapore,Tsinghua University,National University of Singapore,Tsinghua University,National University of Singapore,Tsinghua University,National University of Singapore,Tsinghua University,,,,,,,,,,,,,,,,,,,,8.0,0.0
149,Learning Higher-Order Logic Programs through Abstraction and Invention ⇤,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
150,Correlated Voting,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
151,Iterative Views Agreement: An Iterative Low-Rank Based Structured Optimization Method to Multi-View Spectral Clustering,UNSW Sydney,UNSW Sydney,University of Adelaide,University of Melbourne,UNSW Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
152,Deep Nonlinear Feature Coding for Unsupervised Domain Adaptation,Nanyang Technological University,Technology Centre,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
153,Hierarchical Planning: Relating Task and Goal Decomposition with Task Sharing," MITRE; McLean, V",Nexus Research,United States Naval Research Laboratory,Ames Research Center,United States Naval Research Laboratory,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
154,Achieving Proportional Representation in Conference Programs,University of Patras,Research Academic Computer Technology Institute,Paris Dauphine University,Paris Dauphine University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
155,Deep Subspace Clustering with Sparsity Prior ⇤,Institute for Infocomm Research,Nanyang Technological University, OmniVision Technologies Singapore Pte. Ltd,National University of Singapore,Institute for Infocomm Research,Sichuan University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
156,Multi-Grained Role Labeling Based on Multi-Modality Information for Real Customer Service Telephone Conversation,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
157,Household Structure Analysis via Hawkes Processes for Enhancing Energy Disaggregation ⇤,East China Normal University,Georgia Institute of Technology,East China Normal University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
158,Scene Text Detection in Video by Learning Locally and Globally,University of Science and Technology Beijing,University of Science and Technology Beijing,University of Science and Technology Beijing,University of Science and Technology Beijing,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
159,Equivalent Stream Reasoning Programs ⇤,"Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri",,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
160,DeepSchema: Automatic Schema Acquisition from Wearable Sensor Data in Restaurant Situations,Seoul National University,Seoul National University,Seoul National University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
161,Assessing Translation Ability through Vocabulary Ability Assessment,Kyoto University,Kyoto University,Kyoto University,Kyoto University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
162,Detecting Rumors from Microblogs with Recurrent Neural Networks,Chinese University of Hong Kong,Qatar Computing Research Institute,Qatar Computing Research Institute,Korea Advanced Institute of Science and Technology,Qatar Computing Research Institute,Chinese University of Hong Kong,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,4.0,0.0
163,Conditional and Sequential Approval Voting on Combinatorial Domains,Paris Dauphine University,Paris Dauphine University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
164,Better Strategyproof Mechanisms without Payments or Prior -An Analytic Approach,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
165,Subspace Clustering via New Low-Rank Model with Discrete Group Structure Constraint,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
166,A Branch-And-Price Algorithm for Scheduling Observations on a Telescope,"Laboratoire des Sciences pour la Conception, l'Optimisation et la Production","Laboratoire des Sciences pour la Conception, l'Optimisation et la Production","Univ. Grenoble Alpes, IPAG, F-38000 Grenoble, Franc",Institut de Planétologie et d'Astrophysique de Grenoble,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
167,Representation Learning of Knowledge Graphs with Hierarchical Types,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,,,,,,,,,,,,,,,,,,,,8.0,0.0
168,LTL f and LDL f Synthesis under Partial Observability,Sapienza University of Rome,Rice University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
169,Knowledge Compilation Meets Communication Complexity,Institut de Mathématiques de Jussieu,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
170,Progressive Comparison for Ranking Estimation,Kyoto University,Japan Science and Technology Agency,National Institute of Advanced Industrial Science and Technology,Kyoto University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
171,Deep Semantic-Preserving and Ranking-Based Hashing for Image Retrieval,Microsoft Research Asia (China),University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
172,Trading-Off Cost of Deployment Versus Accuracy in Learning Predictive Models ⇤,Johns Hopkins University,Johns Hopkins University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
173,Dynamic Early Stopping for Naive Bayes,KU Leuven,KU Leuven,KU Leuven,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
174,Semi-Supervised Active Learning with Cross-Class Sample Transfer ⇤,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
175,How Hard Is It for a Party to Nominate an Election Winner?,AGH University of Science and Technology,Paris Dauphine University,Paris Dauphine University,Paris Dauphine University,Paris Dauphine University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
176,Three Strategies to Success: Learning Adversary Models in Security Games,Carnegie Mellon University,University of Southern California,University of Southern California,Carnegie Mellon University,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
177,Sequencing Operator Counts,Data61,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
178,Sequential Planning for Steering Immune System Adaptation,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
179,Hierarchical Model Predictive Control for Multi-Robot Navigation,Nanjing University,Nanjing University,Nanjing University,Teesside University,Shenzhen University,Teesside University,Nanjing University,,,,,,,,,,,,,,,,,,,,,7.0,0.0
180,Recognizing Opinion Sources Based on a New Categorization of Opinion Types,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
181,Exploiting Problem Structure in Combinatorial Landscapes: A Case Study on Pure Mathematics Application,LogicMill Technology (United States),"Zun-Jing Wang WIOMAX LLC, US",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
182,An ASP Semantics for Default Reasoning with Constraints," University of Corunna, Spai",University of Potsdam,University of Potsdam,University of Potsdam,French Institute for Research in Computer Science and Automation,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
183,Budgeted Multi-Armed Bandits with Multiple Plays ⇤,University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),University of Science and Technology of China,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,2.0,3.0
184,Fast Robust Non-Negative Matrix Factorization for Large-Scale Human Action Data Clustering,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
185,Learning Hostname Preference to Enhance Search Relevance,University of Illinois Urbana-Champaign, Yahoo! Lab,University of Illinois Urbana-Champaign, Yahoo! Lab,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
186,Policy Search in Reproducing Kernel Hilbert Space,University of Stuttgart,University of Stuttgart,University of Stuttgart,University of Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
187,Cost-Aware Pre-Training for Multiclass Cost-Sensitive Deep Learning,National Taiwan University,National Taiwan University,Intel Lab,Intel (United States),,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
188,Incremental Truncated LSTD,Cambridge–MIT Institute,Indiana University Bloomington,Indiana University Bloomington,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
189,On Broken Triangles ⇤,Aix-Marseille University,Normandie Université,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
190,"Boolean Satisfiability and Beyond: Algorithms, Analysis, and AI Applications",Helsinki Institute for Information Technology,University of Helsinki,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
191,Measuring Performance of Peer Prediction Mechanisms Using Replicator Dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
192,Protein Secondary Structure Prediction Using Cascaded Convolutional and Recurrent Neural Networks,City University of Hong Kong,City University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
193,Leviathan: A New LTL Satisfiability Checking Tool Based on a One-Pass Tree-Shaped Tableau,University of Udine,University of Udine,University of Udine,University of Western Australia,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
194,Dynamic Task Allocation Algorithm for Hiring Workers that Learn,University of Waterloo,University of Waterloo,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
195,Fast Laplace Approximation for Sparse Bayesian Spike and Slab Models,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
196,Outlier Detection in Complex Categorical Data by Modelling the Feature Value Couplings,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
197,Expert Finding for Community-Based Question Answering via Ranking Metric Network Learning,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
198,Maintaining Evolving Domain Models ⇤,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
199,Robust Draws in Balanced Knockout Tournaments,Institute of Science and Technology Austria,Institute of Science and Technology Austria,Institute of Science and Technology Austria,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
200,Facility Location with Minimax Envy,Tsinghua University,University of Oxford,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
201,Matching via Dimensionality Reduction for Estimation of Treatment Effects in Digital Marketing Campaigns,Northeastern University,Adobe Systems (United States),Adobe Systems (United States),Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
202,Efficient Algorithms for Spanning Tree Centrality,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
203,Scale-Adaptive Low-Resolution Person Re-Identification via Learning a Discriminating Surface,Wuhan University,Wuhan University,National Institute of Informatics,China University of Geosciences,Wuhan University,Institute of Automation,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
204,Interactive Martingale Boosting,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
205,Query Answering with Transitive and Linear-Ordered Data,Laboratoire Traitement et Communication de l’Information,University of Paris-Saclay,University of Oxford,University of Lille,French Institute for Research in Computer Science and Automation,University of Oxford,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
206,Situation Testing-Based Discrimination Discovery: A Causal Inference Approach,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
207,Neural Network Translation Models for Grammatical Error Correction, NUS Graduate School for Integrative Sciences and Engineerin,National University of Singapore, NUS Graduate School for Integrative Sciences and Engineerin,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
208,Demand Prediction and Placement Optimization for Electric Vehicle Charging Stations,University of Indianapolis,University of Indianapolis,University of Indianapolis,University of Indianapolis,University of Indianapolis,University of Indianapolis,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
209,Heuristics for Numeric Planning via Subgoaling,Australian National University,Australian National University,Data61,Australian National University,Data61,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
210,Social Choice for Agents with General Utilities,Harvard University,Technion – Israel Institute of Technology,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
211,Committee Scoring Rules: Axiomatic Classification and Hierarchy ⇤,AGH University of Science and Technology,University of Oxford,University of Auckland,Weizmann Institute of Science,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
212,Distance Based Modeling of Interactions in Structured Regression,Temple University,University of Belgrade,Serbian Academy of Sciences and Arts,University of Belgrade,University of Belgrade,Temple University,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
213,Diversifying Convex Transductive Experimental Design for Active Learning,Institute of Software,University of Chinese Academy of Sciences,Institute of Software,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
214,Modeling the Homophily Effect between Links and Communities for Overlapping Community Detection,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
215,Cross-Media Shared Representation by Hierarchical Learning with Multiple Deep Networks,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
216,Query-Driven Repairing of Inconsistent DL-Lite Knowledge Bases,University of Montpellier,University of Paris-Sud,"Franc ¸ois Goasdoué Univ. Rennes 1, CNRS Lannion, Franc",,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
217,Forgetting in Multi-Agent Modal Logics,Sun Yat-sen University,Jinan University,Sun Yat-sen University,University of Lorraine,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
218,Bayesian Optimization of Partition Layouts for Mondrian Processes,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,,,,,,,,9.0,0.0
219,Dimensionally Guided Synthesis of Mathematical Word Problems,"University of California, Davis","University of California, Davis",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
220,Completion of Disjunctive Logic Programs ⇤,University of Calabria,University of Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
221,Fear and Hope Emerge from Anticipation in Model-Based Reinforcement Learning,Delft University of Technology,Delft University of Technology,Delft University of Technology,Delft University of Technology,Delft University of Technology,Delft University of Technology,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,,,,,,,,8.0,0.0
222,Questimator: Generating Knowledge Assessments for Arbitrary Topics,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
223,What Does Social Media Say about Your Stress?,Tsinghua University,Ministry of Education,Tsinghua University,Ministry of Education,Shandong University of Science and Technology,Tsinghua University,Ministry of Education,National University of Singapore,,,,,,,,,,,,,,,,,,,,8.0,0.0
224,Pairwise Diffusion of Preference Rankings in Social Networks,University of Oxford,University of Oxford,University of Amsterdam,University of Toulouse,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
225,Verifying Pushdown Multi-Agent Systems against Strategy Logics ⇤,Middlesex University,East China Normal University,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
226,Factored Probabilistic Belief Tracking,Simón Bolívar University,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
227,Context-Specific and Multi-Prototype Character Representations,Fudan University,Shanghai Key Laboratory of Trustworthy Computing,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
228,Exploiting Partial Assignments for Efficient Evaluation of Answer Set Programs with External Source Access ⇤,TU Wien,TU Wien,TU Wien,TU Wien,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
229,First Order-Rewritability and Containment of Conjunctive Queries in Horn Description Logics,French National Centre for Scientific Research,University of Bremen,University of Bremen,University of Liverpool,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
230,Bernoulli Random Forests: Closing the Gap between Theoretical Consistency and Empirical Soundness,Tsinghua University,Tsinghua University,University of Technology Sydney,Tsinghua University,Tsinghua University,University of Technology Sydney,Tsinghua University,Tsinghua University,University of Technology Sydney,Florida Atlantic University,,,,,,,,,,,,,,,,,,10.0,0.0
231,WebGazer: Scalable Webcam Eye Tracking Using User Interactions,Brown University,Brown University,Georgia Institute of Technology,Brown University,Brown University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
232,Matrix Factorization+ for Movie Recommendation,Hong Kong University of Science and Technology,Nanyang Technological University,Hong Kong University of Science and Technology,Nanyang Technological University,Hong Kong University of Science and Technology,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
233,Adaptive Variance Reducing for Stochastic Gradient Descent,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
234,Supervised Heterogeneous Domain Adaptation via Random Forests,Indian Institute of Technology Ropar,Indian Institute of Technology Ropar,Punjab Engineering College,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
235,Voting-Based Group Formation,AGH University of Science and Technology,University of Auckland,Weizmann Institute of Science,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
236,Incentivizing Reliability in Demand-Side Response,Harvard University,Heriot-Watt University,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
237,PAC Greedy Maximization with Efficient Bounds on Information Gain for Sensor Selection,University of Amsterdam,University of Oxford,University of Liverpool,University of Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
238,A POMDP Approach to Influence Diagram Evaluation,Mississippi State University,Mississippi State University,Mississippi State University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
239,Agreement-Based Joint Training for Bidirectional Attention-Based Neural Machine Translation,Tsinghua University,Tsinghua University,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Tsinghua University,Ministry of Education of the People's Republic of China,Tsinghua University,,,,,,,,,,,,,,,,,,,,,7.0,0.0
240,Maximum Sustainable Yield Problem for Robot Foraging and Construction System,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
241,Directions in Hybrid Intelligence: Complementing AI Systems with Human Intelligence,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
242,Learning Qualitative Spatial Relations for Robotic Navigation,University of Liverpool,École Polytechnique Fédérale de Lausanne,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
243,A Distributed and Scalable Machine Learning Approach for Big Data,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
244,ADL TM : A Topic Model for Discovery of Activities of Daily Living in a Smart Home,University of Bristol,University of Bristol,University of Bristol,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
245,Generalized Dictionary for Multitask Learning with Boosting,McGill University,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
246,KOGNAC: Efficient Encoding of Large Knowledge Graphs,Vrije Universiteit Amsterdam,Max Planck Institute for Informatics,Max Planck Institute for Informatics,Max Planck Institute for Informatics,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
247,Plan Synthesis for Knowledge and Action Bases ⇤,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,IMT School for Advanced Studies Lucca,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
248,Cost-Saving Effect of Crowdsourcing Learning ⇤,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
249,Preference Inference Through Rescaling Preference Learning,Insight,Insight,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
250,Fast Learning from Distributed Datasets without Entity Matching,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
251,Coordinate Discrete Optimization for Efficient Cross-View Image Retrieval,Peking University," Didi Research, Beijing, 100193, Chin",Xidian University," Didi Research, Beijing, 100193, Chin",Xidian University,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
252,Learning Deep Intrinsic Video Representation by Exploring Temporal Coherence and Graph Structure ⇤,University of Science and Technology of China,Sun Yat-sen University,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
253,Makeup Like a Superstar: Deep Localized Makeup Transfer Network,Institute of Information Engineering,Institute of Information Engineering,Huazhong University of Science and Technology,Yunnan Open University,Institute of Information Engineering,University of Electronic Science and Technology of China,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,,,,,,,,,,,,8.0,0.0
254,Simulating Human Inferences in the Light of New Information: A Formal Analysis,University of Freiburg,TU Dortmund University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
255,Ontology-Mediated Queries Distributing Over Components,TU Wien,TU Wien,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
256,Diverse Image Captioning via GroupTalk,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,7.0,0.0
257,Improved Solvers for Bounded-Suboptimal Multi-Agent Path Finding ⇤,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
258,Truthfulness of a Proportional Sharing Mechanism in Resource Exchange,Zhejiang University of Finance and Economics,Shanghai Jiao Tong University,Hong Kong University of Science and Technology,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
259,On Logics of Strategic Ability based on Propositional Control,"Computer Science, Integrative Biology and Complex Systems",Université de Toulouse,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
260,Parameter-Free Auto-Weighted Multiple Graph Learning: A Framework for Multiview Clustering and Semi-Supervised Classification,Northwestern Polytechnical University,Northwestern Polytechnical University,Xian Institute of Optics and Precision Mechanics,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
261,Browsing Regularities in Hedonic Content Systems,Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Simon Fraser University,University of Michigan–Ann Arbor,University of Science and Technology of China,Chinese Academy of Sciences,Wuhan University,,,,,,,,,,,,,,,,,,,,8.0,0.0
262,Weakly-Supervised Deep Learning for Customer Review Sentiment Classification,Northwest University,Northwest University,Xidian University," Xi'an, China Hangzhou, China Sunnyvale, US",,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
263,Apprenticeship Scheduling: Learning to Schedule from Human Experts,Massachusetts Institute of Technology,MIT Lincoln Laboratory,MIT Lincoln Laboratory,MIT Lincoln Laboratory,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
264,The Inconsistency in Gödel's Ontological Argument: A Success Story for AI in Metaphysics,Freie Universität Berlin,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
265,On Modeling and Predicting individual Paper Citation Count over Time,Shanghai Jiao Tong University,IBM Research - China,East China Normal University,East China Normal University,Shanghai Jiao Tong University,IBM Research - China,East China Normal University,,,,,,,,,,,,,,,,,,,,,7.0,0.0
266,Hashtag Recommendation Using Attention-Based Convolutional Neural Network,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
267,Tabling as a Library with Delimited Control,Ghent University,Ghent University,KU Leuven,KU Leuven,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
268,Anticipatory Troubleshooting,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Jerusalem College of Technology,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
269,Heuristic Subset Selection in Classical Planning,Osaka University,Osaka University,Osaka University,Auckland University of Technology,University of Regina,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,,,,,,,,,,,8.0,0.0
270,Deep Learning for Reward Design to Improve Monte Carlo Tree Search in ATARI Games,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
271,A Network-Based Rating System and Its Resistance to Bribery,University of Toulouse,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
272,Digital Good Exchange ⇤,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
273,Inference Machines for Nonparametric Filter Learning,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Georgia Institute of Technology,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
274,Portfolio Blending via Thompson Sampling,East China Normal University,GE Global Research (United States),East China Normal University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
275,Learning Defining Features for Categories,Fudan University,Fudan University,Fudan University,Meta (United States),Fudan University," Xiaoi Research, Shanghai, Chin"," Shanghai Internet Big Data Engineering and Technology Center, Shanghai, Chin",,,,,,,,,,,,,,,,,,,,,4.0,1.0
276,Max-Margin DeepWalk: Discriminative Learning of Network Representation,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,Beijing University of Posts and Telecommunications,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,,,,,,,,,,,,,,,,,,10.0,0.0
