Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
45,Deep Spatio-Temporal Residual Networks for Citywide Crowd Flows Prediction *,Microsoft Research Asia (China),Microsoft Research Asia (China),Southwest Jiaotong University,Xidian University,Shenzhen Institutes of Advanced Technology,Microsoft Research Asia (China),Southwest Jiaotong University,Microsoft Research (India),,,,,,,,,,,,,,4.0,4.0
46,Web-Based Semantic Fragment Discovery for Online Lingual-Visual Similarity,University of Queensland,Harbin Institute of Technology,University of Queensland,University of Queensland,University of Queensland,University of Queensland,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,7.0,0.0
47,SAT Competition 2016: Recent Developments,Karlsruhe Institute of Technology,The University of Texas at Austin,Helsinki Institute for Information Technology,University of Helsinki,,,,,,,,,,,,,,,,,,4.0,0.0
48,The Simultaneous Maze Solving Problem,University of Stuttgart,University of Stuttgart,University of Würzburg,,,,,,,,,,,,,,,,,,,3.0,0.0
49,Solving Indefinite Kernel Support Vector Machine with Difference of Convex Functions Programming,Southeast University,Southeast University,Southeast University,Southeast University,Nanjing University of Aeronautics and Astronautics,Nanjing University of Posts and Telecommunications,,,,,,,,,,,,,,,,6.0,0.0
50,A Computational Assessment Model for the Adaptive Level of Rehabilitation Exergames for the Elderly,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,University of British Columbia,,,,,,,,,,,,,,,,6.0,0.0
51,Quantifying and Detecting Collective Motion by Manifold Learning,Northwestern Polytechnical University,Northwestern Polytechnical University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,3.0,0.0
52,What's Hot in Evolutionary Computation,Hasso Plattner Institute,University of Adelaide,University of Adelaide,,,,,,,,,,,,,,,,,,,3.0,0.0
53,Application for AI-OCR Module: Auto Detection of Emails/Letter Images,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,4.0,0.0
54,Deep Music: Towards Musical Dialogue,Georgia Institute of Technology,Google (United States),Google (United States),Google (United States),Google (United States),,,,,,,,,,,,,,,,,1.0,4.0
55,CLARE: A Joint Approach to Label Classification and Tag Recommendation,Arizona State University,Arizona State University,Michigan State University,University of Central Florida,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,6.0,0.0
56,A General Efficient Hyperparameter-Free Algorithm for Convolutional Sparse Learning,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,2.0,0.0
57,Nurturing Group-Beneficial Information-Gathering Behaviors Through Above-Threshold Criteria Setting,"School of Computer Science College of Management Rishon LeZion, Israe",Bar-Ilan University,"School of Computer Science College of Management Rishon LeZion, Israel Ben Grynhau","School of Computer Science College of Management Rishon LeZion, Israe",,,,,,,,,,,,,,,,,,4.0,0.0
58,Active Learning with Cross-Class Similarity Transfer *,Tsinghua University,Tsinghua University,Tsinghua University,Northumbria University,,,,,,,,,,,,,,,,,,4.0,0.0
59,Identifying Useful Inference Paths in Large Commonsense Knowledge Bases by Retrograde Analysis,"Cycorp, Inc.,7718 Wood Hollow Drive, Suite 250, Austin TX 7873","Cycorp, Inc.,7718 Wood Hollow Drive, Suite 250, Austin TX 7873",,,,,,,,,,,,,,,,,,,,2.0,0.0
60,Cross-Domain Sentiment Classification via Topic-Related TrAdaBoost,Sun Yat-sen University,Sun Yat-sen University,Education University of Hong Kong,Hong Kong Observatory,Education University of Hong Kong,Hong Kong Observatory,Caritas Institute of Higher Education,,,,,,,,,,,,,,,7.0,0.0
61,Leveraging Video Descriptions to Learn Video Question Answering,National Tsing Hua University,Stanford University,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,Stanford University,National Tsing Hua University,,,,,,,,,,,,,,,7.0,0.0
62,Weakly Supervised Learning of Part Selection Model with Spatial Constraints for Fine-Grained Image Classification,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,2.0,0.0
