Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
271,Structural Correspondence Learning for Cross-Lingual Sentiment Classification with One-to-Many Mappings,Hebei University of Technology,Binghamton University,Binghamton University,Hebei University of Technology,,,,,,,,,,,,,,,,,,4.0,0.0
272,Image Caption with Global-Local Attention *,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,The University of Texas Health Science Center at San Antonio,,,,,,,,,,,11.0,0.0
273,Learning Heterogeneous Dictionary Pair with Feature Projection Matrix for Pedestrian Video Retrieval via Single Query Image,Wuhan University,Henan University,Wuhan University,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications,Beihang University,Harbin Institute of Technology,Sun Yat-sen University,,,,,,,,,,,,,,8.0,0.0
274,Proportional Justified Representation,Carlos III University of Madrid,University of Oxford,University of Oxford,"Escuela Naval Militar (CUD), Spai",Carlos III University of Madrid,Carlos III University of Madrid,University of Oxford,,,,,,,,,,,,,,,7.0,0.0
275,Winner Determination in Huge Elections with MapReduce,TU Wien,University of Oxford,TU Wien,University of Oxford,,,,,,,,,,,,,,,,,,4.0,0.0
276,Structured Inference Networks for Nonlinear State Space Models,Courant Institute of Mathematical Sciences,Courant Institute of Mathematical Sciences,Courant Institute of Mathematical Sciences,,,,,,,,,,,,,,,,,,,3.0,0.0
277,Improving Surveillance Using Cooperative Target Observation,"International Institute of Information Technology, Hyderabad","International Institute of Information Technology, Hyderabad","International Institute of Information Technology, Hyderabad","International Institute of Information Technology, Hyderabad",,,,,,,,,,,,,,,,,,4.0,0.0
278,Robust Manifold Matrix Factorization for Joint Clustering and Feature Extraction,Wuhan University,Alibaba Group (China),Wuhan University,University of Technology Sydney,Hong Kong Polytechnic University,,,,,,,,,,,,,,,,,4.0,1.0
279,BattRAE: Bidimensional Attention-Based Recursive Autoencoders for Learning Bilingual Phrase Embeddings,Soochow University,Soochow University,Xiamen University,,,,,,,,,,,,,,,,,,,3.0,0.0
280,Question Difficulty Prediction for READING Problems in Standard Tests,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,Anhui University,,,,,,,,,,,,,,,,,5.0,0.0
281,Beyond RPCA: Flattening Complex Noise in the Frequency Domain,Peking University,Peking University,University of Technology Sydney,Peking University,Peking University,University of Technology Sydney,,,,,,,,,,,,,,,,6.0,0.0
282,Online SPARC for Drawing and Animation,Tufts University,Texas Tech University,St. Edward's University,Texas Tech University,,,,,,,,,,,,,,,,,,4.0,0.0
283,Natural Language Dialogue for Building and Learning Models and Structures,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,University of Rochester,Florida Institute for Human and Machine Cognition,Florida Institute for Human and Machine Cognition,Smart Information Flow Technologies (United States),Smart Information Flow Technologies (United States),Smart Information Flow Technologies (United States),Smart Information Flow Technologies (United States),,,,,,,,,,,,,5.0,4.0
284,What's Hot in Case-Based Reasoning,Georgia Institute of Technology,Complutense University of Madrid,,,,,,,,,,,,,,,,,,,,2.0,0.0
285,Problem Difficulty and the Phase Transition in Heuristic Search,University of Toronto,University of Toronto,,,,,,,,,,,,,,,,,,,,2.0,0.0
286,Unsupervised Domain Adaptation with a Relaxed Covariate Shift Assumption,University of Manchester,Carnegie Mellon University,University of Waterloo,,,,,,,,,,,,,,,,,,,3.0,0.0
287,Learning Bayesian Networks with Incomplete Data by Augmentation,University of Manchester,Queen's University Belfast,,,,,,,,,,,,,,,,,,,,2.0,0.0
288,Understanding the Semantic Structures of Tables with a Hybrid Deep Neural Network Architecture,Japan Agency for Marine-Earth Science and Technology,Japan Agency for Marine-Earth Science and Technology,Japan Agency for Marine-Earth Science and Technology,Japan Agency for Marine-Earth Science and Technology,,,,,,,,,,,,,,,,,,4.0,0.0
289,TweetFit: Fusing Multiple Social Media and Sensor Data for Wellness Profile Learning,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,,,2.0,0.0
290,PIVE: Per-Iteration Visualization Environment for Real-Time Interactions with Dimension Reduction and Clustering *,Georgia Institute of Technology,Korea University,Google (United States),Google (United States),Virginia Tech,Georgia Institute of Technology,,,,,,,,,,,,,,,,4.0,2.0
291,On Human Intellect and Machine Failures: Troubleshooting Integrative Machine Learning Systems,ETH Zurich,Microsoft (United States),Microsoft (United States),ETH Zurich,Microsoft (United States),,,,,,,,,,,,,,,,,2.0,3.0
292,Image Cosegmentation via Saliency-Guided Constrained Clustering with Cosine Similarity,Northeastern University,Northeastern University,Institute for Infocomm Research,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,5.0,0.0
293,Collective Deep Quantization for Efficient Cross-Modal Retrieval *,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,6.0,0.0
294,Extracting Highly Effective Features for Supervised Learning via Simultaneous Tensor Factorization,University of Technology Sydney,University of Technology Sydney,Data61,Data61,,,,,,,,,,,,,,,,,,4.0,0.0
295,Handwriting Profiling Using Generative Adversarial Networks,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,,,,,,,,,,,,,,,,,,4.0,0.0
296,Sparse Subspace Clustering by Learning Approximation 0 Codes,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,4.0,0.0
297,An Exact Penalty Method for Binary Optimization Based on MPEC Formulation,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
298,Recovering Concept Prerequisite Relations from University Course Dependencies,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,,,,,,,5.0,0.0
299,Multidimensional Scaling on Multiple Input Distance Matrices,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Temple University,The University of Texas at San Antonio,,,,,,,,,,,,,,,,,,4.0,0.0
300,Event Video Mashup: From Hundreds of Videos to Minutes of Skeleton,University of Electronic Science and Technology of China,University of Queensland,Columbia University,University of Queensland,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,6.0,0.0
301,Coherent Dialogue with Attention-Based Language Models,Johns Hopkins University,University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,,,,,,2.0,0.0
302,Mechanism-Aware Neural Machine for Dialogue Response Generation,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Tencent (China),Chinese Academy of Sciences,Institute of Computing Technology,Tencent (China),,,,,,,,,,10.0,2.0
303,Fast Online Incremental Learning on Mixture Streaming Data,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,University of Cape Town,Dalian University of Technology,University of Rochester,,,,,,,,,,,,,,,,6.0,0.0
304,Multi-View Clustering via Deep Matrix Factorization,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,4.0,0.0
305,Improving Greedy Best-First Search by Removing Unintended Search Bias (Extended Abstract) *,The University of Tokyo,Graduate School of Arts and Sciences The University of Toky,,,,,,,,,,,,,,,,,,,,1.0,0.0
306,High-Resolution Mobile Fingerprint Matching via Deep Joint KNN-Triplet Embedding,"Key Laboratory of Machine Perception (Ministry of Education), Department of Machine Intelligence",Peking University,,,,,,,,,,,,,,,,,,,,2.0,0.0
307,Explaining Ourselves: Human-Aware Constraint Reasoning,University College Cork,,,,,,,,,,,,,,,,,,,,,1.0,0.0
308,Towards a Brain Inspired Model of Self-Awareness for Sociable Agents,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,2.0,0.0
309,Sequential Peer Prediction: Learning to Elicit Effort using Posted Prices,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,,,2.0,0.0
310,Learning Implicit Tasks for Patient-Specific Risk Modeling in ICU,Kyoto University,Kyoto University,Kyoto University,Kyoto University,Kyoto University,,,,,,,,,,,,,,,,,5.0,0.0
311,Infinite Kernel Learning: Generalization Bounds and Algorithms,Institute of Information Engineering,Tianjin University of Science and Technology,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,,,,,,,,,5.0,0.0
312,Attributes for Improved Attributes: A Multi-Task Network Utilizing Implicit and Explicit Relationships for Facial Attribute Classification,"University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,,,,,,,,,,,,2.0,0.0
313,Learning Context-Specific Word/Character Embeddings,Fudan University,Shanghai Key Laboratory of Trustworthy Computing,,,,,,,,,,,,,,,,,,,,2.0,0.0
314,A Dynamic Window Neural Network for CCG Supertagging,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,Center for Excellence in Brain Science and Intelligence Technology,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,7.0,0.0
315,From Shared Subspaces to Shared Landmarks: A Robust Multi-Source Classification Approach,University of Melbourne,Queensland University of Technology,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,7.0,0.0
316,Learning with Feature Network and Label Network Simultaneously,Zhejiang University,Zhejiang University,University of Science and Technology of China,Zhejiang University,,,,,,,,,,,,,,,,,,4.0,0.0
317,Query Complexity of Tournament Solutions,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,,,,1.0,0.0
318,Progress and Challenges in Research on Cognitive Architectures,Institute for the Study of Learning and Expertise,,,,,,,,,,,,,,,,,,,,,1.0,0.0
319,Fast Electrical Demand Optimization Under Real-Time Pricing,Monash University,Data61,Monash University,Monash University,Monash University,,,,,,,,,,,,,,,,,5.0,0.0
320,Dynamic Thresholding and Pruning for Regret Minimization,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,3.0,0.0
321,Resource Graph Games: A Compact Representation for Games with Structured Strategy Spaces,Trinity University,Trinity University,University of British Columbia,,,,,,,,,,,,,,,,,,,3.0,0.0
322,Building an End-to-End Spatial-Temporal Convolutional Network for Video Super-Resolution,SYSU-CMU International Joint Research Institute,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,2.0,0.0
323,Privacy-Preserving Human Activity Recognition from Extreme Low Resolution,Indiana University," EgoVid Inc., Ulsan, South Kore",California Institute of Technology,Xi’an Jiaotong-Liverpool University," EgoVid Inc., Ulsan, South Kore",Ulsan National Institute of Science and Technology,,,,,,,,,,,,,,,,4.0,0.0
324,Parallel Asynchronous Stochastic Variance Reduction for Nonconvex Optimization,Peking University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,2.0,0.0
325,A Unified Convex Surrogate for the Schatten-p Norm,Peking University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,2.0,0.0
326,Continuous Conditional Dependency Network for Structured Regression,Temple University,"Center for Computational Health IBM T.J. Watson Research Center Cambridge, MA, US",Temple University,Ain Shams University,Temple University,,,,,,,,,,,,,,,,,3.0,0.0
327,POI2Vec: Geographical Latent Representation for Predicting Future Visitors,École Supérieure d'Ingénieurs en Génie Électrique,Institute of Computer Science,Institute of Computer Science,Nanyang Technological University,,,,,,,,,,,,,,,,,,4.0,0.0
328,Capturing Dependencies among Labels and Features for Multiple Emotion Tagging of Multimedia Data,University of Science and Technology of China,University of Science and Technology of China,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,3.0,0.0
329,Improving Performance of Analogue Readout Layers for Photonic Reservoir Computers with Online Learning,Université Libre de Bruxelles,Université Libre de Bruxelles,Université Libre de Bruxelles,,,,,,,,,,,,,,,,,,,3.0,0.0
330,Closing the Loop for Edge Detection and Object Proposals,University of Washington,University of Washington,,,,,,,,,,,,,,,,,,,,2.0,0.0
331,Creating Serious Robots That Improve Society,Staten Island Museum,Wayne State University,Oak Ridge National Laboratory,,,,,,,,,,,,,,,,,,,3.0,0.0
332,Model AI Assignments 2017,Stetson University,Wellesley College,Air Force Institute of Technology,Villanova University,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,5.0,0.0
333,Disambiguating Spatial Prepositions Using Deep Convolutional Networks,University of Ottawa,University of Ottawa,,,,,,,,,,,,,,,,,,,,2.0,0.0
334,Lattice-Based Recurrent Neural Network Encoders for Neural Machine Translation,Soochow University,Soochow University,Tsinghua University,Soochow University,Soochow University,Xiamen University,,,,,,,,,,,,,,,,6.0,0.0
335,Modeling the Intensity Function of Point Process via Recurrent Neural Networkss,Shanghai Jiao Tong University,East China Normal University,IBM Research - China,Shanghai Jiao Tong University,Georgia Institute of Technology,IBM Research - China,,,,,,,,,,,,,,,,6.0,0.0
336,Additional Multi-Touch Attribution for Online Advertising,East China Normal University,East China Normal University,,,,,,,,,,,,,,,,,,,,2.0,0.0
337,Rank Ordering Constraints Elimination with Application for Kernel Learning,Anhui University,Anhui University,The University of Texas at Arlington,Xi'an Jiaotong University,Guangdong University of Technology,,,,,,,,,,,,,,,,,5.0,0.0
338,Regularization for Unsupervised Deep Neural Nets,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,,,2.0,0.0
339,Robust and Efficient Transfer Learning with Hidden Parameter Markov Decision Processes,Harvard University,Brown University,Harvard University,,,,,,,,,,,,,,,,,,,3.0,0.0
340,Participatory Art Museum: Collecting and Modeling Crowd Opinions,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,2.0,0.0
341,Deep Correlated Metric Learning for Sketch-Based 3D Shape Retrieval,New York University Abu Dhabi,"Department of Electrical and Computer Engineering, NYU Tandon School of Engineering, US","Department of Computer Science and Engineering, NYU Tandon School of Engineering, US",,,,,,,,,,,,,,,,,,,1.0,0.0
342,Face Hallucination with Tiny Unaligned Images by Transformative Discriminative Neural Networks,Australian National University,Australian National University,,,,,,,,,,,,,,,,,,,,2.0,0.0
343,A Theoretical Analysis of First Heuristics of Crowdsourced Entity Resolution,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,2.0,0.0
344,Engineering Agreement: The Naming Game with Asymmetric and Heterogeneous Agents,Stony Brook University,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,4.0,0.0
345,A Declarative Approach to Data-Driven Fact Checking,National Institute of Advanced Industrial Science and Technology,,,,,,,,,,,,,,,,,,,,,1.0,0.0
346,Learning Visual Sentiment Distributions via Augmented Conditional Probability Neural Network,Nankai University,Nankai University,Nankai University,,,,,,,,,,,,,,,,,,,3.0,0.0
347,Systematic Exploration of Larger Local Search Neighborhoods for the Minimum Vertex Cover Problem,Friedrich Schiller University Jena,Friedrich Schiller University Jena,,,,,,,,,,,,,,,,,,,,2.0,0.0
348,Efficient Sparse Low-Rank Tensor Completion Using the Frank-Wolfe Algorithm,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
349,Learning Residual Alternating Automata,University of Lübeck,University of Lübeck,University of Lübeck,University of Lübeck,,,,,,,,,,,,,,,,,,4.0,0.0
350,Semantic Parsing with Neural Hybrid Trees,Singapore University of Technology and Design,Singapore University of Technology and Design,,,,,,,,,,,,,,,,,,,,2.0,0.0
351,Multiresolution Recurrent Neural Networks: An Application to Dialogue Response Generation,Université de Montréal,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,Université de Montréal,,,,,,,,,,,,,,,,,,4.0,0.0
352,Unbiased Multivariate Correlation Analysis,Tsinghua University,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,Tsinghua University,University of Melbourne,,,,,,,,,,,,,,,7.0,0.0
353,Finding Cut from the Same Cloth: Cross Network Link Recommendation via Joint Matrix Factorization,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,2.0,0.0
354,Imagined Visual Representations as Multimodal Embeddings,KU Leuven,KU Leuven,KU Leuven,,,,,,,,,,,,,,,,,,,3.0,0.0
355,Strategic Social Network Analysis,University of Warsaw,University of Oxford,National Institute of Science and Technology,University of Oxford,,,,,,,,,,,,,,,,,,4.0,0.0
356,Coordinating Human and Agent Behavior in Collective-Risk Scenarios,Vrije Universiteit Brussel,Université Libre de Bruxelles,Universidade de Vigo,Universidade de Vigo,Vrije Universiteit Brussel,Vrije Universiteit Brussel,Université Libre de Bruxelles,,,,,,,,,,,,,,,7.0,0.0
357,Rethinking the Link Prediction Problem in Signed Social Networks,Shanghai University of Finance and Economics,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,2.0,0.0
358,How to Train a Compact Binary Neural Network with High Accuracy?,Institute of Automation,Microsoft Research Asia (China),Institute of Automation,Center for Excellence in Brain Science and Intelligence Technology,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,4.0,1.0
359,Large Graph Hashing with Spectral Rotation,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,,,,,,,,,,,,,,,,3.0,0.0
360,Parameterised Verification of Infinite State Multi-Agent Systems via Predicate Abstraction,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,2.0,0.0
361,Heuristic Search Value Iteration for One-Sided Partially Observable Stochastic Games,"Department of Computer Science, Faculty of Electrical Engineering Czech Technical Universit","Department of Computer Science, Faculty of Electrical Engineering Czech Technical Universit","Department of Computer Science, Faculty of Electrical Engineering Czech Technical Universit",,,,,,,,,,,,,,,,,,,3.0,0.0
362,Envy-Free Mechanisms with Minimum Number of Cuts,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,5.0,0.0
363,AniDraw: When Music and Dance Meet Harmoniously,Tsinghua University,Ministry of Education,Tsinghua University,Ministry of Education,Tsinghua University,Tsinghua University,Ministry of Education,,,,,,,,,,,,,,,7.0,0.0
364,Transfer of Knowledge through Collective Learning,University of Pennsylvania,,,,,,,,,,,,,,,,,,,,,1.0,0.0
365,Sequential Classification-Based Optimization for Direct Policy Search *,Nanjing University,Southeast University,,,,,,,,,,,,,,,,,,,,2.0,0.0
366,Label-Free Supervision of Neural Networks with Physics and Domain Knowledge,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,,2.0,0.0
367,Sampling Beats Fixed Estimate Predictors for Cloning Stochastic Behavior in Multiagent Systems,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
368,SAT Encodings for Distance-Based Belief Merging Operators,"CRIL, U. Artois & CNRS, F-62300 Lens, Franc","CRIL, U. Artois & CNRS, F-62300 Lens, Franc","CRIL, U. Artois & CNRS, F-62300 Lens, Franc",,,,,,,,,,,,,,,,,,,3.0,0.0
369,Ontology-Based Data Access with a Horn Fragment of Metric Temporal Logic," Siemens CT, German",Free University of Bozen-Bolzano,University of London,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,University of London,,,,,,,,,,,,,,,,5.0,0.0
370,Three New Algorithms to Solve N-POMDPs,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,,,3.0,0.0
371,Predicting Mortality of Intensive Care Patients via Learning about Hazard,Microsoft (United States),University of Washington,,,,,,,,,,,,,,,,,,,,1.0,1.0
372,Asymmetric Discrete Graph Hashing,University of Florida,University of Florida,University of Florida,University of Florida,University of Florida,,,,,,,,,,,,,,,,,5.0,0.0
373,Distant Domain Transfer Learning,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Nanyang Technological University,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,4.0,0.0
374,Grounded Action Transformation for Robot Learning in Simulation,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,2.0,0.0
375,Between Subgraph Isomorphism and Maximum Common Subgraph,University of Glasgow,University of Glasgow,University of Glasgow,,,,,,,,,,,,,,,,,,,3.0,0.0
376,Disarmament Games,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,2.0,0.0
377,"Network, Popularity and Social Cohesion: A Game-Theoretic Approach",University of Auckland,University of Auckland,,,,,,,,,,,,,,,,,,,,2.0,0.0
378,Explainable Image Understanding Using Vision and Reasoning,Arizona State University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
379,Fast SSP Solvers Using Short-Sighted Labeling,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,3.0,0.0
380,Landmark-Based Heuristics for Goal Recognition,Pontifical Catholic University of Rio Grande do Sul,Pontifical Catholic University of Rio Grande do Sul,Pontifical Catholic University of Rio Grande do Sul,,,,,,,,,,,,,,,,,,,3.0,0.0
381,Value Compression of Pattern Databases,Computer Science Department,"ISE Department Ben-Gurion University Be'er-Sheva, Israe",University of Basel,,,,,,,,,,,,,,,,,,,1.0,0.0
382,Efficient Evaluation of Answer Set Programs with External Sources Based on External Source Inlining *,TU Wien,,,,,,,,,,,,,,,,,,,,,1.0,0.0
383,SCOPE: Scalable Composite Optimization for Learning on Spark,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,5.0,0.0
384,The Linearization of Belief Propagation on Pairwise Markov Random Fields,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
385,Learning Patch-Based Dynamic Graph for Visual Tracking,Anhui University,Sun Yat-sen University,Sun Yat-sen University,Harbin Institute of Technology,Anhui University,,,,,,,,,,,,,,,,,5.0,0.0
386,The Kernel Kalman Rule -Efficient Nonparametric Inference with Recursive Least Squares,Technical University of Darmstadt,National University of Singapore," Computing Drive, Singapore 11741",University of Lincoln,,,,,,,,,,,,,,,,,,3.0,0.0
387,Optimizing Expectation with Guarantees in POMDPs,Institute of Science and Technology Austria,Institute of Science and Technology Austria,Université Libre de Bruxelles,University of Cambridge,,,,,,,,,,,,,,,,,,4.0,0.0
388,Mixed Discrete-Continuous Planning with Convex Optimization,Cambridge–MIT Institute,University of Haifa,Cambridge–MIT Institute,,,,,,,,,,,,,,,,,,,1.0,0.0
389,Efficient Object Instance Search Using Fuzzy Objects Matching,Nanyang Technological University,Nanyang Technological University,Beijing Institute of Technology,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,5.0,0.0
390,Ontology-Mediated Queries for Probabilistic Databases,TU Dresden,TU Dresden,University of Oxford,,,,,,,,,,,,,,,,,,,3.0,0.0
391,Communication Lower Bounds for Distributed Convex Optimization: Partition Data on Features,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Peking University,,,,,,,,,,,,,,,,,,,3.0,0.0
392,A General Clustering Agreement Index: For Comparing Disjoint and Overlapping Clusters,University of Alberta,University of Alberta,,,,,,,,,,,,,,,,,,,,2.0,0.0
393,Local Discriminant Hyperalignment for Multi-Subject fMRI Data Alignment,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,,,,,,,,,,,,,,,,,,,,2.0,0.0
394,Taming the Matthew Effect in Online Markets with Social Influence,Carnegie Mellon University,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,2.0,0.0
395,Human-Aware Plan Recognition,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
396,Scalable Optimization of Multivariate Performance Measures in Multi-Instance Multi-label Learning,Indian Institute of Technology Bombay,Indian Institute of Technology Kanpur,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,2.0,1.0
397,Neural Bag-of-Ngrams,Renmin University of China,Ministry of Education of the People's Republic of China,,,,,,,,,,,,,,,,,,,,2.0,0.0
398,Querying Partially Labelled Data to Improve a K-nn Classifier,Sorbonne University,University of Technology of Compiègne,,,,,,,,,,,,,,,,,,,,2.0,0.0
399,Top-k Hierarchical Classification,"Moloco 165 University Avenue Palo Alto, California 9430",,,,,,,,,,,,,,,,,,,,,0.0,1.0
400,Matching Node Embeddings for Graph Similarity,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
401,Natural Language Acquisition and Grounding for Embodied Robotic Systems,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,,,,,,,,,,,,,,,,,4.0,0.0
402,Robust Optimization for Tree-Structured Stochastic Network Design,Cornell University,Singapore Management University,University of Massachusetts Amherst,Mount Holyoke College,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,5.0,0.0
403,A Finite Memory Automaton for Two-Armed Bernoulli Bandit Problems,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
404,Kernelized Evolutionary Distance Metric Learning for Semi-Supervised Clustering,Osaka University,Kagoshima University,Osaka University,Osaka University,,,,,,,,,,,,,,,,,,4.0,0.0
405,Learning Safe Prediction for Semi-Supervised Regression *,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,2.0,0.0
406,Lifted Inference for Convex Quadratic Programs,TU Dortmund University,TU Dortmund University,TU Dortmund University,,,,,,,,,,,,,,,,,,,3.0,0.0
407,Query Answering in DL-Lite with Datatypes: A Non-Uniform Approach,University of Liverpool,University of Liverpool,University of Liverpool,,,,,,,,,,,,,,,,,,,3.0,0.0
408,Bootstrapping Distantly Supervised IE Using Joint Learning and Small Well-Structured Corpora,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,"AI Platform Department, Tencent Inc., Shenzhen 518000, Chin",,,,,,,,,,,,,,,,5.0,0.0
409,Validating Domains and Plans for Temporal Planning via Encoding into Infinite-State Linear Temporal Logic,Fondazione Bruno Kessler,Fondazione Bruno Kessler,Fondazione Bruno Kessler,,,,,,,,,,,,,,,,,,,3.0,0.0
410,A Deep Hierarchical Approach to Lifelong Learning in Minecraft,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,5.0,0.0
411,Predicting Demographics of High-Resolution Geographies with Geotagged Tweets,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,2.0,0.0
412,Multi-View Correlated Feature Learning by Uncovering Shared Component,Zhejiang University,Northwestern Polytechnical University,Griffith University,University of Technology Sydney,Griffith University,Zhejiang University,,,,,,,,,,,,,,,,6.0,0.0
413,Discover Multiple Novel Labels in Multi-Instance Multi-Label Learning *,Nanjing University,Nanjing University,Federation University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,5.0,0.0
414,Abstraction in Situation Calculus Action Theories,York University,Sapienza University of Rome,York University,,,,,,,,,,,,,,,,,,,3.0,0.0
415,Add Data into Business Process Verification: Bridging the Gap between Theory and Practice,Fondazione Bruno Kessler,Fondazione Bruno Kessler,Fondazione Bruno Kessler,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,,,,,,,,,,,,,,,,,5.0,0.0
416,Cleaning the Null Space: A Privacy Mechanism for Predictors,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,5.0,0.0
417,Weighted Bandits or: How Bandits Learn Distorted Values That Are Not Expected,Indian Institute of Science Bangalore,University of Mary,University of Mary,University of Mary,,,,,,,,,,,,,,,,,,4.0,0.0
418,Robust Execution of Probabilistic Temporal Plans,Harvey Mudd College,Harvey Mudd College,Harvey Mudd College,Harvey Mudd College,,,,,,,,,,,,,,,,,,4.0,0.0
