Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
895,Adaptive Gradient Methods for Constrained Convex Optimization and Variational Inequalities,Boston University,Northeastern University,Université Paris Cité,,,,,,,,,,,,,,,,,,,,3.0,0.0
896,Proxy Synthesis: Learning with Synthetic Classes for Deep Metric Learning, NAVER/LINE Vision, NAVER/LINE Vision, NAVER Clova Speec,,,,,,,,,,,,,,,,,,,,3.0,0.0
897,A Student-Teacher Architecture for Dialog Domain Adaptation under the Meta-Learning Setting,"University of California, Davis", Google Inc,"University of California, Davis",,,,,,,,,,,,,,,,,,,,2.0,0.0
898,Learning Modulated Loss for Rotated Object Detection,Institute of Automation,University of Chinese Academy of Sciences,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Institute of Automation,University of Chinese Academy of Sciences,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Institute of Automation,University of Chinese Academy of Sciences,,,,,,,,,,,,,10.0,0.0
899,Semantic Consistency Networks for 3D Object Detection,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,,3.0,0.0
900,Amnesiac Machine Learning,University of Waterloo,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,,,,,,,3.0,0.0
901,Multi-View Representation Learning with Manifold Smoothness,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,4.0,0.0
902,Meta-Learning Effective Exploration Strategies for Contextual Bandits,University of Mary,University of Mary,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,2.0,1.0
903,GO Hessian for Expectation-Based Objectives,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,,,,,,,,,,,,,,,,,6.0,0.0
904,Multi-SpectroGAN: High-Diversity and High-Fidelity Spectrogram Generation with Adversarial Style Combination for Speech Synthesis,Korea University,Korea University,Korea University,Korea University,Korea University,Korea University,,,,,,,,,,,,,,,,,6.0,0.0
905,Differentially Private Clustering via Maximum Coverage,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,,3.0,0.0
906,Estimating α-Rank by Maximizing Information Gain,University of Oxford,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,1.0,2.0
907,ALP-KD: Attention-Based Layer Projection for Knowledge Distillation,Universidad Nacional Autónoma de Alto Amazonas, Huawei Noah's Ark Lab, Huawei Noah's Ark Lab, Huawei Noah's Ark Lab,,,,,,,,,,,,,,,,,,,4.0,0.0
908,Supervised Training of Dense Object Nets using Optimal Descriptors for Industrial Robotic Applications,Stellenbosch University,Stellenbosch University,Technical University of Darmstadt,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,,,,,,,,,,,,,,,,7.0,0.0
909,Classification by Attention: Scene Graph Classification with Prior Knowledge,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Siemens (Austria),,,,,,,,,,,,,,,,,,,3.0,0.0
910,FILTER: An Enhanced Fusion Method for Cross-lingual Language Understanding,Dynamique des Génomes et Adaptation Microbienne,Dynamique des Génomes et Adaptation Microbienne,Dynamique des Génomes et Adaptation Microbienne,Dynamique des Génomes et Adaptation Microbienne,Dynamique des Génomes et Adaptation Microbienne,,,,,,,,,,,,,,,,,,5.0,0.0
911,Empirical Regularization for Synthetic Sentence Pairs in Unsupervised Neural Machine Translation,Chongqing University,Chongqing University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
912,Simple or Complex? Learning to Predict Readability of Bengali Texts,Ahsanullah University of Science and Technology,Ahsanullah University of Science and Technology,"University of California, Los Angeles",,,,,,,,,,,,,,,,,,,,3.0,0.0
913,In-game Residential Home Planning via Visual Context-aware Global Relation Learning, NetEase Fuxi AI La,Clemson University, NetEase Fuxi AI La,Zhejiang University,University of Leeds,Zhejiang University,,,,,,,,,,,,,,,,,4.0,0.0
914,Metrics and Continuity in Reinforcement Learning,University of Oxford,Together Enhancing Awareness Coalition,Together Enhancing Awareness Coalition,,,,,,,,,,,,,,,,,,,,1.0,0.0
915,Addressing Domain Gap via Content Invariant Representation for Semantic Segmentation, National Engineering Research Center for Multimedia Software,Wuhan University, National Engineering Research Center for Multimedia Software,Wuhan University," Horizon Robotics, Inc., Beijing, China",,,,,,,,,,,,,,,,,,2.0,1.0
916,Stable Adversarial Learning under Distributional Shifts,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Zhejiang University,Tsinghua University,Tencent (China),,,,,,,,,,,,,,,,6.0,1.0
917,Partial-Label and Structure-constrained Deep Coupled Factorization Network,Soochow University,Hefei University of Technology,Soochow University,Hefei University of Technology,Peng Cheng Laboratory,Soochow University, YITU Technolog,Hefei University of Technology,,,,,,,,,,,,,,,6.0,1.0
918,Pyramidal Feature Shrinking for Salient Object Detection,Beihang University,Urban Planning & Design Institute of Shenzhen (China),Urban Planning & Design Institute of Shenzhen (China),Beihang University,Urban Planning & Design Institute of Shenzhen (China),,,,,,,,,,,,,,,,,,2.0,0.0
919,Successor Feature Sets: Generalizing Successor Representations Across Policies,"University of Maryland, College Park",Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,1.0,2.0
920,On Continuous Local BDD-Based Search for Hybrid SAT Solving *,Rice University,Rice University,Rice University,,,,,,,,,,,,,,,,,,,,3.0,0.0
921,Improving Sample Efficiency in Model-Free Reinforcement Learning from Images,New York University,Meta (United States),New York University,McGill University,,,,,,,,,,,,,,,,,,,3.0,1.0
922,Efficient On-Chip Learning for Optical Neural Networks Through Power-Aware Sparse Zeroth-Order Optimization,The University of Texas at Austin,The University of Texas at Austin,Institut de Chimie,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,5.0,0.0
923,Multi-Scale Spatial Temporal Graph Convolutional Network for Skeleton-Based Action Recognition,Peking University,Zhejiang University,Peking University,Syracuse University,Peking University,,,,,,,,,,,,,,,,,,5.0,0.0
924,Demodalizing Face Recognition with Synthetic Samples,Suzhou Nonferrous Metals Research Institute,Zhejiang University,Suzhou Nonferrous Metals Research Institute,Suzhou Nonferrous Metals Research Institute,Suzhou Nonferrous Metals Research Institute,Suzhou Nonferrous Metals Research Institute,Suzhou Nonferrous Metals Research Institute,Suzhou Nonferrous Metals Research Institute,Suzhou Nonferrous Metals Research Institute,,,,,,,,,,,,,,9.0,0.0
925,Automatic Curriculum Learning With Over-repetition Penalty for Dialogue Policy Learning,South China University of Technology,South China University of Technology,South China University of Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
926,The Parameterized Complexity of Clustering Incomplete Data,Royal Holloway University of London,TU Wien,DePaul University,University of Leeds,TU Wien,,,,,,,,,,,,,,,,,,5.0,0.0
927,Learning an Effective Context-Response Matching Model with Self-Supervised Tasks for Retrieval-based Dialogues,Peking University,Microsoft (United States),Microsoft (United States),Peking University,Peking University,Peking University,Beijing Academy of Artificial Intelligence,,,,,,,,,,,,,,,,5.0,2.0
928,Tripartite Collaborative Filtering with Observability and Selection for Debiasing Rating Estimation on Missing-Not-at-Random Data,Beijing Institute of Technology,University of Technology Sydney,University of Technology Sydney,Beijing Institute of Technology,University of Technology Sydney,Shanghai Academy of Science & Technology,,,,,,,,,,,,,,,,,6.0,0.0
929,SAT-based Decision Tree Learning for Large Data Sets,TU Wien,TU Wien,,,,,,,,,,,,,,,,,,,,,2.0,0.0
930,CARP e Posterum: A Convolutional Approach for Real-Time Pedestrian Path Prediction,University of North Carolina at Charlotte,University of North Carolina at Charlotte,,,,,,,,,,,,,,,,,,,,,2.0,0.0
931,Post-training Quantization with Multiple Points: Mixed Precision without Mixed Precision,The University of Texas at Austin,The University of Texas at Austin,GLE,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,4.0,0.0
932,Focused Inference and System P,TU Dortmund University,TU Dortmund University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
933,MolGrow: A Graph Normalizing Flow for Hierarchical Molecular Generation,Insigneo,Insigneo,,,,,,,,,,,,,,,,,,,,,2.0,0.0
934,Multilingual Transfer Learning for QA Using Translation as Data Augmentation,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,5.0,0.0
935,Deep Semantic Dictionary Learning for Multi-label Image Classification,Chongqing University,Chongqing University,Chongqing University," Ministry of Education Key Laboratory of Dependable Service Computing in Cyber Physical Society, Shazheng street NO.174, Shapingba District, Chongqing 400044, Chin",Chongqing University,Chongqing University,Chongqing University,,,,,,,,,,,,,,,,3.0,0.0
936,Sublinear Classical and Quantum Algorithms for General Matrix Games,Joint Center for Quantum Information and Computer Science,Center for Theoretical Physics,Pennsylvania State University,The University of Texas at Austin,Joint Center for Quantum Information and Computer Science,Joint Center for Quantum Information and Computer Science,,,,,,,,,,,,,,,,,6.0,0.0
937,Structured Co-reference Graph Attention for Video-grounded Dialogue,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
938,Knowledge-Guided Object Discovery with Acquired Deep Impressions,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,3.0,0.0
939,Inductive Graph Neural Networks for Spatiotemporal Kriging,McGill University,McGill University,HEC Montréal,McGill University,,,,,,,,,,,,,,,,,,,4.0,0.0
940,REFINE: Prediction Fusion Network for Panoptic Segmentation,Nanyang Technological University,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,2.0,0.0
941,Self-Progressing Robust Training,University College London,IBM Research - China,IBM Research - China,Michigan State University,IBM Research - China,University College London,IBM Research - China,,,,,,,,,,,,,,,,7.0,0.0
942,Story Ending Generation with Multi-Level Graph Convolutional Networks over Dependency Trees,South China University of Technology,Guangxi University,Guangxi University,South China University of Technology,Guangxi University,Ministry of Education of the People's Republic of China,Guangxi University,Guangxi University,Hong Kong Polytechnic University,University of Hong Kong,,,,,,,,,,,,,10.0,0.0
943,Uncertainty-Matching Graph Neural Networks to Defend Against Poisoning Attacks,Arizona State University,Lawrence Livermore National Laboratory,Arizona State University,,,,,,,,,,,,,,,,,,,,3.0,0.0
944,Deep Event Stereo Leveraged by Event-to-Image Translation,Gachon University,Gachon University,Gachon University,Gachon University,,,,,,,,,,,,,,,,,,,4.0,0.0
945,Iterative Bounding MDPs: Learning Interpretable Policies via Non-Interpretable Methods,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,4.0,0.0
946,KAN: Knowledge-aware Attention Network for Fake News Detection,Nankai University," Tianjin Key Laboratory of Network and Data Security Technology, Tianjin, Chin",Nankai University," Tianjin Key Laboratory of Network and Data Security Technology, Tianjin, Chin",Nankai University," Tianjin Key Laboratory of Network and Data Security Technology, Tianjin, Chin",Tianjin University of Technology,Nankai University," Tianjin Key Laboratory of Network and Data Security Technology, Tianjin, Chin",,,,,,,,,,,,,,5.0,0.0
947,UWSpeech: Speech to Speech Translation for Unwritten Languages,Zhejiang University,Microsoft Research Asia (China),Zhejiang University,Microsoft Research Asia (China),Zhejiang University,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,3.0,3.0
948,Learning to Cascade: Confidence Calibration for Improving the Accuracy and Computational Cost of Cascade Inference Systems,NTT Software Innovation Cente,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
949,OPQ: Compressing Deep Neural Networks with One-shot Pruning-Quantization,Institute for Infocomm Research,Sichuan University,Institute for Infocomm Research,Sichuan University,Nanyang Technological University,Institute for Infocomm Research,,,,,,,,,,,,,,,,,6.0,0.0
950,Improving the Performance-Compatibility Tradeoff with Personalized Objective Functions,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,University of Edinburgh,University of Alberta,University of Alberta,,,,,,,,,,,,,,,,,,5.0,0.0
951,Token-Aware Virtual Adversarial Training in Natural Language Understanding,University School,University School,,,,,,,,,,,,,,,,,,,,,2.0,0.0
952,On Fair and Efficient Allocations of Indivisible Goods,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,2.0,0.0
953,Class-Incremental Instance Segmentation via Multi-Teacher Networks,Xidian University,Xidian University,Xidian University,,,,,,,,,,,,,,,,,,,,3.0,0.0
954,Filling the Gap of Utterance-aware and Speaker-aware Representation for Multi-turn Dialogue,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University," CloudWalk Technology, Shanghai, China co"," CloudWalk Technology, Shanghai, China co",,,,,,,,,,,,9.0,0.0
955,Enabling Fast Instruction-Based Modification of Learned Robot Skills,Tufts University," Thinking Robots, Inc., 12 Channel St STE 202, Boston, MA 0221",Tufts University,Tufts University," Thinking Robots, Inc., 12 Channel St STE 202, Boston, MA 0221",,,,,,,,,,,,,,,,,,3.0,0.0
956,Multidimensional Uncertainty-Aware Evidential Neural Networks,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,Virginia Tech,The University of Texas at Dallas,,,,,,,,,,,,,,,,,,5.0,0.0
957,ActionBert: Leveraging User Actions for Semantic Understanding of User Interfaces,Princeton University, Google Researc, Google Researc, Google Researc, Google Researc, Google Researc,Princeton University, Google Researc, Google Researc,,,,,,,,,,,,,,3.0,5.0
958,Adversarial Training and Provable Robustness: A Tale of Two Objectives,Boston University,Boston University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
959,Reinforced Multi-Teacher Selection for Knowledge Distillation,University of Electronic Science and Technology of China,National Library of the Philippines,Simon Fraser University,National Library of the Philippines,National Library of the Philippines,University of Electronic Science and Technology of China,National Library of the Philippines,,,,,,,,,,,,,,,,7.0,0.0
960,Improving Maximum k-Plex Solver via Second-Order Reduction and Graph Color Bounding,Xidian University,Xidian University,Xidian University," Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China","Chinese University of Hong Kong, Shenzhen",,,,,,,,,,,,,,,,,,4.0,0.0
961,Encoding Human Domain Knowledge to Warm Start Reinforcement Learning,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,2.0,0.0
962,Single View Point Cloud Generation via Unified 3D Prototype,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,,,,6.0,0.0
963,Dual-Octave Convolution for Accelerated Parallel MR Image Reconstruction,Harbin Institute of Technology,University of Electronic Science and Technology of China,Inception Institute of Artificial Intelligence,Inception Institute of Artificial Intelligence,Shenzhen University,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,6.0,0.0
964,United for Change: Deliberative Coalition Formation to Change the Status Quo,University of Oxford,University of Groningen,Weizmann Institute of Science,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,4.0,0.0
965,The Gap on GAP: Tackling the Problem of Differing Data Distributions in Bias-Measuring Datasets,University of Oxford,University of Oxford,The Alan Turing Institute,University of Oxford,The Alan Turing Institute,,,,,,,,,,,,,,,,,,5.0,0.0
966,The Complexity Landscape of Claim-Augmented Argumentation Frameworks,TU Wien,TU Wien,TU Wien,TU Wien,,,,,,,,,,,,,,,,,,,4.0,0.0
967,Dense Events Grounding in Video,Peking University,Nanyang Technological University,Peking University,,,,,,,,,,,,,,,,,,,,3.0,0.0
968,Few-shot Learning for Multi-label Intent Detection,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,,,,,,,,5.0,0.0
969,Deep Spiking Neural Network with Neural Oscillation and Spike-Phase Information,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,National University of Singapore,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,5.0,0.0
970,Effective Slot Filling via Weakly-Supervised Dual-Model Learning,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,7.0,0.0
971,How Do We Move: Modeling Human Movement with System Dynamics,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,,,,,,,,,4.0,0.0
972,Data-driven Competitive Algorithms for Online Knapsack and Set Cover,University of Massachusetts Amherst,Hong Kong University of Science and Technology,University of Massachusetts Amherst,California Institute of Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
973,Fitting the Search Space of Weight-sharing NAS with Graph Convolutional Networks,Fudan University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
974,Online Optimal Control with Affine Constraints,Harvard University,IBM Research - Haifa,Harvard University,,,,,,,,,,,,,,,,,,,,3.0,0.0
975,Audio-Visual Localization by Synthetic Acoustic Image Generation,Italian Institute of Technology,University of Genoa,Italian Institute of Technology,Italian Institute of Technology,Italian Institute of Technology,University of Verona," Huawei Technologies Ltd., Ireland Research Center, Dublin, Irelan",,,,,,,,,,,,,,,,6.0,0.0
976,Self-supervised Bilingual Syntactic Alignment for Neural Machine Translation,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,University of Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
977,Coupling Macro-Sector-Micro Financial Indicators for Learning Stock Representations with Less Uncertainty,University of Science and Technology of China,University of Technology Sydney,Tianjin University,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,5.0,0.0
978,Investigate Indistinguishable Points in Semantic Segmentation of 3D Point Cloud,Shenzhen Institutes of Advanced Technology,University of Chinese Academy of Sciences,Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology," Shanghai AI Lab, Shanghai, Chin",,,,,,,,,,,,,,,,6.0,0.0
979,Margin of Victory in Tournaments: Structural and Experimental Results,Technical University of Berlin,Technical University of Berlin,National University of Singapore,,,,,,,,,,,,,,,,,,,,3.0,0.0
980,Bag of Tricks for Long-Tailed Visual Recognition with Deep Convolutional Neural Networks,Nanjing University of Science and Technology,Nanjing University of Science and Technology, Jiangsu Key Lab of Image and Video Understanding for Social Securit, Megvii Research Nanjin,Nanjing University of Science and Technology,Korea University of Science and Technology,,,,,,,,,,,,,,,,,3.0,1.0
981,What to Select: Pursuing Consistent Motion Segmentation from Multiple Geometric Models,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Peng Cheng Laboratory,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Peng Cheng Laboratory,,,,,,,,,,13.0,0.0
982,Movie Summarization via Sparse Graph Construction,University of Edinburgh,University of Edinburgh,University of Edinburgh,,,,,,,,,,,,,,,,,,,,3.0,0.0
983,A Hybrid Probabilistic Approach for Table Understanding,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,3.0,0.0
984,Scalable and Explainable 1-Bit Matrix Completion via Graph Signal Learning,Shanghai Jiao Tong University,Fudan University,Microsoft Research Asia (China),Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,6.0,1.0
985,Boosting Multi-task Learning Through Combination of Task Labels -with Applications in ECG Phenotyping,National Pingtung University,National Pingtung University,National Pingtung University,,,,,,,,,,,,,,,,,,,,3.0,0.0
986,Deep Contextual Clinical Prediction with Reverse Distillation,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Blue Marine Foundation,Blue Marine Foundation,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,6.0,0.0
987,Embedding Heterogeneous Networks into Hyperbolic Space Without Meta-path,Dartmouth College,Dartmouth College,Millennium Engineering and Integration (United States),Dartmouth College,Dartmouth College,Dartmouth College,,,,,,,,,,,,,,,,,5.0,1.0
988,Matching on Sets: Conquer Occluded Person Re-Identification Without Alignment,Peking University,Sichuan University,Peking University,Nanyang Technological University,Peking University,Peng Cheng Laboratory,Peking University,Peng Cheng Laboratory,Peking University,Peng Cheng Laboratory,,,,,,,,,,,,,10.0,0.0
989,Computing Quantal Stackelberg Equilibrium in Extensive-Form Games,Nanyang Technological University,Czech Technical University in Prague,Nanyang Technological University,Czech Technical University in Prague,,,,,,,,,,,,,,,,,,,4.0,0.0
990,Visual Relation Detection Using Hybrid Analogical Learning,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
991,Riemannian Embedding Banks for Common Spatial Patterns with EEG-based SPD Neural Networks,Institute of Electrical Engineering,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,2.0,0.0
992,Verifiable Machine Ethics in Changing Contexts,University of Manchester,Technical University of Denmark,Hochschule Ulm,University of Manchester,,,,,,,,,,,,,,,,,,,3.0,0.0
993,AutoLR: Layer-wise Pruning and Auto-tuning of Learning Rates in Fine-tuning of Deep Networks,Seoul National University," Samsung SDS, Kore",Seoul National University,,,,,,,,,,,,,,,,,,,,2.0,0.0
994,MFES-HB: Efficient Hyperband with Multi-Fidelity Quality Measurements,Peking University,University of Science and Technology Beijing,Peking University,University of Science and Technology Beijing,ETH Zurich,Alibaba Group (China),ETH Zurich,Peking University,Peking University,,,,,,,,,,,,,,8.0,1.0
995,Learning Modality-Specific Representations with Self-Supervised Multi-Task Learning for Multimodal Sentiment Analysis,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,5.0,0.0
996,Explaining Convolutional Neural Networks through Attribution-Based Input Sampling and Block-Wise Feature Aggregation,University of Toronto,University of Toronto,University of Toronto,University of Toronto,University of Toronto, LG AI Research sam.sattarzadeh, LG AI Research sam.sattarzadeh, LG AI Research sam.sattarzadeh, LG AI Research sam.sattarzadeh, LG AI Research sam.sattarzadeh,,,,,,,,,,,,,5.0,0.0
997,Programmatic Strategies for Real-Time Strategy Games,Universidade de São Paulo,Universidade Federal de Viçosa,Universidade Federal de Viçosa,Universidade de São Paulo,University of Alberta,,,,,,,,,,,,,,,,,,5.0,0.0
998,Knowledge-driven Natural Language Understanding of English Text and its Applications *,University of North Texas at Dallas,University of North Texas at Dallas,University of North Texas at Dallas,King Juan Carlos University,University of North Texas at Dallas,,,,,,,,,,,,,,,,,,5.0,0.0
999,Show Me How To Revise: Improving Lexically Constrained Sentence Generation with XLNet,University of Hong Kong,University of Hong Kong,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1000,"Savable but Lost Lives when ICU Is Overloaded: a Model from 733 Patients in Epicenter Wuhan, China",South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,First Affiliated Hospital of GuangXi Medical University,South China University of Technology,Ministry of Education,First Affiliated Hospital of GuangXi Medical University,,,,,,,,,,,12.0,0.0
1001,LCollision: Fast Generation of Collision-Free Human Poses using Learned Non-Penetration Constraints,"University of Maryland, College Park",University of Illinois Urbana-Champaign,"University of Maryland, College Park",,,,,,,,,,,,,,,,,,,,3.0,0.0
1002,SWIFT: Scalable Wasserstein Factorization for Sparse Nonnegative Tensors,Georgia Institute of Technology,Hong Kong Baptist University,Sutter Health,IQVIA (United States),Emory University,Georgia Institute of Technology,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,6.0,1.0
1003,DeepSynth: Automata Synthesis for Automatic Task Segmentation in Deep Reinforcement Learning,University of Oxford,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,5.0,0.0
1004,Learning to Sit: Synthesizing Human-Chair Interactions via Hierarchical Control,University of Michigan–Ann Arbor,Princeton University,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,3.0,0.0
1005,Interactive Speech and Noise Modeling for Speech Enhancement,Communication University of China,Microsoft Research Asia (China),Communication University of China,Microsoft (United States),Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,,,,,,2.0,4.0
1006,IA-GM: A Deep Bidirectional Learning Method for Graph Matching,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,3.0,0.0
1007,Reinforcement Learning of Sequential Price Mechanisms *,Harvard University,Harvard University,Harvard University,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,5.0,0.0
1008,Latent Independent Excitation for Generalizable Sensor-based Cross-Person Activity Recognition,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,4.0,0.0
1009,MTAAL: Multi-Task Adversarial Active Learning for Medical Named Entity Recognition and Normalization,Nankai University,Tianjin University,Nankai University,Tianjin University,Nankai University,Tianjin University,Nankai University,Tianjin University,Nankai University,Tianjin University,,,,,,,,,,,,,10.0,0.0
1010,Robust Lightweight Facial Expression Recognition Network with Label Distribution Training,Nanjing University of Information Science and Technology,Nanjing University of Information Science and Technology,Nanjing University of Information Science and Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
1011,ACSNet: Action-Context Separation Network for Weakly Supervised Temporal Action Localization,Xi'an Jiaotong University,Xi'an Jiaotong University,Emisphere Technologies (United States),University of Illinois at Chicago,"University at Buffalo, State University of New York",Xi'an Jiaotong University, Wormpex AI Researc,,,,,,,,,,,,,,,,5.0,1.0
1012,Frequency Consistent Adaptation for Real World Super Resolution,Nanjing University of Science and Technology,Nanjing University of Science and Technology, Tencent Youtu Lab shaw, Tencent Youtu Lab shaw,Nanjing University of Science and Technology, Tencent Youtu Lab shaw, Tencent Youtu Lab shaw, Tencent Youtu Lab shaw,,,,,,,,,,,,,,,3.0,0.0
1013,Exploration-Exploitation in Multi-Agent Learning: Catastrophe Theory Meets Game Theory,Singapore University of Technology and Design,Singapore University of Technology and Design,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1014,Controllable Guarantees for Fair Outcomes via Contrastive Information Estimation,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,4.0,0.0
1015,Learning Invariant Representations using Inverse Contrastive Loss,University of Wisconsin–Madison,University of Wisconsin–Madison,University of Illinois at Chicago,University of Wisconsin–Madison,,,,,,,,,,,,,,,,,,,4.0,0.0
1016,Dual-Level Collaborative Transformer for Image Captioning,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Tencent (China),Tencent (China),National Tsing Hua University,Xiamen University,Inception Institute of Artificial Intelligence,,,,,,,,,,,,,,7.0,2.0
1017,Beyond Low-frequency Information in Graph Convolutional Networks,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,4.0,0.0
1018,Overcoming Catastrophic Forgetting in Graph Neural Networks,Stevens Institute of Technology,Stevens Institute of Technology,Stevens Institute of Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
1019,Modeling the Probabilistic Distribution of Unlabeled Data for One-shot Medical Image Segmentation,Baidu (China),University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,2.0,1.0
