Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,num_academia,num_company
89,Robust Winners and Winner Determination Policies Under Candidate Uncertainty,Computer Science Department,Paris Dauphine University,Computer Science Department,Departament de Tecnologies Universitat Pompeu Fabr,,,,,,,,,,4.0,0.0
90,Bagging by Design (on the Suboptimality of Bagging),"IIIS, Tsinghua Universit","IIIS, Tsinghua Universit","IIIS, Tsinghua Universit",,,,,,,,,,,3.0,0.0
91,Tailoring Local Search for Partial MaxSAT,Institute of Software,National Institute of Information and Communications Technology,Peking University,Griffith University,Griffith University,,,,,,,,,5.0,0.0
92,Adaptive Singleton-Based Consistencies *,French National Centre for Scientific Research,French National Centre for Scientific Research,French National Centre for Scientific Research,,,,,,,,,,,3.0,0.0
93,Latent Low-Rank Transfer Subspace Learning for Missing Modality Recognition *,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,3.0,0.0
94,Generalized Label Reduction for Merge-and-Shrink Heuristics,University of Basel,University of Basel,University of Basel,,,,,,,,,,,3.0,0.0
95,Online Portfolio Selection with Group Sparsity,University of Minnesota,University of Minnesota,University of Minnesota,,,,,,,,,,,3.0,0.0
96,Pathway Specification and Comparative Queries: A High Level Language with Petri Net Semantics,Arizona State University,Arizona State University,,,,,,,,,,,,2.0,0.0
97,"Parallel Materialisation of Datalog Programs in Centralised, Main-Memory RDF Systems",University of Oxford,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,5.0,0.0
98,How Long Will It Take? Accurate Prediction of Ontology Reasoning Performance,Monash University,University of Aberdeen,"Inst. for Infocomm Research, Singapor",Monash University,Monash University,,,,,,,,,5.0,0.0
99,Leveraging Decomposed Trust in Probabilistic Matrix Factorization for Effective Recommendation,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,2.0,0.0
100,Reinforcement Learning on Multiple Correlated Signals,Vrije Universiteit Brussel,Vrije Universiteit Brussel,,,,,,,,,,,,2.0,0.0
101,Acquiring Commonsense Knowledge for Sentiment Analysis through Human Computation,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,3.0,0.0
102,Adaptation-Guided Case Base Maintenance,Indiana University,Indiana University,,,,,,,,,,,,2.0,0.0
103,Elementary Loops Revisited,University of Science and Technology of China,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,5.0,0.0
104,Deep Modeling of Group Preferences for Group-Based Recommendation,Shanghai Jiao Tong University,University of Technology Sydney,Shanghai Jiao Tong University,University of Technology Sydney,University of Technology Sydney,Shanghai Technical Institute of Electronics & Information,University of Technology Sydney,,,,,,,7.0,0.0
105,Solving the Inferential Frame Problem in the General Game Description Language,University of Potsdam,UNSW Sydney,UNSW Sydney,,,,,,,,,,,3.0,0.0
106,Pattern Discovery in Protein Networks Reveals High-Confidence Predictions of Novel Interactions,Queen's University,Queen's University,,,,,,,,,,,,2.0,0.0
107,SenticNet 3: A Common and Common-Sense Knowledge Base for Cognition-Driven Sentiment Analysis,Nanyang Technological University,Carnegie Mellon University,National University of Singapore,,,,,,,,,,,3.0,0.0
108,Manifold Spanning Graphs,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,2.0,0.0
109,Online and Stochastic Learning with a Human Cognitive Bias,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,2.0,0.0
110,PREGO: An Action Language for Belief-Based Cognitive Robotics in Continuous Domains *,University of Toronto,University of Toronto,,,,,,,,,,,,2.0,0.0
111,TopicMF: Simultaneously Exploiting Ratings and Reviews for Recommendation,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,2.0,0.0
112,Modeling Argumentation and Explanation in the Social Web,Western University,,,,,,,,,,,,,1.0,0.0
113,Signals in the Silence: Models of Implicit Feedback in a Recommendation System for Crowdsourcing,"Department of Computer Science and Engineering University of Washington Seattle, WA 9819",Microsoft (United States),,,,,,,,,,,,1.0,2.0
114,CORECLUSTER: A Degeneracy Based Graph Clustering Framework,French National Centre for Scientific Research,French National Centre for Scientific Research,French National Centre for Scientific Research,French National Centre for Scientific Research,,,,,,,,,,4.0,0.0
115,Learning Temporal Dynamics of Behavior Propagation in Social Networks *,Tsinghua University,Tsinghua University,,,,,,,,,,,,2.0,0.0
116,Capturing Relational Schemas and Functional Dependencies in RDFS,Free University of Bozen-Bolzano,"Institute of Information Systems Vienna Univ. of Technology, Austri","Institute of Information Systems Vienna Univ. of Technology, Austri","Institute of Information Systems Vienna Univ. of Technology, Austri","Institute of Information Systems Vienna Univ. of Technology, Austri",,,,,,,,,5.0,0.0
117,Doubly Regularized Portfolio with Risk Minimization,Columbia University,IBM Research - Thomas J. Watson Research Center,Chinese University of Hong Kong,,,,,,,,,,,3.0,0.0
118,Automatic Construction and Natural-Language Description of Nonparametric Regression Models,Department of Engineering University of Cambridg,Department of Engineering University of Cambridg,Institute of Cognitive and Brain Sciences,Institute of Cognitive and Brain Sciences,Department of Engineering University of Cambridg,,,,,,,,,2.0,0.0
119,Solving Uncertain MDPs by Reusing State Information and Plans,New Mexico State University,New Mexico State University,New Mexico State University,,,,,,,,,,,3.0,0.0
120,Non-Restarting SAT Solvers with Simple Preprocessing Can Efficiently Simulate Resolution,University of Washington,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,2.0,0.0
121,Improving Domain-Independent Cloud-Based Speech Recognition with Domain-Dependent Phonetic Post-Processing,Universität Hamburg,Universität Hamburg,Universität Hamburg,Universität Hamburg,,,,,,,,,,4.0,0.0
122,Constructing Symbolic Representations for High-Level Planning,"MIT Computer Science and Artificial Intelligence Laboratory 32 Vassar Street, Cambridge MA 02139 US","MIT Computer Science and Artificial Intelligence Laboratory 32 Vassar Street, Cambridge MA 02139 US","MIT Computer Science and Artificial Intelligence Laboratory 32 Vassar Street, Cambridge MA 02139 US",,,,,,,,,,,3.0,0.0
123,Generating Content for Scenario-Based Serious-Games Using CrowdSourcing,"University of California, Irvine","University of California, Irvine","University of California, Irvine","University of California, Irvine","University of California, Irvine",,,,,,,,,5.0,0.0
124,Jim: A Platform for Affective AI in an Interdisciplinary Setting,Canisius College,University of Rochester,Canisius College,,,,,,,,,,,3.0,0.0
125,Regret Transfer and Parameter Optimization,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,2.0,0.0
126,Diagnosing Analogue Linear Systems Using Dynamic Topological Reconfiguration,"General Diagnostics Burgwal 47 2611GG, Delft, The Netherland",University College Cork,,,,,,,,,,,,1.0,1.0
127,Linear-Time Filtering Algorithms for the Disjunctive Constraint,Université Laval,Université Laval,,,,,,,,,,,,2.0,0.0
128,Accurate Integration of Aerosol Predictions by Smoothing on a Manifold,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,3.0,0.0
129,Context-ware Collaborative Topic Regression with Social Matrix Factorization for Recommender Systems,Zhejiang University,Zhejiang University,Macquarie University,Zhejiang University,Zhejiang University,,,,,,,,,5.0,0.0
130,Identifying Hierarchies for Fast Optimal Search,University of Southern California,University of Southern California,,,,,,,,,,,,2.0,0.0
131,Evaluating Trauma Patients: Addressing Missing Covariates with Joint Optimization,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,Henry Ford Hospital,University of Michigan–Ann Arbor,,,,,,,,,,4.0,0.0
132,The Role of Dimensionality Reduction in Classification,"University of California, Merced","University of California, Merced",,,,,,,,,,,,2.0,0.0
133,Local-to-Global Consistency Implies Tractability of Abduction,Linköping University,,,,,,,,,,,,,1.0,0.0
134,Efficient Generalized Fused Lasso and Its Application to the Diagnosis of Alzheimer's Disease,Peking University,Osaka University,Peking University,Osaka University,Peking University,Osaka University,,,,,,,,6.0,0.0
135,Elimination Ordering in Lifted First-Order Probabilistic Inference,University of British Columbia,University of British Columbia,,,,,,,,,,,,2.0,0.0
136,"A Model Attention and Selection Framework for Estimation of Many Variables, with Applications to Estimating Object States in Large Spatial Environments",Massachusetts Institute of Technology,,,,,,,,,,,,,1.0,0.0
137,Locality Preserving Projection for Domain Adaptation with Multi-Objective Learning,Temple University,Temple University,Temple University,,,,,,,,,,,3.0,0.0
138,Multiagent Metareasoning Through Organizational Design,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,2.0,0.0
139,Evolutionary Dynamics of Q-Learning over the Sequence Form,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,3.0,0.0
140,HC-Search for Multi-Label Prediction: An Empirical Study,Oregon State University,Oregon State University,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,5.0,0.0
141,DJAO: A Communication-Constrained DCOP Algorithm that Combines Features of ADOPT and Action-GDL,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,2.0,0.0
142,Roles and Teams Hedonic Games,University of Kent,,,,,,,,,,,,,1.0,0.0
143,Learning the Structure of Probabilistic Graphical Models with an Extended Cascading Indian Buffet Process,Université Laval,Université Laval,Université Laval,,,,,,,,,,,3.0,0.0
144,Relaxation Search: A Simple Way of Managing Optional Clauses,University of Toronto,University of Toronto,University of Toronto,Institut National de la Recherche Agronomique,,,,,,,,,,3.0,0.0
145,Robust Bayesian Inverse Reinforcement Learning with Sparse Behavior Noise,Computer Science Department,Carnegie Mellon University,Computer Science Department,Guangzhou HKUST Fok Ying Tung Research Institute,Hong Kong University of Science and Technology,,,,,,,,,3.0,0.0
146,Trust Prediction with Propagation and Similarity Regularization,Macquarie University,Macquarie University,Macquarie University,Macquarie University,Soochow University,,,,,,,,,5.0,0.0
147,Predicting Postoperative Atrial Fibrillation from Independent ECG Components,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,5.0,0.0
148,Inference Graphs: A New Kind of Hybrid Reasoning System *,"University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,,2.0,0.0
149,A Tractable Approach to ABox Abduction over Description Logic Ontologies,Guangdong University of Foreign Studies,Griffith University,State Key Laboratory of Computer Science,Chinese Academy of Sciences,,,,,,,,,,3.0,0.0
150,Online Multi-Task Gradient Temporal-Difference Learning,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,,,,,,,,,,,3.0,0.0
151,Deploying CommunityCommands: A Software Command Recommender System Case Study,"Autodesk Research, Toronto, Canada","Autodesk Research, Toronto, Canada","Autodesk Research, Toronto, Canada","Autodesk Research, Toronto, Canada",,,,,,,,,,4.0,0.0
152,DOROTHY: Enhancing Bidirectional Communication between a 3D Programming Interface and Mobile Robots,Texas Tech University,Texas Tech University,Texas Tech University,Texas Tech University,,,,,,,,,,4.0,0.0
153,Compact Aspect Embedding for Diversified Query Expansions,Université de Montréal,Université de Montréal,Université de Montréal,Université de Montréal,,,,,,,,,,4.0,0.0
154,Monte Carlo Filtering Using Kernel Embedding of Distributions,"The Graduate University for Advanced Studies, SOKENDAI",The Institute of Statistical Mathematics,University College London,,,,,,,,,,,3.0,0.0
155,The Most Uncreative Examinee: A First Step toward Wide Coverage Natural Language Math Problem Solving,National Institute of Informatics,National Institute of Informatics," Fujitsu Laboratories Ltd., Japa",National Institute of Informatics," Fujitsu Laboratories Ltd., Japa",Kyushu University,National Institute of Informatics,,,,,,,2.0,2.0
156,Predictive Models for Determining If and When to Display Online Lead Forms,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications,Wuhan University,Nanjing University of Science and Technology,"Propensity Modeling Team Edmunds.com 1620 26th St, 4th Floor Santa Monica, CA 9040","Propensity Modeling Team Edmunds.com 1620 26th St, 4th Floor Santa Monica, CA 9040","Propensity Modeling Team Edmunds.com 1620 26th St, 4th Floor Santa Monica, CA 9040",,,,1.0,0.0
157,Symbolic Domain Predictive Control,University of Freiburg,University of Basel,King's College London,University of Freiburg,,,,,,,,,,4.0,0.0
158,Semantic Clustering of Morphologically Related Chinese Words,"Institute of Linguistics, Academia Sinica",National Chengchi University,National Chengchi University,"Institute of Linguistics, Academia Sinica",National Taiwan University,,,,,,,,,5.0,0.0
159,Accurate Household Occupant Behavior Modeling Based on Data Mining Techniques,National Institute of Informatics,National Institute of Informatics,National Institute of Informatics,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Osaka University,,,,,,,,,5.0,0.0
160,Oversubscription Planning: Complexity and Compilability,Linköping University,Linköping University,,,,,,,,,,,,2.0,0.0
161,Machine Translation with Real-Time Web Search ⇤,Harbin Institute of Technology,Microsoft Research Asia (China),Shanghai Jiao Tong University,Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,2.0,3.0
162,Boosting SBDS for Partial Symmetry Breaking in Constraint Programming,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,2.0,0.0
163,A Novel Single-DBN Generative Model for Optimizing POMDP Controllers by Probabilistic Inference,University of Waterloo,University of Waterloo,,,,,,,,,,,,2.0,0.0
164,A Spatially Sensitive Kernel to Predict Cognitive Performance from Short-Term Changes in Neural Structure,Computer Science Department,Computer Science Department,University of Wisconsin–Madison,National Academy of Medicine,National Academy of Medicine,National Academy of Medicine,,,,,,,,1.0,0.0
165,Pairwise-Covariance Linear Discriminant Analysis,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,2.0,0.0
166,Joint Morphological Generation and Syntactic Linearization,Academia Sinica,Singapore University of Technology and Design,Northeastern University,Academia Sinica,Dublin City University,Singapore University of Technology and Design,,,,,,,,6.0,0.0
167,Lifting Relational MAP-LPs Using Cluster Signatures,Ben-Gurion University of the Negev,TU Dortmund University,TU Dortmund University,,,,,,,,,,,3.0,0.0
168,Mechanism Design for Scheduling with Uncertain Execution Time *,Duke University,Duke University,,,,,,,,,,,,2.0,0.0
