Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,num_academia,num_company
355,A Reasoner for the RCC-5 and RCC-8 Calculi Extended with Constants,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens,,,,,,,,,,,3.0,0.0
356,Crowdsourcing for Multiple-Choice Question Answering,"University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,7.0,0.0
357,Dramatis: A Computational Model of Suspense,Western New England University,Georgia Institute of Technology,,,,,,,,,,,,2.0,0.0
358,Quality-Based Learning for Web Data Classification,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,4.0,0.0
359,Partial Multi-View Clustering *,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,3.0,0.0
360,Designing Fast Absorbing Markov Chains,Cornell University,Cornell University,IBM Research - Thomas J. Watson Research Center,Cornell University,,,,,,,,,,4.0,0.0
361,Agent Behavior Prediction and Its Generalization Analysis,University of Science and Technology of China,University of Chinese Academy of Sciences,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),University of Science and Technology of China,Microsoft Research (United Kingdom),Microsoft Research Asia (China),,,,,,,3.0,4.0
362,Approximate Equilibrium and Incentivizing Social Coordination,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,,,,,,,,,,,2.0,0.0
363,Learning Deep Representations for Graph Clustering,University of Science and Technology of China,Microsoft Research (United Kingdom),Tsinghua University,University of Science and Technology of China,Microsoft Research (United Kingdom),,,,,,,,,3.0,2.0
364,Adaptive Multi-Compositionality for Recursive Neural Models with Applications to Sentiment Analysis,Beihang University,Microsoft Research Asia (China),Microsoft Research Asia (China),Beihang University,Microsoft Research (India),,,,,,,,,2.0,3.0
365,"An Experimentally Efficient Method for (MSS,CoMSS) Partitioning",Artois University,Artois University,Artois University,,,,,,,,,,,3.0,0.0
366,Learning Relative Similarity by Stochastic Dual Coordinate Ascent,Nanyang Technological University,Nanyang Technological University,"Rutgers, The State University of New Jersey",Nanyang Technological University,Nanyang Technological University,,,,,,,,,5.0,0.0
367,The Computational Complexity of Structure-Based Causality,IBM Research - Haifa,King's College London,Cornell University,IBM Research - Haifa,,,,,,,,,,4.0,0.0
368,"Imputation, Social Choice, and Partial Preferences",University of Waterloo,,,,,,,,,,,,,1.0,0.0
369,Recommendation by Mining Multiple User Behaviors with Group Sparsity,Institute of Automation,Institute of Automation,Institute of Automation,Institute of Automation,Institute of Automation,,,,,,,,,5.0,0.0
370,Optimizing and Learning Diffusion Behaviors in Complex Network,University of Massachusetts Amherst,,,,,,,,,,,,,1.0,0.0
371,Backdoors into Heterogeneous Classes of SAT and CSP,UNSW Sydney,Indian Institute of Science Bangalore,Masaryk University,University of Vienna,University of Oxford,,,,,,,,,5.0,0.0
372,Online Search Algorithm Configuration,University College Cork,University College Cork,University College Cork,Paderborn University,,,,,,,,,,4.0,0.0
373,Decomposing Activities of Daily Living to Discover Routine Clusters,Human Computer Interaction (Switzerland),École Polytechnique Fédérale de Lausanne,Human Computer Interaction (Switzerland),,,,,,,,,,,1.0,2.0
374,Preprocessing for Propositional Model Counting,French National Centre for Scientific Research,French National Centre for Scientific Research,,,,,,,,,,,,2.0,0.0
375,Learning Low-Rank Representations with Classwise Block-Diagonal Structure for Robust Face Recognition,Institute of Automation,Institute of Automation,Nanjing University of Science and Technology,"University of Maryland, College Park",Institute of Automation,Institute of Automation,,,,,,,,6.0,0.0
376,Propagating Regular Counting Constraints,TEAM,Nantes Université,Uppsala University,Data61,,,,,,,,,,3.0,1.0
377,Mapping Users across Networks by Manifold Alignment on Hypergraph,"University of California, Santa Barbara",Northwest University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,6.0,0.0
378,Calibration-Free BCI Based Control,Inria Bordeaux - Sud-Ouest Research Centre,Universidad de Zaragoza,Inria Bordeaux - Sud-Ouest Research Centre,Inria Bordeaux - Sud-Ouest Research Centre,,,,,,,,,,4.0,0.0
379,Worst-Case Solution Quality Analysis When Not Re-Expanding Nodes in Best-First Search,University of Alberta,University of Denver,University of Alberta,,,,,,,,,,,3.0,0.0
380,Compilation Based Approaches to Probabilistic Planning -Thesis Summary,Ben-Gurion University of the Negev,,,,,,,,,,,,,1.0,0.0
381,Information Sharing for Care Coordination,Harvard University,,,,,,,,,,,,,1.0,0.0
382,Cross-Domain Metric Learning Based on Information Theory,Chinese Academy of Sciences,University of Science and Technology of China,,,,,,,,,,,,2.0,0.0
383,To Share or Not to Share? The Single Agent in a Team Decision Problem,Harvard University,Harvard University,Ben-Gurion University of the Negev,,,,,,,,,,,3.0,0.0
384,Robust Protection of Fisheries with COmPASS,University of Southern California,University of Southern California,University of Southern California,University of Southern California,U.S. Coast Guard Research Development Center and Atlantic Are,U.S. Coast Guard Research Development Center and Atlantic Are,,,,,,,,4.0,0.0
385,A Knowledge Representation that Models Memory in Narrative Comprehension,North Carolina State University,North Carolina State University,,,,,,,,,,,,2.0,0.0
386,A Hybrid Grammar-Based Approach for Learning and Recognizing Natural Hand Gestures,Bielefeld University,Bielefeld University,,,,,,,,,,,,2.0,0.0
387,Predicting Emotions in User-Generated Videos,Fudan University,Fudan University,,,,,,,,,,,,2.0,0.0
388,Association Rule Hiding Based on Evolutionary Multi-Objective Optimization by Removing Items,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,,2.0,0.0
389,Datalog Rewritability of Disjunctive Datalog Programs and Its Applications to Ontology Reasoning,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,3.0,0.0
390,Knowledge Graph Embedding by Translating on Hyperplanes,Sun Yat-sen University,Microsoft Research Asia (China),Sun Yat-sen University,Microsoft Research Asia (China),,,,,,,,,,2.0,2.0
391,Hybrid Singular Value Thresholding for Tensor Completion,Wenzhou University,Stanford University,Wenzhou University,ShanghaiTech University,,,,,,,,,,4.0,0.0
392,Pay-As-You-Go OWL Query Answering Using a Triple Store,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,4.0,0.0
393,Fast and Accurate Influence Maximization on Large Networks with Pruned Monte-Carlo Simulations,The University of Tokyo,Japan Science and Technology Agency,The University of Tokyo,Japan Science and Technology Agency,National Institute of Informatics," Preferred Infrastructure, Inc., Tokyo, Japan",National Institute of Informatics,Japan Science and Technology Agency,,,,,,3.0,1.0
394,SOML: Sparse Online Metric Learning with Application to Image Retrieval,Chinese Academy of Sciences,Institute of Computing Technology,Nanyang Technological University,University of Chinese Academy of Sciences,Nanyang Technological University,Chinese Academy of Sciences,Institute of Computing Technology,Chinese Academy of Sciences,Institute of Computing Technology,Nanyang Technological University,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,13.0,0.0
395,Natural Temporal Difference Learning,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,2.0,0.0
396,Can Agent Development Affect Developer's Strategy?,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,3.0,0.0
397,Emotion Classification in Microblog Texts Using Class Sequential Rules,Peking University,Peking University,,,,,,,,,,,,2.0,0.0
398,Clustering Species Accumulation Curves to Identify Skill Levels of Citizen Scientists Participating in the eBird Project,Oregon State University Cascades,Oregon State University Cascades,Cornell University,,,,,,,,,,,1.0,0.0
399,Living and Searching in the World: Object-Based State Estimation for Mobile Robots,Massachusetts Institute of Technology,,,,,,,,,,,,,1.0,0.0
400,Discovering Better AAAI Keywords via Clustering with Community-sourced Constraints,Tufts University,Brown University,Tufts University,,,,,,,,,,,3.0,0.0
401,Spectral Thompson Sampling,Inria research centre Lille - Nord Europe,Inria research centre Lille - Nord Europe,TEAM,"ML and Optimization Group Microsoft Research Bangalore, Indi",,,,,,,,,,2.0,1.0
402,Making CP-Nets (More) Useful,University of Kentucky,,,,,,,,,,,,,1.0,0.0
403,Exploring the Boundaries of Decidable Verification of Non-Terminating Golog Programs,RWTH Aachen University,RWTH Aachen University,RWTH Aachen University,TU Dresden,,,,,,,,,,4.0,0.0
404,A Strategy-Proof Online Auction with Time Discounting Values *,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,4.0,0.0
405,Congestion Games for V2G-Enabled EV Charging,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ariel University,Ben-Gurion University of the Negev,,,,,,,,,,4.0,0.0
406,Learning Concept Embeddings for Query Expansion by Quantum Entropy Minimization,Université de Montréal,Université de Montréal,Université de Montréal,,,,,,,,,,,3.0,0.0
407,Extracting Keyphrases from Research Papers Using Citation Networks,Computer Science and Engineering University of North Texa,Computer Science and Engineering University of North Texa,,,,,,,,,,,,2.0,0.0
408,Advice Provision for Energy Saving in Automobile Climate Control Systems,Bar-Ilan University,Bar-Ilan University," General Motors Advanced Technical Center, Herzliya 46725, Israe"," General Motors Advanced Technical Center, Herzliya 46725, Israe",,,,,,,,,,1.0,1.0
409,A Latent Variable Model for Discovering Bird Species Commonly Misidentified by Citizen Scientists,Oregon State University Cascades,Oregon State University Cascades,Oregon State University Cascades,,,,,,,,,,,3.0,0.0
410,Scalable Sparse Covariance Estimation via Self-Concordance,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,4.0,0.0
411,Bounding the Support Size in Extensive Form Games with Imperfect Information,Charles University,Charles University,Charles University,,,,,,,,,,,3.0,0.0
412,Coordination of Multiple Teams of Robots for an Optimal Global Plan,Sabancı University,Sabancı University,Sabancı University,,,,,,,,,,,3.0,0.0
413,Backdoors to Planning,University of Vienna,Masaryk University,University of Vienna,,,,,,,,,,,3.0,0.0
414,Monte Carlo Simulation Adjusting,University of Electro-Communications,University of Electro-Communications,University of Electro-Communications,University of Electro-Communications,,,,,,,,,,4.0,0.0
415,R2: An Efficient MCMC Sampler for Probabilistic Programs,"Microsoft Research ""Vigyan"", #9, Lavelle Road Bangalore 560 001, Indi",Seoul National University,"Microsoft Research ""Vigyan"", #9, Lavelle Road Bangalore 560 001, Indi",,,,,,,,,,,1.0,0.0
416,Parametrized Families of Hard Planning Problems from Phase Transitions,Ames Research Center,Ames Research Center,Ames Research Center,Ames Research Center,Ames Research Center,,,,,,,,,5.0,0.0
417,A Scheduler for Actions with Iterated Durations,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,3.0,0.0
418,AI-MIX: Using Automated Planning to Steer Human Workers Towards Better Crowdsourced Plans,Arizona State University,Arizona State University,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,5.0,0.0
419,Power Iterated Color Refinement,TU Dortmund University,TU Dortmund University,University of Bonn,RWTH Aachen University,,,,,,,,,,4.0,0.0
420,A Local Non-Negative Pursuit Method for Intrinsic Manifold Structure Preservation,Sichuan University,Sichuan University,Sichuan University,,,,,,,,,,,3.0,0.0
421,Learning Scripts as Hidden Markov Models,"Xiaoli Fern, Thomas G. Dietteric",Oregon State University,,,,,,,,,,,,5.0,0.0
422,k-CoRating: Filling Up Data to Obtain Privacy and Utility,China University of Geosciences,John Carroll University,Kent State University,,,,,,,,,,,3.0,0.0
423,Manifold Learning for Jointly Modeling Topic and Visualization,Singapore Management University,Singapore Management University,,,,,,,,,,,,2.0,0.0
424,On Computing Optimal Strategies in Open List Proportional Representation: the Two Parties Case,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,2.0,0.0
425,Huffman Coding for Storing Non-Uniformly Distributed Messages in Networks of Neural Cliques," Univ. Grenoble Alpes, F-38000 Grenoble, Franc",CEA LETI," TELECOM Bretagne, Electronics Department, 29238 Brest, Franc"," TELECOM Bretagne, Electronics Department, 29238 Brest, Franc"," Univ. Grenoble Alpes, F-38000 Grenoble, Franc",CEA LETI,,,,,,,,2.0,2.0
426,Fixing a Balanced Knockout Tournament,Data61,Data61,Data61,Data61,Technical University of Munich,Data61,,,,,,,,6.0,0.0
427,Stochastic Privacy,ETH Zurich,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (India),,,,,,,,,1.0,4.0
428,The Fisher Market Game: Equilibrium and Welfare,Aarhus University,Harvard University,Shanghai Jiao Tong University,Aarhus University,Aarhus University,Aarhus University,University of Oxford,,,,,,,7.0,0.0
429,Using Timed Game Automata to Synthesize Execution Strategies for Simple Temporal Networks with Uncertainty,Vassar College,University of Trento,,,,,,,,,,,,2.0,0.0
430,Incentives for Truthful Information Elicitation of Continuous Signals,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,2.0,0.0
431,A Generalized Genetic Algorithm-Based Solver for Very Large Jigsaw Puzzles of Complex Types,Bar-Ilan University,"University of Maryland, College Park",,,,,,,,,,,,2.0,0.0
432,Finding the k-Best Equivalence Classes of Bayesian Network Structures for Model Averaging,Iowa State University,Iowa State University,,,,,,,,,,,,2.0,0.0
433,State Aggregation in Monte Carlo Tree Search,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,3.0,0.0
434,Increasing VCG Revenue by Decreasing the Quality of Items,University of Adelaide,University of Liverpool,University of Liverpool,,,,,,,,,,,3.0,0.0
435,Intelligent System for Urban Emergency Management During Large-Scale Disaster,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,4.0,0.0
436,Inferring Causal Directions in Errors-in-Variables Models *,Tsinghua University,Tsinghua University,,,,,,,,,,,,2.0,0.0
437,Fast Algorithm for Non-Stationary Gaussian Process Prediction *,Tsinghua University,Tsinghua University,,,,,,,,,,,,2.0,0.0
438,False-Name Bidding and Economic Efficiency in Combinatorial Auctions,McGill University,McGill University,,,,,,,,,,,,2.0,0.0
439,Sparse Compositional Metric Learning,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,3.0,0.0
440,New Models for Competitive Contagion,Electrical and Electronic Engineering Imperial Colleg,Computer and Information Science University of Pennsylvani,Computer and Information Science University of Pennsylvani,,,,,,,,,,,3.0,0.0
441,The Computational Rise and Fall of Fairness,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,5.0,0.0
442,Decentralized Multi-Agent Reinforcement Learning in Average-Reward Dynamic DCOPs,Singapore Management University,Singapore Management University,New Mexico State University,Singapore Management University,University of Massachusetts Amherst,Massachusetts Institute of Technology,,,,,,,,6.0,0.0
443,A Machine Learning Approach to Musically Meaningful Homogeneous Style Classification,Princeton University,University of Pennsylvania,Bar-Ilan University,Princeton University,,,,,,,,,,4.0,0.0
444,Approximate Lifting Techniques for Belief Propagation,Indian Institute of Technology Delhi,University of Washington,University of Washington,,,,,,,,,,,3.0,0.0
445,Low-Rank Tensor Completion with Spatio-Temporal Consistency,Colorado School of Mines,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,3.0,0.0
446,Diagram Understanding in Geometry Questions,University of Washington,University of Washington,University of Washington,Allen Institute,,,,,,,,,,4.0,0.0
447,Lazy Defenders Are Almost Optimal Against Diligent Attackers,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,3.0,0.0
448,A Computational Challenge Problem in Materials Discovery: Synthetic Problem Generator and Real-World Datasets,Cornell University,Cornell University,Joint Center for Artificial Photosynthesis,Joint Center for Artificial Photosynthesis,Cornell University,Cornell University,Cornell University,,,,,,,7.0,0.0
449,Advice Provision for Choice Selection Processes with Ranked Options,Bar-Ilan University,Amos Enterprise (China),Ben-Gurion University of the Negev," General Motors Advanced Technical Center, Herzliya 46725, Israe",Bar-Ilan University,Amos Enterprise (China)," Institute for Advanced Computer Studies University of Maryland, MD 2074",,,,,,,3.0,2.0
450,Learning Goal-Oriented Hierarchical Tasks from Situated Interactive Instruction,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,2.0,0.0
451,Locality Preserving Hashing,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,3.0,0.0
452,Voting with Rank Dependent Scoring Rules,University of Kentucky,Lamsade,Paris Dauphine University,Data61,"LIP6-CNRS, UPMC Paris, Franc",,,,,,,,,4.0,0.0
453,Incentivizing High-uality Content from Heterogeneous Users: On the Existence of Nash Equilibrium,University of Science and Technology of China," Microsoft Research, Building 2, No. 5 Danling Street"," Haidian District, Beijing, 100080, P.R.Chin",University of Science and Technology of China," Microsoft Research, Building 2, No. 5 Danling Street"," Haidian District, Beijing, 100080, P.R.Chin",,,,,,,,2.0,2.0
454,Using Narrative Function to Extract Qualitative Information from Natural Language Texts,Northwestern University,Northwestern University,Northwestern University,,,,,,,,,,,3.0,0.0
455,Predicting the Hardness of Learning Bayesian Networks,University of Helsinki,University of Helsinki,University of Helsinki,University of Helsinki,University of Helsinki,,,,,,,,,5.0,0.0
456,Give a Hard Problem to a Diverse Team: Exploring Large Action Spaces,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of the Pacific,,,,,,,,,5.0,0.0
457,Minimising Undesired Task Costs in Multi-Robot Task Allocation Problems with In-Schedule Dependencies,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,2.0,0.0
458,Regret-Based Multi-Agent Coordination with Uncertain Task Rewards,University of Southampton,University of Southampton,,,,,,,,,,,,2.0,0.0
459,Easychair as a Pedagogical Tool Engaging Graduate Students in the Reviewing Process,Arizona State University,Arizona State University,,,,,,,,,,,,2.0,0.0
460,Kernelized Bayesian Transfer Learning ⇤,Sage Bionetworks,Sage Bionetworks,Oregon Health & Science University,,,,,,,,,,,3.0,0.0
461,Modeling Subjective Experience-Based Learning under Uncertainty and Frames,IBM Research - Almaden,"MIT Media Lab 75 Amherst St, Cambridge, MA 0213",,,,,,,,,,,,2.0,0.0
462,Labeling Complicated Objects: Multi-View Multi-Instance Multi-Label Learning ⇤,Nanjing University,Universidad de Ingeniería y Tecnología,Nanjing University,Chinese Academy of Sciences,Nanjing University,,,,,,,,,5.0,0.0
463,Beat the Cheater: Computing Game-Theoretic Strategies for When to Kick a Gambler out of a Casino,"Dept. of Computer Science Duke University Durham, NC 2770","Dept. of Computer Science Duke University Durham, NC 2770","Dept. of Computer Science Duke University Durham, NC 2770","Dept. of Computer Science Duke University Durham, NC 2770","Dept. of Computer Science Duke University Durham, NC 2770",,,,,,,,,5.0,0.0
464,Partial Satisfaction Planning Under Time Uncertainty with Control on When Objectives Can Be Aborted,University of Quebec at Montreal,University of Quebec at Montreal,,,,,,,,,,,,2.0,0.0
465,Chance-Constrained Probabilistic Simple Temporal Problems,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,3.0,0.0
466,Grounding Acoustic Echoes in Single View Geometry Estimation,Universidad de Zaragoza,Universidad de Zaragoza,Universidad de Zaragoza,,,,,,,,,,,3.0,0.0
