Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,num_academia,num_company
264,Self-Supervised Enhancement of Latent Discovery in GANs," Flytxt Mobile Solutions, Trivandrum, Indi",Tata Consultancy Services (India),Indian Institute of Space Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
265,TextHoaxer: Budgeted Hard-Label Adversarial Attacks on Text,Pennsylvania State University,University of Georgia,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
266,DANETs: Deep Abstract Networks for Tabular Data Classification and Regression,Zhejiang University,Zhejiang University,Huazhong University of Science and Technology,University of Notre Dame,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
267,Play the Shannon Game With Language Models: A Human-Free Approach to Summary Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
268,Sparse MLP for Image Recognition: Is Self-Attention Really Necessary?,Microsoft Research Asia (China),University of Science and Technology of China,University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,2.0,4.0
269,Modify Self-Attention via Skeleton Decomposition for Effective Point Cloud Transformer,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University," Interactive Entertainment Group, Tencent Inc., China"," Baidu Inc., China",Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,10.0,0.0
270,SepFusion: Finding Optimal Fusion Structures for Visual Sound Separation,University of Sydney,University of Sydney,Renmin University of China," Baidu Inc., 4 S-lab",Nanyang Technological University,University of Sydney,University of Sydney,,,,,,,,,,,,,,,,,,,,6.0,0.0
271,PrivateMail: Supervised Manifold Learning of Deep Features with Privacy for Image Retrieval,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
272,Edge-Aware Guidance Fusion Network for RGB-Thermal Scene Parsing,Zhejiang University of Science and Technology,Zhejiang University of Science and Technology,Zhejiang University of Science and Technology,Zhejiang University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
273,MS-HGAT: Memory-Enhanced Sequential Hypergraph Attention Network for Information Diffusion Prediction,Xi'an Key Laboratory of Social Intelligence and Complexity Data Processing,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
274,AdaLoss: A Computationally-Efficient and Provably Convergent Adaptive Gradient Method,Microsoft Research Asia (China),The University of Texas at Austin,University of Washington,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
275,Admissible Policy Teaching through Reward Design,Max Planck Institute for Software Systems,Max Planck Institute for Software Systems,Max Planck Institute for Software Systems,Max Planck Institute for Software Systems,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
276,Controlling Underestimation Bias in Reinforcement Learning via Quasi-median Operation,Shanxi University,Shanxi University,Shanxi University,Shanxi University,Shanxi University,Shanxi University,,,,,,,,,,,,,,,,,,,,,6.0,0.0
