Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
18,Learning Tasks and Skills Together from a Human Teacher,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,4.0,0.0
19,Active Dual Collaborative Filtering with both Item and Attribute Feedback,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,3.0,0.0
20,Size Adaptive Selection of Most Informative Features *,Institute of Automation,National University of Singapore,Temple University,National University of Singapore,Institute of Automation, China-Singapore Institute of Digital Medi,Institute of Automation,,,,,,5.0,0.0
21,Trust Transitivity in Complex Social Networks,Macquarie University,Macquarie University,Macquarie University,,,,,,,,,,3.0,0.0
22,"Dominant-Strategy Auction Design for Agents with Uncertain, Private Values",University of British Columbia,University of British Columbia,,,,,,,,,,,2.0,0.0
23,Sparse Group Restricted Boltzmann Machines,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,4.0,0.0
24,Integrating Rules and Description Logics by Circumscription,Tianjin University of Science and Technology,University of Alberta,Tianjin University of Science and Technology,,,,,,,,,,3.0,0.0
25,Dual Decomposition for Marginal Inference,Rochester Institute of Technology,,,,,,,,,,,,1.0,0.0
26,Understanding User Migration Patterns in Social Media,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,3.0,0.0
27,Autonomous Skill Acquisition on a Mobile Manipulator,University of Massachusetts Amherst, Laboratory for Perceptual Robotic,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,Autonomous Learning Laborator,,,,,,,4.0,0.0
28,Unsupervised Learning of Human Behaviours,Massey University,Massey University,Massey University,,,,,,,,,,3.0,0.0
29,Abductive Markov Logic for Plan Recognition,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,2.0,0.0
30,Introducing Uninformed Search with Tangible Board Games,University of Massachusetts Lowell,,,,,,,,,,,,1.0,0.0
31,Two-Dimensional Description Logics for Context-Based Semantic Interoperability,Vrije Universiteit Amsterdam,University of Bremen,,,,,,,,,,,2.0,0.0
32,Campaign Management under Approval-Driven Voting Rules,Budapest University of Technology and Economics,Korea University of Science and Technology,Nanyang Technological University,,,,,,,,,,3.0,0.0
33,Multi-Task Learning in Square Integrable Space,Peking University,Microsoft Research Asia (China),Microsoft Research Asia (China),University of Michigan–Ann Arbor,,,,,,,,,2.0,2.0
34,A Closer Look at the Probabilistic Description Logic Prob-EL,University of Bremen,University of Bremen,University of Bremen,German Research Centre for Artificial Intelligence,,,,,,,,,4.0,0.0
35,Basis Function Discovery using Spectral Clustering and Bisimulation Metrics,McGill University,McGill University,,,,,,,,,,,2.0,0.0
