Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,num_academia,num_company
533,Information-Theoretic Domain Adaptation under Severe Noise Conditions,Chinese Academy of Sciences,Qihoo 360 (China),Chongqing University of Posts and Telecommunications,Chinese Academy of Sciences,,,,,,,,,,,,,,,,3.0,1.0
534,Locality Preserving Projection Based on F-norm,Beijing University of Technology,Beijing Advanced Sciences and Innovation Center,Beijing University of Technology,University of Sydney,University of Sydney,Beijing Advanced Sciences and Innovation Center,Beijing University of Technology,Dalian University of Technology,,,,,,,,,,,,8.0,0.0
535,DepthLGP: Learning Embeddings of Out-of-Sample Nodes in Dynamic Networks,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,3.0,0.0
536,Generalized Adjustment Under Confounding and Selection Biases,Computer Science Department,Iowa State University,Computer Science Department,,,,,,,,,,,,,,,,,1.0,0.0
537,Abstraction Sampling in Graphical Models,"Department of Computer Science University of California, Irvin",,,,,,,,,,,,,,,,,,,1.0,0.0
538,Dynamic Network Embedding by Modeling Triadic Closure Process,Zhejiang University,Zhejiang University,University of Southern California,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,5.0,0.0
539,Exploiting Emotion on Reviews for Recommender Systems,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Arizona State University,Arizona State University,Chinese Academy of Sciences,,,,,,,,,,,,,,,5.0,0.0
540,Preventing Infectious Disease in Dynamic Populations Under Uncertainty,Computer Science Department, Department of Industrial and Systems Engineerin, Center for Artificial Intelligence in Society University of Southern Californi,,,,,,,,,,,,,,,,,3.0,0.0
541,Alternating Optimisation and Quadrature for Robust Control,Computer Science Department,French Institute for Research in Computer Science and Automation,University of Lorraine,Computer Science Department,French Institute for Research in Computer Science and Automation,University of Lorraine,University of Oxford,Computer Science Department,,,,,,,,,,,,5.0,0.0
542,Non-Parametric Outliers Detection in Multiple Time Series A Case Study: Power Grid Data Analysis,"University of California, Berkeley","University of California, Berkeley",Florida State University,Tsinghua–Berkeley Shenzhen Institute,"University of California, Berkeley",,,,,,,,,,,,,,,5.0,0.0
543,Perception-Action-Learning System for Mobile Social-Service Robots using Deep Learning, School of Computer Science and Engineering,Institute for Cognitive Science, School of Computer Science and Engineering,Seoul National University, School of Computer Science and Engineering, School of Computer Science and Engineering, School of Computer Science and Engineering,Seoul National University, School of Computer Science and Engineering,,,,,,,,,,,3.0,0.0
544,Discovering and Distinguishing Multiple Visual Senses for Polysemous Words,University of Technology Sydney,Nanjing University of Science and Technology,University of Technology Sydney,University of Electronic Science and Technology of China,Nanjing University of Posts and Telecommunications," Tencent AI Lab, Chin",Nanjing University of Science and Technology,,,,,,,,,,,,,6.0,0.0
545,Learning Multi-Modal Word Representation Grounded in Visual Context,LIP6 UPMC Univ Paris 06,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,4.0,0.0
546,Approximate Inference via Weighted Rademacher Complexity,Stanford University,Allen Institute for Artificial Intelligence,Stanford University,,,,,,,,,,,,,,,,,3.0,0.0
547,CA-RNN: Using Context-Aligned Recurrent Neural Networks for Modeling Sentence Similarity,East China Normal University,East China Normal University,York University,East China Normal University,,,,,,,,,,,,,,,,4.0,0.0
548,Maximizing Influence in an Unknown Social Network," Microsoft Research, New Englan",Computer Science Department,Research Institute for Artificial Intelligence,University of Southern California,,,,,,,,,,,,,,,,2.0,0.0
549,DyETC: Dynamic Electronic Toll Collection for Traffic Congestion Alleviation,Nanyang Technological University,Nanyang Technological University,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,7.0,0.0
550,Tree-Structured Neural Machine for Linguistics-Aware Sentence Generation,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,"University of California, Santa Barbara",Tencent (China),Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Tencent (China),,,,,13.0,2.0
551,Non-Discriminatory Machine Learning through Convex Fairness Criteria,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,3.0,0.0
552,Efficient-UCBV: An Almost Optimal Algorithm Using Variance Estimates,Indian Institute of Technology Madras,Indiana Institute of Technology,Indian Institute of Technology Madras,Indian Institute of Technology Madras,Indian Institute of Technology Madras,Indian Institute of Technology Madras,,,,,,,,,,,,,,6.0,0.0
553,Learning to Guide Decoding for Image Captioning, Tencent AI Lab, Tencent AI Lab,Wuhan University,Nanyang Technological University, Tencent AI Lab,,,,,,,,,,,,,,,2.0,0.0
554,Multiagent Connected Path Planning: PSPACE-Completeness and How to Deal with It,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,5.0,0.0
555,Multi-Entity Dependence Learning with Rich Context via Conditional Variational Auto-Encoder,Tsinghua University,Cornell University,Cornell University,Cornell University,,,,,,,,,,,,,,,,4.0,0.0
556,Feature Enhancement Network: A Refined Scene Text Detector,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,,,,,,,,,,,,,,,,4.0,0.0
557,From Virtual Demonstration to Real-World Manipulation Using LSTM and MDN,University of Central Florida,University of Central Florida,University of Central Florida,University of Central Florida,,,,,,,,,,,,,,,,4.0,0.0
558,Learning to Interact with Learning Agents,Max Planck Institute for Software Systems,University of Pennsylvania,ETH Zurich,,,,,,,,,,,,,,,,,3.0,0.0
559,Learning Lexicographic Preference Trees from Positive Examples,Université de Toulouse,Université de Toulouse,Université de Toulouse,,,,,,,,,,,,,,,,,3.0,0.0
560,AdaFlock: Adaptive Feature Discovery for Human-in-the-Loop Predictive Modeling,Kyoto University,Yahoo Japan Corporatio,Kyoto University,,,,,,,,,,,,,,,,,2.0,0.0
561,Liquid Democracy: An Algorithmic Perspective,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,3.0,0.0
562,Distance-Sware DAG Embedding for Proximity Search on Heterogeneous Graphs,Zhejiang University,Advanced Digital Sciences Center,Zhejiang University,Zhejiang University,University of Illinois Urbana-Champaign,Zhejiang University,Zhejiang University,,,,,,,,,,,,,7.0,0.0
563,Variational BOLT: Approximate Learning in Factorial Hidden Markov Models with Application to Energy Disaggregation,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,2.0,0.0
564,Urban Dreams of Migrants: A Case Study of Migrant Integration in Shanghai,Zhejiang University,University of Colorado Boulder,Zhejiang University,University of Colorado Boulder,Zhejiang University,University of Colorado Boulder,Zhejiang University,University of Colorado Boulder,,,,,,,,,,,,8.0,0.0
565,Char-Net: A Character-Aware Neural Network for Distorted Scene Text Recognition,City University of Hong Kong,City University of Hong Kong,City University of Hong Kong,,,,,,,,,,,,,,,,,3.0,0.0
566,Action Branching Architectures for Deep Reinforcement Learning,Imperial College London,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,3.0,0.0
567,Deep Semantic Structural Constraints for Zero-Shot Learning," CRIPAC & NLPR, Institute of Automation, Chinese Academy of Science",University of Chinese Academy of Sciences," CRIPAC & NLPR, Institute of Automation, Chinese Academy of Science",University of Chinese Academy of Sciences," CRIPAC & NLPR, Institute of Automation, Chinese Academy of Science",University of Chinese Academy of Sciences," CRIPAC & NLPR, Institute of Automation, Chinese Academy of Science",University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology," CRIPAC & NLPR, Institute of Automation, Chinese Academy of Science",University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,7.0,0.0
568,Sequential Decision Making in Artificial Musical Intelligence,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,2.0,0.0
569,HCVRD: A Benchmark for Large-Scale Human-Centered Visual Relationship Detection,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,,,,,,,,,,,,,,,5.0,0.0
570,Conditional PSDDs: Modeling and Learning with Modular Knowledge,California State University Los Angeles,California State University Los Angeles,California State University Los Angeles,,,,,,,,,,,,,,,,,3.0,0.0
571,Investigating Active Learning for Concept Prerequisite Learning,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,,,,,5.0,0.0
572,On Multiset Selection with Size Constraints *,University of Science and Technology of China,University of Science and Technology of China,Southern University of Science and Technology,Southern University of Science and Technology,,,,,,,,,,,,,,,,4.0,0.0
573,Algorithms for Generalized Topic Modeling,Toyota Technological Institute at Chicago,Carnegie Mellon University,,,,,,,,,,,,,,,,,,2.0,0.0
574,Efficient Probabilistic Performance Bounds for Inverse Reinforcement Learning,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,2.0,0.0
575,Persuasive Influence Detection: The Role of Argument Sequencing,Columbia University,Columbia University,,,,,,,,,,,,,,,,,,2.0,0.0
576,Deep Learning for Case-Based Reasoning through Prototypes: A Neural Network that Explains Its Predictions,Duke University,Nanjing University,Duke University,Duke University,Duke University,,,,,,,,,,,,,,,5.0,0.0
577,Video Generation from Text,Duke University,Duke University,Duke University,Duke University,NEC Laboratories America,,,,,,,,,,,,,,,2.0,3.0
578,Deep Q-Learning from Demonstrations,,,,,,,,,,,,,,,,,,,,0.0,0.0
579,Boosted Generative Models,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,2.0,0.0
580,Catching Captain Jack: Efficient Time and Space Dependent Patrols to Combat Oil-Siphoning in International Waters,Nanyang Technological University,DSO National Laboratories,,,,,,,,,,,,,,,,,,2.0,0.0
581,Gesturing and Embodiment in Teaching: Investigating the Nonverbal Behavior of Teachers in a Virtual Rehearsal Environment,Johns Hopkins University,University of Central Florida,,,,,,,,,,,,,,,,,,2.0,0.0
582,Revisiting Immediate Duplicate Detection in External Memory Search,Graduate School of Arts and Sciences The University of Toky,Graduate School of Arts and Sciences The University of Toky,,,,,,,,,,,,,,,,,,2.0,0.0
583,Cross-Lingual Entity Linking for Web Tables,Shanghai Jiao Tong University,J P Kenny,,,,,,,,,,,,,,,,,,1.0,0.0
584,Attend and Diagnose: Clinical Time Series Analysis Using Attention Models,Arizona State University,Lawrence Livermore National Laboratory,Arizona State University,IBM Research - Almaden,Lawrence Livermore National Laboratory,Arizona State University,Lawrence Livermore National Laboratory,Arizona State University,Lawrence Livermore National Laboratory,,,,,,,,,,,9.0,0.0
585,Hierarchical Video Generation from Orthogonal Information: Optical Flow and Texture,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,4.0,0.0
586,Approximate and Exact Enumeration of Rule Models,Osaka University,Japan Science and Technology Agency,Hokkaido University,,,,,,,,,,,,,,,,,3.0,0.0
587,Domain Generalization via Conditional Invariant Representations,University of Science and Technology of China,University of Science and Technology of China,University of Sydney,Carnegie Mellon University,University of Pittsburgh,University of Sydney,Carnegie Mellon University,University of Pittsburgh,,,,,,,,,,,,8.0,0.0
588,Enhancing Machine Learning Classification for Electrical Time Series Applications,University of Minnesota,,,,,,,,,,,,,,,,,,,1.0,0.0
589,Nonlocal Patch Based t-SVD for Image Inpainting: Algorithm and Error Analysis,Wuhan University,Wuhan University,Wuhan University,Macquarie University,Chinese Academy of Sciences,,,,,,,,,,,,,,,5.0,0.0
590,Information Acquisition Under Resource Limitations in a Noisy Environment,Cornell University,Cornell University,,,,,,,,,,,,,,,,,,2.0,0.0
591,Rank Maximal Equal Contribution: a Probabilistic Social Choice Function,Data61,Data61,Data61,Data61,University of Pennsylvania,,,,,,,,,,,,,,,5.0,0.0
592,Manipulative Elicitation -A New Attack on Elections with Incomplete Preferences,Tata Institute of Fundamental Research,,,,,,,,,,,,,,,,,,,1.0,0.0
593,Knowledge Enhanced Hybrid Neural Network for Text Matching,Beihang University,Microsoft Research Asia (China),Microsoft Research Asia (China),Beihang University,,,,,,,,,,,,,,,,2.0,2.0
594,Transfer Adversarial Hashing for Hamming Space Retrieval,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,5.0,0.0
595,Bayesian Robust Attributed Graph Clustering: Joint Learning of Partial Anomalies and Group Structure,Technical University of Munich,Technical University of Munich,,,,,,,,,,,,,,,,,,2.0,0.0
596,HogRider: Champion Agent of Microsoft Malmo Collaborative AI Challenge,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,4.0,0.0
597,Context Aware Conversational Understanding for Intelligent Agents with a Screen,Arizona State University, Amazon Alexa Machine Learnin, Amazon Alexa Machine Learnin,,,,,,,,,,,,,,,,,1.0,0.0
598,From Monte Carlo to Las Vegas: Improving Restricted Boltzmann Machine Training through Stopping Sets,Toyota Technological Institute at Chicago,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,3.0,0.0
599,Word Co-Occurrence Regularized Non-Negative Matrix Tri-Factorization for Text Data Co-Clustering,Singapore Management University,University of Southern California,French Institute for Research in Computer Science and Automation,Université Paris Cité,,,,,,,,,,,,,,,,4.0,0.0
600,Submodular Function Maximization over Graphs via Zero-Suppressed Binary Decision Diagrams,Neelan Tiruchelvam Trust,Neelan Tiruchelvam Trust,Neelan Tiruchelvam Trust,,,,,,,,,,,,,,,,,3.0,0.0
601,Information Directed Sampling for Stochastic Bandits with Graph Feedback,The Ohio State University,Princeton University,The Ohio State University,,,,,,,,,,,,,,,,,3.0,0.0
602,Dual Deep Neural Networks Cross-Modal Hashing,Shandong University,Shandong University,Shandong University,Shandong University,Shandong University,,,,,,,,,,,,,,,5.0,0.0
603,Learning Multimodal Word Representation via Dynamic Fusion Methods,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,7.0,0.0
604,Leveraging Lexical Substitutes for Unsupervised Word Sense Induction,University of Zagreb,University of Zagreb,University of Stuttgart,,,,,,,,,,,,,,,,,3.0,0.0
605,Stack-Captioning: Coarse-to-Fine Learning for Image Captioning,Nanyang Technological University,Nanyang Technological University," Alibaba AI Labs, Hangzhou, Chin",Nanyang Technological University,,,,,,,,,,,,,,,,3.0,0.0
606,Temporal-Enhanced Convolutional Network for Person Re-identification,Nara Institute of Science and Technology,Nara Institute of Science and Technology,Nara Institute of Science and Technology,Nara Institute of Science and Technology,,,,,,,,,,,,,,,,4.0,0.0
607,Co-Attending Free-Form Regions and Detections with Multi-Modal Multiplicative Feature Embedding for Visual Question Answering,Tsinghua University,Shanghai Key Laboratory of Trustworthy Computing,Tsinghua University,Shanghai Key Laboratory of Trustworthy Computing,,,,,,,,,,,,,,,,4.0,0.0
608,Utilitarians Without Utilities: Maximizing Social Welfare for Graph Problems Using Only Ordinal Preferences,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,2.0,0.0
609,Spectral Word Embedding with Negative Sampling,Dalhousie University,Dalhousie University,Dalhousie University,,,,,,,,,,,,,,,,,3.0,0.0
610,Imitation Upper Confidence Bound for Bandits on a Graph,McGill University,McGill University,,,,,,,,,,,,,,,,,,2.0,0.0
611,Using Syntax to Ground Referring Expressions in Natural Images,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,3.0,0.0
612,Joint Learning of Set Cardinality and State Distribution,University of Adelaide," Amazon Development Center, German",University of Adelaide,University of Adelaide,University of Adelaide,,,,,,,,,,,,,,,4.0,1.0
613,Policy Learning for Continuous Space Security Games Using Neural Networks,University of Southern California,Carnegie Mellon University,,,,,,,,,,,,,,,,,,2.0,0.0
614,DeepRebirth: Accelerating Deep Neural Network Execution on Mobile Devices,Ames Research Center,Ames Research Center,Ames Research Center,,,,,,,,,,,,,,,,,3.0,0.0
615,Event Representations with Tensor-Based Compositions,Stony Brook University,Stony Brook University,United States Naval Academy,,,,,,,,,,,,,,,,,3.0,0.0
616,Beyond Sparsity: Tree Regularization of Deep Models for Interpretability,Stanford University,Harvard University,University of Basel,University of Siena,University of Basel,Harvard University,,,,,,,,,,,,,,6.0,0.0
617,Learning User Preferences to Incentivize Exploration in the Sharing Economy,ETH Zurich,Max Planck Institute for Software Systems,Microsoft Research (United Kingdom),ETH Zurich,,,,,,,,,,,,,,,,3.0,1.0
618,Decomposition Strategies for Constructive Preference Elicitation,University of Trento,Roskilde University,KU Leuven,KU Leuven,University of Trento,,,,,,,,,,,,,,,4.0,0.0
619,Traffic Optimization for a Mixture of Self-Interested and Compliant Agents,The University of Texas at Austin,Duke University,Cornell University,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,5.0,0.0
620,Single-Peakedness and Total Unimodularity: New Polynomial-Time Algorithms for Multi-Winner Elections,University of Oxford,,,,,,,,,,,,,,,,,,,1.0,0.0
621,A Cascaded Inception of Inception Network with Attention Modulated Feature Fusion for Human Pose Estimation,Tsinghua University, SenseTime Group Limited, SenseTime Group Limited, SenseTime Group Limited,Tsinghua University, SenseTime Group Limited,Chinese University of Hong Kong,,,,,,,,,,,,,3.0,0.0
622,Learning from Semi-Supervised Weak-Label Data *,Nanjing University,Southeast University,,,,,,,,,,,,,,,,,,2.0,0.0
623,Two Knowledge-Based Methods for High-Performance Sense Distribution Learning,,,,,,,,,,,,,,,,,,,,0.0,0.0
624,Semi-Supervised Learning from Crowds Using Deep Generative Models,Hokkaido University,Hokkaido University,Hokkaido University,,,,,,,,,,,,,,,,,3.0,0.0
625,Question Answering as Global Reasoning over Semantic Abstractions,University of Pennsylvania,Allen Institute for Artificial Intelligence,University of Pennsylvania,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,4.0,0.0
626,Semi-Supervised AUC Optimization without Guessing Labels of Unlabeled Data,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,2.0,0.0
627,Efficient Large-Scale Multi-Modal Classification,Meta (United States),Meta (United States),Meta (United States),Meta (United States),,,,,,,,,,,,,,,,0.0,4.0
628,Mitigating Overexposure in Viral Marketing,Cornell University,University of Michigan–Ann Arbor,Cornell University,,,,,,,,,,,,,,,,,3.0,0.0
629,Order-Planning Neural Text Generation From Structured Data,Peking University,University of Waterloo,Peking University,University of Waterloo,Peking University,Peking University,Peking University,,,,,,,,,,,,,7.0,0.0
630,Dilated FCN for Multi-Agent 2D/3D Medical Image Registration,Siemens Healthcare (United States),Siemens Healthcare (United States),Siemens Healthcare (United States),Siemens Healthcare (United States),Siemens Healthcare (United States),Siemens Healthcare (United States),Siemens Healthcare (United States),,,,,,,,,,,,,0.0,7.0
631,Minesweeper with Limited Moves Serge Gaspers,UNSW Sydney,University of Sydney,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,,,,,4.0,0.0
632,Using k-Way Co-Occurrences for Learning Word Embeddings,National Institute of Informatics,Japan Science and Technology Agency,Japan Science and Technology Agency,University of Liverpool,,,,,,,,,,,,,,,,4.0,0.0
633,Exploring Human-Like Attention Supervision in Visual Question Answering,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,3.0,0.0
634,Progressive Cognitive Human Parsing,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,8.0,0.0
635,Top-Down Feedback for Crowd Counting Convolutional Neural Network,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,3.0,0.0
636,Safe Exploration and Optimization of Constrained MDPs Using Gaussian Processes,The University of Tokyo,National Institute of Technology,National Institute of Technology,Jet Propulsion Laboratory,,,,,,,,,,,,,,,,2.0,2.0
637,Link Prediction via Subgraph Embedding-Based Convex Matrix Completion,Tsinghua University,Tsinghua University,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,3.0,0.0
638,A Coverage-Based Utility Model for Identifying Unknown Unknowns,"Paul G. Allen School of Computer Science and Engineering University of Washington Seattle, WA 9819","Paul G. Allen School of Computer Science and Engineering University of Washington Seattle, WA 9819",,,,,,,,,,,,,,,,,,2.0,0.0
639,On Convergence of Epanechnikov Mean Shift,University of Minnesota,Oregon State University,University of Virginia,,,,,,,,,,,,,,,,,3.0,0.0
640,FiLM: Visual Reasoning with a General Conditioning Layer,Université de Montréal,Rice University,University of Lille,Université de Montréal,Université de Montréal,Université de Montréal,Canadian Institute for Advanced Research,,,,,,,,,,,,,7.0,0.0
641,Location-Sensitive User Profiling Using Crowdsourced Labels,Texas A&M University,Texas A&M University,Texas A&M University,,,,,,,,,,,,,,,,,3.0,0.0
642,Social Recommendation with an Essential Preference Space,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Macquarie University,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,9.0,0.0
643,Controlling Global Statistics in Recurrent Neural Network Text Generation,Northwestern University,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,3.0,0.0
644,Decomposition-Based Solving Approaches for Stochastic Constraint Optimisation,Monash University,,,,,,,,,,,,,,,,,,,1.0,0.0
645,Multi-Task Learning for Parsing the Alexa Meaning Representation Language,Carnegie Mellon University,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,2.0,0.0
646,Multi-Facet Network Embedding: Beyond the General Solution of Detection and Representation,Hebei University,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,,,,,,,,3.0,0.0
647,Residual Encoder Decoder Network and Adaptive Prior for Face Parsing," Beijing Samsung Telecommunication, SAIT China La"," Samsung Advanced Institute of Technology, S/W Solution La"," Beijing Samsung Telecommunication, SAIT China La"," Beijing Samsung Telecommunication, SAIT China La"," Samsung Advanced Institute of Technology, S/W Solution La"," Beijing Samsung Telecommunication, SAIT China La"," Beijing Samsung Telecommunication, SAIT China La"," Samsung Advanced Institute of Technology, S/W Solution La"," Samsung Advanced Institute of Technology, S/W Solution La",,,,,,,,,,,0.0,9.0
648,DiSAN: Directional Self-Attention Network for RNN/CNN-Free Language Understanding,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,6.0,0.0
649,Substructure Assembling Network for Graph Classification,"NEC Laboratories, Americ",North University of China,Temple University,Xidian University,,,,,,,,,,,,,,,,3.0,0.0
650,Integrated Cooperation and Competition in Multi-Agent Decision-Making,University of Massachusetts Amherst,Singapore Management University,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,3.0,0.0
651,Hierarchical Recurrent Attention Network for Response Generation,Beihang University,Microsoft Research Asia (China),Microsoft Research Asia (China),Nankai University,Nankai University,,,,,,,,,,,,,,,3.0,2.0
652,Improving Language Modelling with Noise Contrastive Estimation,University of Kent,University of Kent,,,,,,,,,,,,,,,,,,2.0,0.0
653,Cellular Network Traffic Scheduling with Deep Reinforcement Learning,Stanford University,Stanford University," Uhana, Inc"," Uhana, Inc"," Uhana, Inc"," Uhana, Inc",Stanford University,Stanford University,Stanford University,,,,,,,,,,,5.0,0.0
654,Adversarial Learning for Chinese NER from Crowd Annotations *,Soochow University,Heilongjiang University,Soochow University,Alibaba Group (China),Soochow University,,,,,,,,,,,,,,,4.0,1.0
655,MERCS: Multi-Directional Ensembles of Regression and Classification Trees,KU Leuven,KU Leuven,KU Leuven,,,,,,,,,,,,,,,,,3.0,0.0
656,A Continuous Relaxation of Beam Search for End-to-End Training of Neural Sequence Models,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,3.0,0.0
657,Weighted Voting Via No-Regret Learning,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,3.0,0.0
658,Planning with Pixels in (Almost) Real Time,Pompeu Fabra University,Simón Bolívar University,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,,,,,,,3.0,0.0
659,Relating Children's Automatically Detected Facial Expressions To Their Behavior in RoboTutor,Delhi Technological University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,3.0,0.0
660,SCITAIL: A Textual Entailment Dataset from Science Question Answering,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,,,,,,,,,,,,,,,,,3.0,0.0
661,Incentivizing High Quality User Contributions: New Arm Generation in Bandit Learning,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,2.0,0.0
662,Plan Recognition in Continuous Domains,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,3.0,0.0
663,AJILE Movement Prediction: Multimodal Deep Learning for Natural Human Neural Recordings and Video,University of Washington,University of Washington,Allen Institute for Artificial Intelligence,University of Washington, Center for Sensorimotor Neural Engineering (CSNE,University of Washington,,,,,,,,,,,,,,4.0,0.0
664,Optimal Margin Distribution Clustering *,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,2.0,0.0
665,Constructive Preference Elicitation over Hybrid Combinatorial Spaces,University of Trento,Roskilde University,KU Leuven,University of Trento,,,,,,,,,,,,,,,,3.0,0.0
666,Movie Question Answering: Remembering the Textual Cues for Layered Visual Contents,Tianjin University,Tianjin University,Tianjin University,Hefei University of Technology,,,,,,,,,,,,,,,,4.0,0.0
667,Modelling Iterative Judgment Aggregation,University of Amsterdam,University of Amsterdam,,,,,,,,,,,,,,,,,,2.0,0.0
668,Efficient Test-Time Predictor Learning with Group-Based Budget,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,3.0,0.0
669,Adapting a Kidney Exchange Algorithm to Align with Human Values,Duke University,Duke University,Duke University,University of Mary,Duke University,,,,,,,,,,,,,,,5.0,0.0
670,Counterfactual Multi-Agent Policy Gradients,University of Oxford,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,5.0,0.0
671,Adaptive Graph Convolutional Neural Networks,The University of Texas at Arlington,"Tencent AI Lab, Shenzhen, 518057, Chin",,,,,,,,,,,,,,,,,,4.0,0.0
672,MAgent: A Many-Agent Reinforcement Learning Platform for Artificial Collective Intelligence,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,University College London,Shanghai Jiao Tong University,,,,,,,,,,,,,,6.0,0.0
673,Towards Training Probabilistic Topic Models on Neuromorphic Multi-Chip Systems,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,3.0,0.0
674,Identifying Private Content for Online Image Sharing,Kansas State University,,,,,,,,,,,,,,,,,,,1.0,0.0
675,Towards Efficient Detection of Overlapping Communities in Massive Networks,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Computing Technology,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Computing Technology,Institute of Computing Technology,,,,,,,,,,,,,7.0,0.0
676,Visual Recognition in Very Low-Quality Settings: Delving into the Power of Pre-Training,University of Illinois Urbana-Champaign,Texas A&M University,"§Baidu Research, Sunnyvale, CA 94089, US",,,,,,,,,,,,,,,,,2.0,0.0
677,Spatio-Temporal Model for Wildlife Poaching Prediction Evaluated through a Controlled Field Test in Uganda,University of Southern California,,,,,,,,,,,,,,,,,,,1.0,0.0
