Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,num_academia,num_company
45,Lagrangian Constrained Community Detection,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,3.0,0.0
46,Learning Coarse-to-Fine Structured Feature Embedding for Vehicle Re-Identification,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,5.0,0.0
47,Hierarchical LSTM for Sign Language Translation,Hefei University of Technology,University of Science and Technology of China,University of Science and Technology of China,Hefei University of Technology,,,,,,,,,,,,,,,,4.0,0.0
48,Meta Multi-Task Learning for Sequence Modeling,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,4.0,0.0
49,Large Scaled Relation Extraction with Reinforcement Learning,Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,2.0,0.0
50,Dropout Model Evaluation in MOOCs,School of Information The University of Michiga,School of Information The University of Michiga,,,,,,,,,,,,,,,,,,2.0,0.0
51,Characterization of the Convex Lukasiewicz Fragment for Learning from Constraints,University of Siena,University of Siena,University of Siena,University of Siena,,,,,,,,,,,,,,,,4.0,0.0
52,Retrieving and Classifying Affective Images via Deep Metric Learning,Nankai University,Nankai University,Cardiff University,"University of California, Merced",,,,,,,,,,,,,,,,4.0,0.0
53,Control Argumentation Frameworks,Computer Science Department,Paris Descartes University,Paris Descartes University,,,,,,,,,,,,,,,,,3.0,0.0
54,End-to-End United Video Dehazing and Detection,Wuhan National Laboratory for Optoelectronics,Microsoft Research Asia (China),Texas A&M University,Microsoft Research Asia (China),Wuhan National Laboratory for Optoelectronics,Microsoft Research Asia (China),,,,,,,,,,,,,,3.0,3.0
55,Incomplete Label Multi-Task Ordinal Regression for Spatial Event Scale Forecasting,George Mason University,George Mason University,,,,,,,,,,,,,,,,,,2.0,0.0
56,Label Distribution Learning by Exploiting Label Correlations,Nanjing University of Science and Technology,Nanjing University of Aeronautics and Astronautics,Nanjing University of Science and Technology,East China University of Science and Technology,,,,,,,,,,,,,,,,4.0,0.0
57,Reduced-Rank Linear Dynamical Systems,Princeton University,City University of Hong Kong, Tencent AI La,Princeton University,National University of Defense Technology,City University of Hong Kong,,,,,,,,,,,,,,5.0,0.0
58,PoseHD: Boosting Human Detectors Using Human Pose Information,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,4.0,0.0
59,Maximizing Activity in Ising Networks via the TAP Approximation,University of Pennsylvania,University of Pennsylvania,,,,,,,,,,,,,,,,,,2.0,0.0
60,Deep Region Hashing for Generic Instance Search from Images,"Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China","Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China","Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China","Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China","Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China","Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China","Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China",,,,,,,,,,,,,7.0,0.0
61,Dispatch Guided Allocation Optimization for Effective Emergency Response,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,2.0,0.0
62,Efficiency and Safety in Autonomous Vehicles through Planning with Uncertainty (Thesis Summary),Stanford University,,,,,,,,,,,,,,,,,,,1.0,0.0
63,Learning Binary Residual Representations for Domain-Specific Video Streaming,"University of California, Merced","University of California, Merced","University of California, Merced","University of California, Merced","University of California, Merced",,,,,,,,,,,,,,,5.0,0.0
64,Learning Mixtures of MLNs,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,2.0,0.0
65,"Robust Formulation for PCA: Avoiding Mean Calculation with 2,p -Norm Maximization",Xidian University,Xidian University,Xidian University,Xidian University,Xidian University,,,,,,,,,,,,,,,5.0,0.0
66,Task-Aware Compressed Sensing with Generative Adversarial Networks,Department of Electrical and Computer Engineering University of Maryland Institute for Advanced Computer Studie,"University of Maryland, College Park",,,,,,,,,,,,,,,,,,1.0,0.0
67,Group Sparse Bayesian Learning for Active Surveillance on Epidemic Dynamics,Jilin University,Academia Sinica,Jilin University,Academia Sinica,Hong Kong Baptist University,Peking University,,,,,,,,,,,,,,6.0,0.0
68,Learning Across Scales -Multiscale Methods for Convolution Neural Networks,University of British Columbia," Xtract Technologies, Vancouver, BC, Canada"," Xtract Technologies, Vancouver, BC, Canada",Emory University," Xtract Technologies, Vancouver, BC, Canada",University of British Columbia,,,,,,,,,,,,,,3.0,0.0
69,Improved English to Russian Translation by Neural Suffix Prediction,Soochow University,Alibaba Group (China),Singapore University of Technology and Design,Soochow University,Alibaba Group (China),,,,,,,,,,,,,,,3.0,2.0
70,Customized Nonlinear Bandits for Online Response Selection in Neural Conversation Models,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,4.0,0.0
71,Unsupervised Domain Adaptation with Distribution Matching Machines,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,4.0,0.0
72,Unsupervised Generative Adversarial Cross-Modal Hashing,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,3.0,0.0
73,Explainable Cross-Domain Recommendations through Relational Learning,Osaka University,Osaka University,Osaka University,,,,,,,,,,,,,,,,,3.0,0.0
74,Relational Marginal Problems: Theory and Estimation,Cardiff University,ETH Zurich,KU Leuven,Cardiff University,,,,,,,,,,,,,,,,4.0,0.0
75,Building More Explainable Artificial Intelligence with Argumentation,Wuhan University of Technology,Wuhan University of Technology,Wuhan University of Technology,Tan Tock Seng Hospital,,,,,,,,,,,,,,,,3.0,0.0
76,Proposition Entailment in Educational Applications Using Deep Neural Networks,University of North Texas,University of North Texas,,,,,,,,,,,,,,,,,,2.0,0.0
77,Learning Integrated Holism-Landmark Representations for Long-Term Loop Closure Detection,Colorado School of Mines,Colorado School of Mines,Colorado School of Mines,,,,,,,,,,,,,,,,,3.0,0.0
78,Acquiring Common Sense Spatial Knowledge through Implicit Spatial Templates,Computer Science Department,ETH Zurich,Computer Science Department,,,,,,,,,,,,,,,,,1.0,0.0
79,Reversible Architectures for Arbitrarily Deep Residual Neural Networks,University of British Columbia," Xtract Technologies Inc., Vancouver, Canada",University of British Columbia," Xtract Technologies Inc., Vancouver, Canada",University of British Columbia," Xtract Technologies Inc., Vancouver, Canada"," Xtract Technologies Inc., Vancouver, Canada",Emory University," Xtract Technologies Inc., Vancouver, Canada"," Xtract Technologies Inc., Vancouver, Canada",,,,,,,,,,4.0,0.0
