Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,inst36,inst37,inst38,inst39,inst40,inst41,num_academia,num_company
164,The Hybrid Nested/Hierarchical Dirichlet Process and Its Application to Topic Modeling with Word Differentiation,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
165,A Simulator of Human Emergency Mobility following Disasters: Knowledge Transfer from Big Disaster Data,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo," 2Microsoft Research, P.R. Chin"," 2Microsoft Research, P.R. Chin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
166,Sharing Rides with Friends: A Coalition Formation Algorithm for Ridesharing,University of Verona,University of Verona,University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
167,Cross-Modal Image Clustering via Canonical Correlation Analysis,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
168,Question/Answer Matching for CQA System via Combining Lexical and Sequential Information,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
169,Capturing Human Route Preferences from Track Information: New Results,Adventium Enterprises (United States),Adventium Enterprises (United States),Adventium Enterprises (United States),Adventium Enterprises (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
170,Learning Hybrid Models with Guarded Transitions,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Instituto Tecnológico de Aeronáutica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
171,Gazetteer-Independent Toponym Resolution Using Geographic Word Profiles,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
172,Circumventing Robots' Failures by Embracing Their Faults: A Practical Approach to Planning for Autonomous Construction,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
173,Plurality Voting under Uncertainty,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
