Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,inst36,inst37,inst38,inst39,inst40,inst41,num_academia,num_company
347,Recommending Positive Links in Signed Social Networks by Optimizing a Generalized AUC,"University of California, San Diego","University of California, San Diego",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
348,How Many Diagnoses Do We Need?,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Palo Alto Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
349,Assessing the Robustness of Cremer-McLean with Automated Mechanism Design *,The Ohio State University,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
350,A Personalized Interest-Forgetting Markov Model for Recommendations *,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
351,Noise-Robust Semi-Supervised Learning by Large-Scale Sparse Coding,Renmin University of China,King Abdullah University of Science and Technology,Peking University,Renmin University of China,IBM Research - China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
352,Self-Organized Collective Decision-Making in a 100-Robot Swarm,Université Libre de Bruxelles,Paderborn University,Université Libre de Bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
353,Expressing Arbitrary Reward Functions as Potential-Based Advice,Vrije Universiteit Brussel,University of York,Vrije Universiteit Brussel,Vrije Universiteit Brussel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
354,Unsupervised Feature Learning Through Divergent Discriminative Feature Accumulation,University of Central Florida,University of Central Florida,University of Central Florida,University of Central Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
355,Knowledge Forgetting in Circumscription: A Preliminary Report,Guizhou University,Griffith University,Griffith University,Griffith University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
356,Parallelized Hitting Set Computation for Model-Based Diagnosis,University of Klagenfurt,University of Klagenfurt,University of Klagenfurt,University of Klagenfurt,University of Klagenfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
357,Modelling Individual Negative Emotion Spreading Process with Mobile Phones,Jilin University,Jilin University,Jilin University,Jilin University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
358,Optimizing Bag Features for Multiple-Instance Retrieval,Western Sydney University,New York Institute of Technology,Xidian University,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
359,Truthful Mechanisms without Money for Non-Utilitarian Heterogeneous Facility Location,Teesside University,Teesside University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
360,Complex Event Detection via Event Oriented Dictionary Learning,University of Trento,University of Technology Sydney,University of Technology Sydney,Xi'an Jiaotong University,University of Trento,Carnegie Mellon University,University of Trento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
361,A Local Sparse Model for Matching Problem,Anhui University,Anhui University,Anhui University,The University of Texas at Arlington,Anhui University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
362,Embedded Unsupervised Feature Selection,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
363,Policy Tree: Adaptive Representation for Policy Gradient,Department of Computing Science University of Albert,Franklin & Marshall College,Department of Computing Science University of Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
364,Exploring Key Concept Paraphrasing based on Pivot Language Translation for Question Retrieval,Harbin Institute of Technology,DigiPen Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
365,Hedonic Coalition Formation in Networks,Max Planck Institute for Informatics,Max Planck Institute for Informatics,RWTH Aachen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
366,"Graph Analysis for Detecting Fraud, Waste, and Abuse in Healthcare Data",Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
367,Minimizing User Involvement for Accurate Ontology Matching Problems,IBM Research - Ireland,"Damastown Industrial Estate, Dublin, Irelan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
368,Handling Uncertainty in Answer Set Programming,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
369,Random Gradient Descent Tree: A Combinatorial Approach for SVM with Outliers *,"University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
370,Learning to Hash on Structured Data,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
371,OMNI-Prop: Seamless Node Classification on Arbitrary Label Correlation,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
372,Dealing with Trouble: A Data-Driven Model of a Repair Type for a Conversational Agent,University of Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
373,Analysis of Equilibria in Iterative Voting Schemes,Hebrew University of Jerusalem,National Technical University of Athens,Tel Aviv University,Hebrew University of Jerusalem,Athens University of Economics and Business,Hebrew University of Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
374,Multi-Document Summarization Based on Two-Level Sparse Representation Model,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
375,Learning Plausible Inferences from Semantic Web Knowledge by Combining Analogical Generalization with Structured Logistic Regression,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
376,Large-Scale Multi-View Spectral Clustering via Bipartite Graph,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
377,Sparse Bayesian Multiview Learning for Simultaneous Association Discovery and Diagnosis of Alzheimer's Disease,Department of Computer Science Purdue Universit,School of Computer Science & Engineering,University of Science and Technology of China,Department of Computer Science Purdue Universit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
378,Belief Revision Games,Bank of Japan,National Institute of Informatics,French National Centre for Scientific Research,"UPMC Univ Paris 06, UMR 7606, LIP6, F-75005, Paris, Franc",Artois University,Artois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
379,"CORPP: Commonsense Reasoning and Probabilistic Planning, as Applied to Dialog with a Mobile Robot",The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
380,Clustering Longitudinal Clinical Marker Trajectories from Electronic Health Data: Applications to Phenotyping and Endotype Discovery,Johns Hopkins University,"Division of Rheumatology Johns Hopkins School of Medicine 733. N. Broadway Baltimore, MD 2120",Johns Hopkins University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
381,Coupled Collaborative Filtering for Context-aware Recommendation,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
382,Retweet Behavior Prediction Using Hierarchical Dirichlet Process,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
383,Sorted Neighborhood for the Semantic Web,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
384,Finding a Collective Set of Items: From Proportional Multirepresentation to Group Recommendation,University of Warsaw,Allegheny General Hospital,Paris Dauphine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
385,Belief Revision with General Epistemic States,Southwest Jiaotong University,Sichuan University,"QCIS, Faculty of Engineering and I",University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
386,Structural Learning with Amortized Inference,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
387,Logic Programming in Assumption-Based Argumentation Revisited -Semantics and Graphical Representation,"Department of Computing Imperial College London London SW7 2AZ, U","Department of Computing Imperial College London London SW7 2AZ, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
388,Automatic Topic Discovery for Multi-object Tracking,Imperial College London,Toshiba Research Europ,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
389,Envy-Free Cake-Cutting in Two Dimensions,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
390,Multi-Source Domain Adaptation: A Causal View,University of Tübingen,University of Technology Sydney,University of Tübingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
391,Characterizing Performance of Consistency Algorithms by Algorithm Configuration of Random CSP Generators,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Nebraska–Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
392,Deep Modeling Complex Couplings within Financial Markets,University of Technology,University of Technology Sydney,Shanghai Jiao Tong University,University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
393,A Generalized Reduced Linear Program for Markov Decision Processes,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
394,V-MIN: Efficient Reinforcement Learning through Demonstrations and Relaxed Reward Demands,Institute of Robotics and Industrial Informatics,University of Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
395,Justified Representation in Approval-Based Committee Voting,Data61,Duke University,Duke University,University of Oxford,Duke University,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
396,An Agent-Based Model of the Emergence and Transmission of a Language System for the Expression of Logical Combinations,Universitat Politècnica de Catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
397,AffectiveSpace 2: Enabling Affective Intuition for Concept-Level Sentiment Analysis,"School of Computer Engineering NTU, Singapor",National University of Singapore,University of Genoa,"School of Computer Engineering NTU, Singapor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
398,Kernel Density Estimation for Text-Based Geolocation,University of Colorado Boulder,University of Helsinki,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
399,Learning Entity and Relation Embeddings for Knowledge Graph Completion,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University," Jiangsu Collaborative Innovation Center for Language Competence, Jiangsu, Chin",China Iron and Steel Research Institute Group,China Iron and Steel Research Institute Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
400,SoF: Soft-Cluster Matrix Factorization for Probabilistic Clustering,University of Waterloo,University of Waterloo,Tsinghua University,University of Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
401,Mechanism Design for Team Formation,University of Michigan–Ann Arbor,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
402,Personalized Tag Recommendation through Nonlinear Tensor Factorization Using Gaussian Kernel,Sun Yat-sen University,Urban Planning & Design Institute of Shenzhen (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
403,Named Entity Recognition in Travel-Related Search Queries,Expedia Group (United States),Expedia Group (United States),Expedia Group (United States),Expedia Group (United States),Expedia Group (United States),Expedia Group (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
404,Languages for Learning and Mining,KU Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
405,Acronym Disambiguation Using Word Embedding,Dalian University of Technology,Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
406,Challenges in Resource and Cost Allocation,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
407,Learning Partial Lexicographic Preference Trees over Combinatorial Domains,University of Kentucky,University of Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
408,"Learning Sparse Representations from Datasets with Uncertain Group Structures: Model, Algorithm and Applications",Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
409,Shift-Pessimistic Active Learning Using Robust Bias-Aware Prediction,University of Illinois at Chicago,University of Illinois at Chicago,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
410,Learning to Manipulate Unknown Objects in Clutter by Reinforcement,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
411,Representation Discovery for MDPs Using Bisimulation Metrics,McGill University,McGill University,McGill University,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
412,Tackling Mental Health by Integrating Unobtrusive Multimodal Sensing,University of Rochester,University of Rochester,University of Rochester,University of Rochester,University of Rochester,University of Rochester,University of Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
413,Controlled School Choice with Soft Bounds and Overlapping Types,Kyushu University,Kyushu University,University of Electro-Communications,Kyushu University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
414,Trust Models for RDF Data: Semantics and Complexity *,University of Calabria,University of Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
415,Chance-Constrained Scheduling via Conflict-Directed Risk Allocation,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
416,Nyström Approximation for Sparse Kernel Methods: Theoretical Analysis and Empirical Evaluation,University of Science and Technology of China,Michigan State University,Dept. of Computer Science Purdue Universit,Alibaba Group (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
417,Sampling Representative Users from Large Social Networks," Department of Computer Science and Technology, Tsinghua University Tsinghua National Laboratory for Information Science and Technology (TNList) ‡ IBM, China Research La"," Department of Computer Science and Technology, Tsinghua University Tsinghua National Laboratory for Information Science and Technology (TNList) ‡ IBM, China Research La"," Department of Computer Science and Technology, Tsinghua University Tsinghua National Laboratory for Information Science and Technology (TNList) ‡ IBM, China Research La"," Department of Computer Science and Technology, Tsinghua University Tsinghua National Laboratory for Information Science and Technology (TNList) ‡ IBM, China Research La"," Department of Computer Science and Technology, Tsinghua University Tsinghua National Laboratory for Information Science and Technology (TNList) ‡ IBM, China Research La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
418,TODTLER: Two-Order-Deep Transfer Learning,"Department of Computer Science KU Leuven, Belgiu",Microsoft (United States),"Department of Computer Science KU Leuven, Belgiu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
419,Online Detection of Abnormal Events Using Incremental Coding Length,Institute for Intelligent Systems and Robotics,Institute for Intelligent Systems and Robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
420,Visualization Techniques for Topic Model Checking,Indiana University,Indiana University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
421,Lagrangian Decomposition Algorithm for Allocating Marketing Channels,National Institute of Informatics,National Institute of Informatics,National Institute of Informatics,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
422,The Extendable-Triple Property: A New CSP Tractable Class beyond BTP,Aix-Marseille University,Aix-Marseille University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
423,Extracting Verb Expressions Implying Negative Opinions,University of Illinois at Chicago,University of Houston,Institute for Infocomm Research,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
424,On Elementary Loops and Proper Loops for Disjunctive Logic Programs,University of Science and Technology of China,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
425,Extracting Adverse Drug Reactions from Social Media,Georgetown University,Georgetown University,Georgetown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
426,Exploiting Parallelism for Hard Problems in Abstract Argumentation,University of Aberdeen,University of Huddersfield,University of Huddersfield,University of Huddersfield,University of Brescia,University of Huddersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
427,Exploring Information Asymmetry in Two-Stage Security Games,University of Southern California," Independent Researcher, Jerusalem, Israe",University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
428,Strong Bounds Consistencies and Their Application to Linear Constraints *,University of Montpellier,University of Montpellier,University of Western Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
429,Intelligent Agents for Rehabilitation and Care of Disabled and Chronic Patients *,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
430,Robustness in Probabilistic Temporal Planning,Harvey Mudd College,Harvey Mudd College,Harvey Mudd College,Harvey Mudd College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
431,On the Impossibility of Convex Inference in Human Computation,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
432,Self-Paced Learning for Matrix Factorization,Xi'an Jiaotong University,Xi'an Jiaotong University,Carnegie Mellon University,Xi'an Jiaotong University,Xi'an Jiaotong University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
433,CrowdMR: Integrating Crowdsourcing with MapReduce for AI-Hard Problems *,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
434,Predicting Emotion Perception Across Domains: A Study of Singing and Speaking,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
435,Transfer Feature Representation via Multiple Kernel Learning, . Science and Technology on Integrated Information System Laborator, . Science and Technology on Integrated Information System Laborator,Chinese Academy of Sciences, . Science and Technology on Integrated Information System Laborator, . Science and Technology on Integrated Information System Laborator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
436,Graphical Representation of Assumption-Based Argumentation,"Department of Computing Imperial College London London SW7 2AZ, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
437,Acquiring Speech Transcriptions Using Mismatched Crowdsourcing,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
438,A Regularized Linear Dynamical System Framework for Multivariate Time Series Analysis,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
439,Contrastive Unsupervised Word Alignment with Non-Local Features,Tsinghua University,"Jiangsu Collaborative Innovation Center for Language Competence, Jiangsu 221009, Chin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
440,Towards Knowledge-Driven Annotation,Musée National d'Histoire Naturelle,Lorraine Research Laboratory in Computer Science and its Applications,Musée National d'Histoire Naturelle,University of Southampton,Musée National d'Histoire Naturelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
441,Tractability of Planning with Loops,"University of California, Berkeley",University of Massachusetts Amherst,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
442,Efficient Extraction of QBF (Counter)models from Long-Distance Resolution Proofs,National Taiwan University,National Taiwan University,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
443,"Will You ""Reconsume"" the Near Past? Fast Prediction on Short-Term Reconsumption Behaviors *",Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
444,Learning Large-Scale Dynamic Discrete Choice Models of Spatio-Temporal Preferences with Application to Migratory Pastoralism in East Africa,Stanford University,Cornell University,University of Sydney,Georgia Institute of Technology,Cornell University,Agricultural Research Service,Cornell University,International Livestock Research Institute,Cornell University,Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0
445,Tensor-Based Learning for Predicting Stock Movements,Southwestern University of Finance and Economics,Southwestern University of Finance and Economics,Southwestern University of Finance and Economics,University of Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
446,Bayesian Model Averaging Naive Bayes (BMA-NB): Averaging over an Exponential Number of Feature Models in Linear Time,Australian National University,Data61,Universidade de Pernambuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
447,Thesis Summary: Optimal Multi-Agent Pathfinding Algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
448,Structured Sparsity with Group-Graph Regularization,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
449,TDS+: Improving Temperature Discovery Search,University of Alberta,University of Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
450,Optimal Cost Almost-Sure Reachability in POMDPs *,Institute of Science and Technology Austria,Institute of Science and Technology Austria,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
451,Pathway Graphical Lasso,University of Washington,University of Washington,University of Washington,University of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
452,Estimating Temporal Dynamics of Human Emotions,Georgia Institute of Technology,Georgia Institute of Technology,Amazon (United States),Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
453,Discriminative Feature Grouping,Hong Kong Baptist University,Hong Kong Baptist University,Hong Kong Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
454,Efficient Bounds in Heuristic Search Algorithms for Stochastic Shortest Path Problems,Mississippi State University,Mississippi State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
455,Pareto Ensemble Pruning *,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
456,Pattern Decomposition with Complex Combinatorial Constraints: Application to Materials Discovery,Stanford University,Cornell University,Joint Center for Artificial Photosynthesis,Joint Center for Artificial Photosynthesis,Cornell University,Cornell University,University of Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
457,Preference Planning for Markov Decision Processes,Beihang University,Beihang University,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
458,This Time the Robot Settles for a Cost: A Quantitative Approach to Temporal Logic Planning with Partial Satisfaction,Rice University,Hebrew University of Jerusalem,Rice University,Rice University,Rice University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
459,tBurton: A Divide and Conquer Temporal Planner,"Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, Massachusetts 0213","Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, Massachusetts 0213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
460,Phrase Type Sensitive Tensor Indexing Model for Semantic Composition,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University," Jiangsu Collaborative Innovation Center for Language Competence, Jiangsu 221009, Chin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
461,RoboCup@Home -Benchmarking Domestic Service Robots,Bielefeld University,University of Bonn,Delft University of Technology,University of Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
462,Towards Optimal Solar Tracking: A Dynamic Programming Approach Athanasios Aris Panagopoulos Georgios Chalkiadakis,University of Southampton,Technical University of Crete,University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
463,Realistic Assumptions for Attacks on Elections,Rochester Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
464,A Nonparametric Online Model for Air Quality Prediction,Data61,Data61,University of Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
465,Forecasting Collector Road Speeds Under High Percentage of Missing Data,Beijing Institute of Technology,Autopia Mobile Tech Group Inc,Beijing Institute of Technology,Beijing Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
466,Aligning Mixed Manifolds,University of Massachusetts Amherst,Mount Holyoke College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
