Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,num_academia,num_company
0,Does One-Against-All or One-Against-One Improve the Performance of Multiclass Classifications?,University of Central Arkansas,University of Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1,Mixed Observability Predictive State Representations,McGill University,McGill University,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
2,Generating Natural-Language Video Descriptions Using Text-Mined Knowledge,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,University of Massachusetts Lowell,"University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
3,TONIC: Target Oriented Network Intelligence Collection for the Social Web,Harvard University,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
4,HC-Search: Learning Heuristics and Cost Functions for Structured Prediction,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
5,Cost-Optimal Planning by Self-Interested Agents,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
6,Decoupling the Multiagent Disjunctive Temporal Problem,Massachusetts Institute of Technology,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
7,Heterogeneous Metric Learning with Joint Graph Regularization for Cross-Media Retrieval,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
8,On the Social Welfare of Mechanisms for Repeated Batch Matching *,Rensselaer Polytechnic Institute,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
9,"This year, AAAI's Conference on Artificial Intelligence honors the following papers that exemplify high standards in technical contribution and exposition. Candidate papers for the AAAI-13 awards were selected based on overall ratings and nominations by the PC and Senior PC. A committee composed of the Program Cochairs and several Associate Chairs and Senior Program Committee Members reviewed all candidate papers and selected the winning papers. This year, two papers were selected for their exceptional quality in all review categories. In addition, four papers were selected for honorable mention, based on their overall high quality and particularly outstanding contributions in specific areas. Outstanding Paper Awards SMILe: Shuffled Multiple-Instance Learning",Ben-Gurion University of the Negev,"David Pynadath (USC Institute for Creative Technologies, USA",American University of Beirut,University of Oxford,University of Basel,"Kristian Kersting (Fraunhofer IAIS and University of Bonn, Germany",Ben-Gurion University of the Negev,University of Basel,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
10,Learning about Representational Modality: Design and Programming Projects for Knowledge-Based AI,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
11,Tools for Preference Reasoning,University of Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
12,Red-Black Relaxed Plan Heuristics,Saarland University,Saarland University,University of Haifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
13,Making Simple Tabular Reduction Works on Negative Table Constraints,Jilin University,Jilin University,Jilin University,Jilin University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
14,Resolution and Parallelizability: Barriers to the Efficient Parallelization of SAT Solvers,Military Institute of Armament Technology,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,University of Paris-Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
15,Better Human Computation Through Principled Voting,Harvard University,Carnegie Mellon University,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
16,Answering Counting Aggregate Queries over Ontologies of the DL-Lite Family,University of Edinburgh,PUC Chile and University of Edinburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
17,Multiscale Manifold Learning,IBM Research - Thomas J. Watson Research Center,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
18,Sensitivity of Diffusion Dynamics to Network Uncertainty,Bioinformatics Institute,"Virginia Tech, VA 2406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
19,Active Task Selection for Lifelong Machine Learning,Bryn Mawr College,Bryn Mawr College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
20,An Optimal Task Assignment Policy and Performance Diagnosis Strategy for Heterogeneous Hadoop Cluster,Palo Alto Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
21,Optimal Coalition Structure Generation in Cooperative Graph Games,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),"Ministry of Education, Science and Technology",Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
22,Learning to Rank Effective Paraphrases from Query Logs for Community Question Answering,Pontificia Universidad Católica de Chile,German Research Centre for Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
23,Data-Parallel Computing Meets STRIPS,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,"Microsoft Research & Technion Microsoft -Herzliya R&D Center 13 Shenkar St. Gav-Yam, Building No. 5 Herzliya 46275, Israe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
24,Artificial Conversational Companions,University of Luxembourg,"Department of Computer Science and Communication, ILIAS Laboratory -MINE Research Group 6 rue Coudenhove-Kalergi, L-1359 Luxembour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
25,Lazy Gaussian Process Committee for Real-Time Online Regression,Technical University of Munich,Technical University of Munich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
26,Grounded Language Learning,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
27,Automatic Identification of Conceptual Metaphors with Limited Knowledge,Illinois Institute of Technology,Center for Advanced Defense Studies,Center for Advanced Defense Studies,Georgetown University,Massachusetts Institute of Technology,Howard Brain Sciences Foundation,Bar-Ilan University,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Illinois Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0
28,WordNet Based Multi-Way Concept Hierarchy Construction from Text Corpus,Zhejiang University,{10921014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
29,Detection and Prediction of Adverse and Anomalous Events in Medical Robots,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
30,Solving Security Games on Graphs via Marginal Probabilities,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
31,A Robust Bayesian Truth Serum for Non-Binary Signals,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
32,Creating Model-Based Adaptive Environments Using Game-Specific and Game-Independent Analytics,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
33,Robust Discrete Matrix Completion,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
34,Greedy or Not? Best Improving versus First Improving Stochastic Local Search for MAXSAT,Colorado State University,Colorado State University,Colorado State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
35,Not Quite the Same: Identity Constraints for the Web of Linked Data,Lawrence Berkeley National Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
36,Mixed Heuristic Local Search for Protein Structure Prediction,Data61,Griffith University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
37,A Temporal Motif Mining Approach to Unsupervised Energy Disaggregation: Applications to Residential and Commercial Buildings,Virginia Tech,Virginia Tech," Sustainable Ecosystems Research Group, HP Labs, Palo Alto, CA 9430",Virginia Tech,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
38,Multiagent Router Throttling: Decentralized Coordinated Response Against DDoS Attacks,University of York,University of York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
39,PAC Optimal Planning for Invasive Species Management: Improved Exploration for Reinforcement Learning from Simulator-Defined MDPs,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
40,A Kernel Density Estimate-Based Approach to Component Goodness Modeling, Department of Informatics Engineering ‡ HASLab / INESC Te,University of Porto, Department of Informatics Engineering ‡ HASLab / INESC Te,University of Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
41,Detecting the Moment of Snap in Real-World Football Videos,Oregon State University Cascades,Oregon State University Cascades,Oregon State University Cascades,Oregon State University Cascades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
42,Timed Probabilistic Automaton: Bridge between Automatic Species Recognition,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
43,Multiagent Knowledge and Belief Change in the Situation Calculus,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
44,Integrating Digital Pens in Breast Imaging for Instant Knowledge Acquisition,"German Research Center for AI Stuhlsatzenhausweg 3 66123 Saarbrücken, German","German Research Center for AI Stuhlsatzenhausweg 3 66123 Saarbrücken, German",Universitätsklinikum Erlangen,Universitätsklinikum Erlangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
45,Train Outstable Scheduling as Constraint Satisfaction,City University of Hong Kong,City University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
46,Temporal Milestones in HTNs *,"Raytheon BBN Technologies, 10 Moulton St, Cambridge, MA 0213","Raytheon BBN Technologies, 10 Moulton St, Cambridge, MA 0213","Raytheon BBN Technologies, 10 Moulton St, Cambridge, MA 0213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
47,The Automated Acquisition of Suggestions from Tweets,"SKLSDE, Beihang Universit",Microsoft Research Asia (China),University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),"SKLSDE, Beihang Universit",Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0
48,Compact RGBD Surface Models Based on Sparse Coding,University of Freiburg,ISTC-PC Intel Lab,University of Washington,University of Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
49,Interdependent Multi-Issue Negotiation for Energy Exchange in Remote Communities,University of Southampton,University of Southampton,University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
50,Negotiated Learning for Smart Grid Agents: Entity Selection Based on Dynamic Partially Observable Features,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
51,Enabling E-Mobility: Facility Location for Battery Loading Stations,University of Freiburg,University of Stuttgart,University of Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
52,Interactive Information Extraction and Navigation to Enable Effective Link Analysis and Visualization of Unstructured Text,United States Air Force Research Laboratory,United States Air Force Research Laboratory,United States Air Force Research Laboratory,Wright-Patterson Air Force Base,"General Dynamics Information Technology, Buffalo, NY 1406","General Dynamics Information Technology, Buffalo, NY 1406","Raytheon BBN Technologies, Cambridge, MA 0213","Raytheon BBN Technologies, Cambridge, MA 0213",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
53,Assessing the Predictability of Hospital Readmission Using Machine Learning,McGill University,McGill University,McGill University,McGill University,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
54,Hypothesis Exploration for Malware Detection using Planning,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
55,Open-Loop Planning in Large-Scale Stochastic Domains,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
56,Guiding Scientific Discovery with Explanations Using DEMUD,California Institute of Technology,Los Alamos National Laboratory,California Institute of Technology,Oregon State University,Wesleyan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
57,Multi-Cycle Query Caching in Agent Programming,University of Nottingham,Clausthal University of Technology,Utrecht University,Delft University of Technology,Universidade Federal de Santa Catarina,University of Nottingham,University of Nottingham,Utrecht University,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
58,"A Simple, but NP-Hard, Motion Planning Problem",University of Illinois Urbana-Champaign,"Department of Computer Science 201 N. Goodwin Ave. Urbana, IL 6180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
59,An Agent Model for the Appraisal of Normative Events Based in In-Group and Out-Group Relations,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Utrecht University,Utrecht University,Wageningen University & Research,Wageningen University & Research,Wageningen University & Research,Institute of Cognitive Sciences and Technologies,Institute of Cognitive Sciences and Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0
60,A Tractable Leader-Follower MDP Model for Animal Disease Management,Defence Institute of Advanced Technology,Oniris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
61,Selecting the Appropriate Consistency Algorithm for CSPs Using Machine Learning Classifiers,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Nebraska–Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
62,The Wisdom of Crowds in Bioinformatics: What Can We Learn (and Gain) from Ensemble Predictions?,Federal University of Rio Grande do Sul,Federal University of Rio Grande do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
63,Bundling Attacks in Judgment Aggregation,Tel Aviv University,Queen Mary University of London,Hebrew University of Jerusalem,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
64,Abstract Preference Frameworks -A Unifying Perspective on Separability and Strong Equivalence,University of Calabria,University of Kent,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
65,Large Landscape Conservation -Synthetic and Real-World Datasets,Cornell University,Cornell University,Cornell University,Cornell University,Cornell University,IBM Research - Thomas J. Watson Research Center,Oberlin College,US Forest Service,US Forest Service,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0
66,An Extended GHKM Algorithm for Inducing λ-SCFG,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
67,Structure and Intractability of Optimal Multi-Robot Path Planning on Graphs *,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
68,Convex Subspace Representation Learning from Multi-View Data,Temple University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
69,Simple Temporal Problems with Taboo Regions,University of Southern California,Örebro University,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
70,Teaching Classification Boundaries to Humans,Microsoft (United States),University of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
71,Sample Complexity and Performance Bounds for Non-Parametric Approximate Linear Programming,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
72,"Reasoning about Saturated Conditional Independence under Uncertainty: Axioms, Algorithms, and Levesque's Situations to the Rescue *",University of Auckland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
73,A First-Order Logic-Based Framework for Verifying Simulations,Michigan Technological University,Michigan Technological University,Michigan Technological University,Michigan Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
74,A Topic-Based Coherence Model for Statistical Machine Translation,Soochow University,Institute for Infocomm Research,Soochow University,Institute for Infocomm Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
75,Model Predictive Control with Uncertainty in Human Driven Systems,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
76,Extending STR to a Higher-Order Consistency,CRIL-CNRS UMR 8188 Dept. of Informatics and Telecommunications Engineering Université d'Artoi,University of Western Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
77,Strategic Behavior when Allocating Indivisible Goods Sequentially,University of Rostock,Data61,Data61,"CRCS, Harvard University US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
78,Integrating Programming by Example and Natural Language Programming,University of Rochester,University of Rochester,University of Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
79,Agent Cooperatives for Effective Power Consumption Shifting,Technical University of Crete,Technical University of Crete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
80,Graphical Model-Based Learning in High Dimensional Feature Spaces,Simon Fraser University,Simon Fraser University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
81,Early Prediction of Coronary Artery Calcification Levels Using Machine Learning,Wake Forest University,Wake Forest University,Fraunhofer Institute for Intelligent Analysis and Information Systems,Wake Forest University,Fraunhofer Institute for Intelligent Analysis and Information Systems,Wake Forest University,Fraunhofer Institute for Intelligent Analysis and Information Systems,University of Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
82,SALL-E: Situated Agent for Language Learning,University of Rochester,University of Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
83,Robot Motion Planning with Dynamics as Hybrid Search,Catholic University of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
84,The Cascade Auction -A Mechanism for Deterring Collusion in Auctions,Weizmann Institute of Science,Hebrew University and Microsoft Researc,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
85,An Agent Design for Repeated Negotiation and Information Revelation with People,Bar-Ilan University,"Faculty of Engineering Ben-Gurion University, Israe",Bar-Ilan University,University of Maryland Institute for Advanced Computer Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
86,Data-Efficient Generalization of Robot Skills with Contextual Policy Search,National University of Singapore,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
87,Case-Based Meta-Prediction for Bioinformatics,University Graduate Center,University Graduate Center,City University of New York,Jilin University,University Graduate Center,City University of New York,Computer Science Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
88,Social Rankings in Human-Computer Committees,Bar-Ilan University,Ben-Gurion University of the Negev,Bar-Ilan University,University of Maryland Institute for Advanced Computer Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
89,USI Answers: Natural Language Question Answering Over (Semi-) Structured Industry Data," , Corporate Technology, Munich, Germany Siemens Corporation, Corporate Technology β , Princeton, NJ, US",Transylvania University of Brașov,Transylvania University of Brașov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
90,A General Formal Framework for Pathfinding Problems with Multiple Agents *,Sabancı University,Sabancı University,Sabancı University,Sabancı University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
91,Autonomous Agents in Future Energy Markets: The 2012 Power Trading Agent Competition,Erasmus University Rotterdam,Erasmus University Rotterdam,University of Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
92,Online Optimization with Dynamic Temporal Uncertainty: Incorporating Short Term Predictions for Renewable Integration in Intelligent Energy Systems,Toyota Technological Institute at Chicago,IBM Research - Almaden,IBM Research - India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
93,Goal-Oriented Euclidean Heuristics with Manifold Learning,George Washington University,George Washington University,George Washington University,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
94,Inferring Robot Task Plans from Human Team Meetings: A Generative Modeling Approach with Logic-Based Prior,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
95,Effective Bilingual Constraints for Semi-Supervised Learning of Named Entity Recognizers,Stanford University,Harbin Institute of Technology,Stanford University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
96,Equilibria of Online Scheduling Algorithms,"Sloan School of Management, MI",Microsoft Research New Englan,"Microsoft Research, Herzlyia, Israe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
97,Towards Cohesive Anomaly Mining *,Fudan University,Fudan University,University of Illinois Urbana-Champaign,Simon Fraser University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
98,A Tensor-Variate Gaussian Process for Classification of Multidimensional Structured Data,RIKEN,Shanghai Jiao Tong University,RIKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
99,Approximate Bayesian Inference for Reconstructing Velocities of Migrating Birds from Weather Radar,University of Massachusetts Amherst,Cornell University,Oregon State University,Cornell University,Cornell University,Oregon State University,Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
100,Supervised Coupled Dictionary Learning with Group Structures for Multi-Modal Retrieval,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
101,Adaptive Spatio-Temporal Exploratory Models: Hemisphere-Wide Species Distributions from Massively Crowdsourced eBird Data,Cornell University,Cornell University,Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
102,From Semantic to Emotional Space,National University of Singapore,Institute for Infocomm Research,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
103,Learning to Efficiently Pursue Communication Goals on the Web with the GOSMR Architecture,MIT Lincoln Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
104,Structured Kernel-Based Reinforcement Learning,Palo Alto Center for Pulmonary Disease Prevention,San Jose City College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
105,Multi-Strategy Learning of Robotic Behaviours via Qualitative Reasoning,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
106,Automating Collusion Detection in Sequential Games,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
107,Learning Integrated Symbolic and Continuous,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
108,Salient Object Detection via Low-Rank and Structured Sparse Matrix Decomposition,Institute of Automation,Institute of Automation,Xiamen University,Institute of Automation,Institute of Automation,Beijing Jiaotong University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
109,Computing Resources for Robotic Mapping,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
110,Introducing Nominals to the Combined Query Answering Approaches for EL,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
111,Algorithms for Strong Nash Equilibrium with More than Two Agents,Politecnico di Milano,Politecnico di Milano,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
112,Concurrent Inference Graphs,"University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
113,Multi-Label Learning with PRO Loss,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
114,Online Group Feature Selection from Feature Streams,University of Vermont,University of Vermont,Teer Coatings (United Kingdom),University of Massachusetts Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
115,Imbalanced Multiple Noisy Labeling for Supervised Learning,Hefei University of Technology,Hefei University of Technology,University of Vermont,University of Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
