Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,num_academia,num_company
163,Scalable Models for Patterns of Life,Southern Astrophysical Research Telescope," MESH Solutions, LLC, a DSCI Compan",Southern Astrophysical Research Telescope," MESH Solutions, LLC, a DSCI Compan",Southern Astrophysical Research Telescope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
164,Uncorrelated Lasso,Anhui University,The University of Texas at Arlington,Anhui University,Anhui University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
165,A Framework for Aggregating Influenced CP-Nets and Its Resistance to Bribery," : Department of Mathematics, University of Padova, Ital",Laboratoire de Recherche en Informatique de Paris 6," : Department of Information Engineering, University of Padova, Ital"," : Department of Mathematics, University of Padova, Ital",Tulane University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
166,Distribution Kernel Methods for Multiple-Instance Learning,Case Western Reserve University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
167,GRADE: Machine Learning Support for Graduate Admissions,Computer Science Department,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
168,Scalable Randomized Patrolling for Securing Rapid Transit Networks,Singapore Management University,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
169,A Hybrid Architectural Approach to Understanding and Appropriately Generating Indirect Speech Acts,Tufts University,Tufts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
170,Understanding and Predicting Interestingness of Videos,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
171,Parameterized Complexity Results for Plan Reuse,University of Vienna,Free University of Bozen-Bolzano,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
172,Fast Algorithm for Modularity-Based Graph Clustering,NTT (Japan),NTT (Japan),NTT (Japan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
173,Partial MUS Enumeration,University College Dublin,University College Dublin,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
174,Formalizing Hierarchical Clustering as Integer Linear Programming,"University of California, Davis",KU Leuven,"University of California, Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
175,Leveraging Crowdsourcing to Detect Improper Tasks in Crowdsourcing Marketplaces,The University of Tokyo,The University of Tokyo,Lancers Inc,Lancers Inc,Lancers Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
176,Steps towards a Science of Heuristic Search,University of New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
177,Analyzing the Effectiveness of Adversary Modeling in Security Games,University of Southern California,University of Southern California,Bar-Ilan University,Bar-Ilan University,"University of Maryland, College Park",University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
178,Rank Aggregation via Low-Rank and Structured-Sparse Decomposition,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University," Southern Normal University, Guangzhou, Chin",National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
179,Dynamic Social Choice with Evolving Preferences,Harvard University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
180,Improving WalkSAT for Random k-Satisfiability Problem with k > 3,Griffith University,Peking University,Griffith University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
181,Progression of Decomposed Situation Calculus Theories *,University of Ulm,"A.P. Ershov Institute of Informatics Systems, Siberian Branch of the Russian Academy of Sciences",Toronto Metropolitan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
182,Efficient Evolutionary Dynamics with Extensive-Form Games,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
183,Crowd Formalization of Action Conditions,University of Rochester,University of Rochester,University of Rochester,University of Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
184,GSMDPs for Multi-Robot Sequential Decision-Making,University of Lisbon,Delft University of Technology,University of Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
185,How to Cut a Cake Before the Party Ends,Carnegie Mellon University,Harvard University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
186,Resource Sharing for Control of Wildland Fires,University of Waterloo,University of Waterloo,"Aviation, Forest Fire and Emergency Services Ontario Ministry of Natural Resources Sault Ste Marie, ON, Canad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
187,A Pattern Matching Based Model for Implicit Opinion Question Identification, NUS Graduate School for Integrative Sciences and Engineerin,National University of Singapore,National University of Singapore, NUS Graduate School for Integrative Sciences and Engineerin,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
188,Large-Scale Hierarchical Classification via Stochastic Perceptron,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
189,"""Paradigms of AI Programming"" in Python","Google Inc. Dienerstraße 12, 80331 Munich, German",Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
190,Causal Transportability with Limited Experiments,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
191,"Ranking Scientific Articles by Exploiting Citations, Authors, Journals, and Time Information",Peking University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
192,Discovering Hierarchical Structure for Sources and Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
193,Computational Aspects of Nearly Single-Peaked Electorates *,University of Siegen,University of Vienna,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
194,A Hierarchical Aspect-Sentiment Model for Online Reviews,Korea Advanced Institute of Science and Technology,Microsoft Research Asia (China),Microsoft Research Asia (China),Korea Advanced Institute of Science and Technology,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0
195,Grounding Natural Language References to Unvisited and Hypothetical Locations,Tufts University,Tufts University,Tufts University,Tufts University,Tufts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
196,Joint Extraction and Labeling via Graph Propagation for Dictionary Construction,"Accenture Technology Labs 50 West San Fernando Street San Jose, CA, 9511","Accenture Technology Labs 50 West San Fernando Street San Jose, CA, 9511","Accenture Technology Labs 50 West San Fernando Street San Jose, CA, 9511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
197,Filtering With Logic Programs and Its Application to General Game Playing,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
198,Multiple Hypothesis Object Tracking For Unsupervised Self-Learning: An Ocean Eddy Tracking Application,Department of Computer Science and Engineering University of Minnesot,Department of Computer Science and Engineering University of Minnesot,Department of Computer Science and Engineering University of Minnesot,Department of Computer Science and Engineering University of Minnesot,Department of Computer Science and Engineering University of Minnesot,Department of Computer Science and Engineering University of Minnesot,Department of Computer Science and Engineering University of Minnesot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
199,Unsupervised Cluster Matching via Probabilistic Latent Variable Models,Kyoto University,Kyoto University,Kyoto University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
200,Symmetry-Aware Marginal Density Estimation,University of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
201,Learning Collaborative Impedance-Based Robot Behaviors *,Italian Institute of Technology,Institute of Robotics and Industrial Informatics," Informàtica Industrial CSIC-UPC (Carrer Llorens i Artigas, 4-6. Barcelona, Spai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
202,An Effective Approach for Imbalanced Classification: Unevenly Balanced Bagging,University of Leeds,University of Leeds,Finance and Economics Institute of Tajikistan,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
203,Automatic Extraction of Efficient Axiom Sets from Large Knowledge Bases,Cycorp (United States),Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
204,Personalized Recommendation Based on Co-Ranking and Query,Harbin Institute of Technology,Microsoft Research Asia (China),Harbin Institute of Technology,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
205,Gradient Networks: Explicit Shape Matching Without Extracting Edges,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
206,GiSS : Combining Gibbs Sampling and SampleSearch for Inference in Mixed Probabilistic and Deterministic Graphical Models,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
207,Improving the Performance of Consistency Algorithms by Localizing and Bolstering Propagation in a Tree Decomposition,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Nebraska–Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
