Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
312,Convergence to Equilibria in Plurality Voting,Hebrew University of Jerusalem,University of Southampton,Hebrew University of Jerusalem,University of Southampton,,,,,,,,,,,,4.0,0.0
313,Latent Variable Model for Learning in Pairwise Markov Networks,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,2.0,0.0
314,P R + RQ ≈ P Q: Transliteration Mining Using Bridge Language,Indian Institute of Technology Bombay,Microsoft Research (India),Microsoft Research (India),Indian Institute of Technology Bombay,,,,,,,,,,,,2.0,2.0
315,Gaudii: An Automated Graphic Design Expert System,University of Castilla-La Mancha,University of Castilla-La Mancha,University of Castilla-La Mancha,University of Castilla-La Mancha,University of Castilla-La Mancha,,,,,,,,,,,5.0,0.0
316,Genome Rearrangement: A Planning Approach,Sabancı University,Sabancı University,,,,,,,,,,,,,,2.0,0.0
317,Integrated Systems for Inducing Spatio-Temporal Process Models,Institute for the Study of Learning and Expertise,Institute for the Study of Learning and Expertise,Stanford University,Institute for the Study of Learning and Expertise,,,,,,,,,,,,4.0,0.0
318,The Induction and Transfer of Declarative Bias,Stanford University,University of Ljubljana, Method for Inducing Structural Constraint,,,,,,,,,,,,,2.0,0.0
319,Extracting Ontological Selectional Preferences for Non-Pertainym Adjectives from the Google Corpus,University of Central Florida,University of Central Florida,,,,,,,,,,,,,,2.0,0.0
320,Temporal and Social Context based Burst Detection from Folksonomies,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,4.0,0.0
321,Transferable Utility Planning Games *,"Computer Science Dept. Ben-Gurion Univ., Israe",Industrial Eng. and Management Technion-Israel Inst. of Technolog,Industrial Eng. and Management Technion-Israel Inst. of Technolog,Microsoft (Israel),,,,,,,,,,,,1.0,3.0
322,Multi-Label Learning with Weak Label,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,3.0,0.0
323,Goal-Driven Autonomy in a Navy Strategy Simulation,Knexus Research (United States),United States Naval Research Laboratory,United States Naval Research Laboratory,,,,,,,,,,,,,2.0,1.0
324,Security Games with Arbitrary Schedules: A Branch and Price Approach,University of Southern California,University of Southern California,University of Chile,,,,,,,,,,,,,3.0,0.0
325,Extraction and Visualization of Implicit Social Relations on Social Networking Services,"Media Solution Center Samsung Electronics, Suwon-Si, Gyeonggi-Do, Kore","Media Solution Center Samsung Electronics, Suwon-Si, Gyeonggi-Do, Kore","Media Solution Center Samsung Electronics, Suwon-Si, Gyeonggi-Do, Kore",,,,,,,,,,,,,3.0,0.0
326,Exploiting QBF Duality on a Circuit Representation,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,2.0,0.0
327,DTPROBLOG: A Decision-Theoretic Probabilistic Prolog,KU Leuven,KU Leuven,KU Leuven,KU Leuven,,,,,,,,,,,,4.0,0.0
328,A Fast Heuristic Search Algorithm for Finding the Longest Common Subsequence of Multiple Strings,University of Missouri,University of Missouri,University of Missouri,University of Missouri,,,,,,,,,,,,4.0,0.0
329,Single-Frontier Bidirectional Search,"Information Systems Engineering Deutsche Telekom Labs Ben-Gurion University Be'er-Sheva, Israel 8510",Humboldt-Universität zu Berlin,University of Alberta,University of Alberta,,,,,,,,,,,,3.0,0.0
330,Facial Age Estimation by Learning from Label Distributions,Monash University,Southeast University,Nanjing University,Monash University,Nanjing University,,,,,,,,,,,5.0,0.0
331,Activity and Gait Recognition with Time-Delay Embeddings,McGill University,Technion – Israel Institute of Technology,McGill University,,,,,,,,,,,,,3.0,0.0
